ID	CN	EN	RU_TRANSLATION
1011	<h>占卜仓库内是否危险</>	<h>Divinate if the warehouse is dangerous</>	
1012	<h>占卜周围是否危险</>	<h>Divinate if the surroundings are dangerous</>	
1013	<h>占卜小艾略特的位置</>	<h>Divining the location of little Elliott</>	
1014	<h>回忆</>转运仪式	<h>Recall</> the Fortune-Turning Ritual	
1015	<h>放置</>仪式物品	<h>Place</> the ritual items	
1016	<h>智慧</>才是越狱的关键！	<h>Wisdom</> is the key to breaking out of prison!	
1017	<h>服用</>魔药	<h>Consume</> Potion	
1018	<h>继续占卜</>确认方向	<h>Continue divining</> to confirm the direction	
1019	<h>调配魔药</>	<h>Concoct Potion</>	
1020	<img id=\"03\" width=\"40\" height=\"40\"/>伤害：<HighLight>130%</>*攻击	<img id=\"03\" width=\"40\" height=\"40\"/>Damage: <HighLight>130%</>* attack	
1021	<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>俱乐部说明</>\n加入或创建俱乐部，可以参与各种俱乐部活动玩法，获取丰厚的活动奖励和同行纹章，同行纹章可在俱乐部商店中兑换奖励道具。\n俱乐部成员锁定规则：在以俱乐部为单位的玩法活动（如四方联赛、歌剧魅影、猎城战、高原战）期间，俱乐部不允许成员的加入和退出。\n<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>创建响应俱乐部</>\n角色等级到达20级，可以选择加入俱乐部或自行创建俱乐部。\n创建俱乐部需要缴纳创建费用，创建后24小时内响应人数达到4人则创建成功，超时将创建失败。\n创建失败和主动取消创建，都不会返还创建费用。	<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>Club Instructions</>\nJoin or create a club to participate in various club activities, earn generous activity rewards and Peer Emblems. Peer Emblems can be exchanged for reward items in the Club Shop.\nClub Member Lock Rule: During club-based gameplay activities (such as the Four-Way League, Phantom of the Opera, Hunting City War, Plateau War), clubs are not allowed to add or remove members.\n<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>Creating/Responding to a Club</>\nOnce your character reaches level 20, you can choose to join a club or create one yourself.\nCreating a club requires a creation fee. If 4 people respond within 24 hours of creation, the creation is successful; otherwise, it will fail.\nNeither failed creation nor voluntary cancellation will refund the creation fee.	
1022	<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>友敌关系</>\n相同队伍、团队或俱乐部的成员视为友方，<Highlight>其余玩家均为敌对关系</>，可自由攻击。\n<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>团队结算</>\n击败敌对玩家时，击杀者及最多<Highlight>29名</>符合助攻条件的同团队成员参与本次猩红遗物与段位胜点结算。\n本次可分配的猩红遗物按参与人数平均分配并向下取整。存在余数时，击杀者优先额外获得1个，其余部分在其他参与者中随机分配，每人最多额外获得1个。\n<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>掠夺规则</>\n击败敌对玩家后，可从目标处掠夺<Highlight>段位胜点</>与其持有的<Highlight>猩红遗物</>。玩家头顶显示的碎片数量越多，抢夺猩红遗物的比例越高；头顶碎片数每提高<Highlight>500个</>，抢夺比例相应提升。\n<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>段位保护</>\n段位低于<Highlight>伯爵1阶</>的玩家，被击杀时不扣除段位胜点。\n<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>段位胜点衰减</>\n每日<Highlight>01:00—08:00</>，击杀玩家获得的段位胜点调整为正常值的<Highlight>10%</>，猎杀进度提供的段位胜点不受影响。\n同一玩家在10分钟内重复击杀同一目标时，第1—3次获得100%段位胜点，第4次获得50%，第5次获得20%，第6次及以后不再获得。两项衰减规则同时生效时，最终结果按比例乘算。	<img id=\"Tips\" width=\"30\" height=\"46\"/> <Title> Friend/Enemy Relationship </> \n Members of the same team, group, or Club are considered allies; <Highlight> all other players are hostile </> and can be attacked freely. \n <img id=\"Tips\" width=\"30\" height=\"46\"/> <Title> Team Settlement </> \n When defeating a hostile player, the killer and up to <Highlight> 29 </> team members who meet the assist criteria participate in this Crimson Relic and Rank Point settlement. \n The distributable Crimson Relics are divided equally among the participants and rounded down. If there is a remainder, the killer gets priority for 1 extra, and the rest are distributed randomly among other participants, with each person receiving at most 1 extra. \n <img id=\"Tips\" width=\"30\" height=\"46\"/> <Title> Plunder Rules </> \n After defeating a hostile player, you can plunder <Highlight> Rank Points </> and the <Highlight> Crimson Relics </> they hold from the target. The more fragments displayed above a player's head, the higher the percentage of Crimson Relics that can be plundered; for every <Highlight> 500 </> fragments above the head, the plunder percentage increases accordingly. \n <img id=\"Tips\" width=\"30\" height=\"46\"/> <Title> Rank Protection </> \n Players with a rank lower than <Highlight> Earl Tier 1 </> will not lose Rank Points when killed. \n <img id=\"Tips\" width=\"30\" height=\"46\"/> <Title> Rank Point Decay </> \n Daily <Highlight> 01:00—08:00 </>, Rank Points obtained from killing players are adjusted to <Highlight> 10% </> of the normal value; Rank Points provided by hunting progress are not affected. \n When the same player kills the same target repeatedly within 10 minutes, the 1st—3rd times grant 100% Rank Points, the 4th time grants 50%, the 5th time grants 20%, and the 6th time and onwards grant none. When both decay rules are in effect simultaneously, the final result is calculated by multiplying the proportions.	
1023	<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>发起宣战</>\n1.可发起宣战的时间为：<Highlight>周一至周五17:00-23:00；周六至周日11:00-23:00</>。\n2.可宣战的时间点为：<Highlight>周一至周四12:00-14:00、20:00-23:00；周五12:00-14:00、21:00-23:00；周六至周日12:00-18:00、22:00-23:00</>。\n3.发起宣战将消耗俱乐部资金，资金根据俱乐部等级、实力差别及血仇值进行扣除。\n4.若宣战方获胜，则返还<Highlight>30%</>俱乐部资金，失败则不返还；若被宣战方失败则根据俱乐部等级扣除相应资金，获胜则不扣除。\n5.若连续宣战同一俱乐部并获胜，再次宣战消耗俱乐部资金将提升<Highlight>（每周一8点重置）</>。\n6.若连续被同一俱乐部宣战并失败，再次被宣战消耗俱乐部资金将减少<Highlight>（每周一8点重置）</>。\n<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>玩法介绍</>\n1.俱乐部宣战将在霍纳奇斯山脉大世界地图进行自由战斗，宣战开始后，仅互相宣战的双方互相进入对决状态。\n2.立旗：发起方首先获得立旗权，<Highlight>（会长、副会长、理事）</>中任意一人立旗后，俱乐部立旗技能将消失。立旗后在旗帜周围根据存活时间以获得积分。\n3.旗帜轮换：旗帜归属时间结束后，立旗权将轮换至对方俱乐部，或可以通过<Highlight>抢旗成功</>后轮换立旗权。\n4.击败对手或参与击败对手，也将获得积分。\n5.整场宣战将持续<Highlight>30分钟</>，结算时积分高的一方获胜，若分数相同，则被发起宣战的一方获胜。\n6.宣战期间，可使用<Highlight>\"集结·俱乐部宣战\"</>道具在霍纳奇斯山脉中<Highlight>发起集结</>，道具可在同行商店-俱乐部中查看。	<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>Initiate War Declaration</>\n1. The time to initiate a war declaration is: <Highlight>Monday to Friday 17:00-23:00; Saturday to Sunday 11:00-23:00</>. \n2. The time points for declaring war are: <Highlight>Monday to Thursday 12:00-14:00, 20:00-23:00; Friday 12:00-14:00, 21:00-23:00; Saturday to Sunday 12:00-18:00, 22:00-23:00</>. \n3. Initiating a war declaration will consume Club Funds, which are deducted based on the club's level, strength difference, and Blood Feud value. \n4. If the declaring party wins, <Highlight>30%</> of the Club Funds will be refunded; if they lose, they will not be refunded. If the declared party loses, corresponding funds will be deducted based on the club's level; if they win, no funds will be deducted. \n5. If you continuously declare war on the same club and win, the Club Funds consumed for declaring war again will increase <Highlight>(resets at 8:00 every Monday)</>. \n6. If you are continuously declared war on by the same club and lose, the Club Funds consumed for being declared war on again will decrease <Highlight>(resets at 8:00 every Monday)</>. \n<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>Gameplay Introduction</>\n1. Club war declaration will take place in the Hornacis Mountain Range open world map for free combat. After the war declaration begins, only the two parties who declared war on each other will enter a duel state. \n2. Plant Flag: The initiating party first obtains the right to plant the flag. After any one of the <Highlight>(President, Vice President, Director)</> plants the flag, the club's flag-planting skill will disappear. After planting the flag, you will gain points based on the survival time around the flag. \n3. Flag Rotation: After the flag ownership time ends, the right to plant the flag will rotate to the other club, or the right to plant the flag can be rotated after <Highlight>successfully seizing the flag</>. \n4. Defeating opponents or participating in defeating opponents will also grant points. \n5. The entire war declaration will last for <Highlight>30 minutes</>. At the time of settlement, the party with the higher points wins. If the scores are the same, the party that was declared war on wins. \n6. During the war declaration, you can use the <Highlight>\"Assemble - Club War Declaration\"</> item to <Highlight>initiate an assembly</> in the Hornacis Mountain Range. The item can be viewed in the Companion Shop - Club.	
1024	<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>发起宣战</>\n1.可发起宣战的时间为：<Highlight>周一至周五17:00-23:00；周六至周日11:00-23:00</>。\n2.可宣战的时间点为：<Highlight>周一至周四12:00-14:00、20:00-23:00；周五12:00-14:00、21:00-23:00；周六至周日12:00-18:00、22:00-23:00</>。\n3.发起宣战将消耗俱乐部资金，资金根据俱乐部等级、实力差别及血仇值进行扣除。\n4.若宣战方获胜，则返还<Highlight>30%</>俱乐部资金，失败则不返还；若被宣战方失败则根据俱乐部等级扣除相应资金，获胜则不扣除。\n5.若连续宣战同一俱乐部并获胜，再次宣战消耗俱乐部资金将提升<Highlight>（每周一8点重置）</>。\n6.若连续被同一俱乐部宣战并失败，再次被宣战消耗俱乐部资金将减少<Highlight>（每周一8点重置）</>。\n<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>玩法介绍</>\n1.俱乐部宣战将在霍纳奇斯山脉大世界地图进行自由战斗，宣战开始后，仅互相宣战的双方互相进入对决状态。\n2.立旗：发起方首先获得立旗权，<Highlight>（会长、副会长、理事）</>中任意一人立旗后，俱乐部立旗技能将消失。立旗后在旗帜周围根据存活时间以获得积分。\n3.旗帜轮换：旗帜归属时间结束后，立旗权将轮换至对方俱乐部，或可以通过<Highlight>抢旗成功</>后轮换立旗权。\n4.击败对手或参与击败对手，也将获得积分。\n5.整场宣战将持续<Highlight>30分钟</>，结算时积分高的一方获胜，若分数相同，则被发起宣战的一方获胜。当一方积分大于另一方积分超过15000时，则积分高的一方直接获胜。\n6.宣战期间，可使用<Highlight>\"集结·俱乐部宣战\"</>道具在霍纳奇斯山脉中<Highlight>发起集结</>，道具可在同行商店-俱乐部中查看。	<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>Declare War</>\n1. War can be declared during: <Highlight>Monday-Friday 17:00-23:00; Saturday-Sunday 11:00-23:00</>.\n2. Available battle time slots: <Highlight>Monday-Thursday 12:00-14:00 and 20:00-23:00; Friday 12:00-14:00 and 21:00-23:00; Saturday-Sunday 12:00-18:00 and 22:00-23:00</>.\n3. Declaring war consumes club funds. The amount is based on club level, the difference in strength, and Blood Feud value.\n4. If the declaring side wins, <Highlight>30%</> of the club funds are refunded; no funds are refunded after a loss. If the challenged side loses, funds are deducted according to club level; none are deducted if it wins.\n5. After repeatedly declaring war on and defeating the same club, the cost of declaring war on it again will increase <Highlight>(resets every Monday at 8 o'clock)</>.\n6. After repeatedly being challenged by and losing to the same club, the challenger's cost to declare war again will decrease <Highlight>(resets every Monday at 8 o'clock)</>.\n<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>Rules</>\n1. Club War is fought freely on the Hornacis Mountains open-world map. Once it begins, only the two clubs at war enter a combat state with each other.\n2. Planting the flag: the declaring side receives the first right to plant it. After any <Highlight>(President, Vice President, or Director)</> plants the flag, the club's flag-planting skill disappears. Members earn points around the flag based on survival time.\n3. Flag rotation: when a club's ownership period ends, the right to plant the flag rotates to the opposing club. It can also rotate after a <Highlight>successful flag capture</>.\n4. Defeating opponents or assisting in their defeat also awards points.\n5. The war lasts <Highlight>30 minutes</>. The side with more points at settlement wins; if tied, the challenged side wins. If one side leads the other by more than 15000 points, the leading side wins immediately.\n6. During Club War, use the <Highlight>\"Rally · Club War\"</> item to <Highlight>start a rally</> in the Hornacis Mountains. The item is available in Companion Shop - Club.	
1025	<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>活动规则</>\n活动开放期间，每日12:00至24:00，可前往霍纳奇斯花海时之门处，申请参与。进入玩法后，玩家将和世界灾厄进行战斗。玩法支持单人或队伍申请，建议<Highlight>完成组队后再进行申请</>。\n<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>活动奖励</>\n世界灾厄死亡时，参与战斗的玩家根据贡献值可获得灾厄残迹。每周最多获得<Highlight>1200个</>。灾厄残迹达到一定档位时可在世界灾厄介绍页领取对应档位的奖励。\n世界灾厄死亡时，根据队伍的输出伤害换算成积分进行排名。每周前1000排名的玩家可获得排名奖励。\n<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>排行榜说明</>\n组队情况下，会取玩家所在队伍成员的<Highlight>输出伤害前5的总和</>作为排名积分。\n在战斗中，队伍成员发生变动时，将自动取消积分排名的资格。	<img id=\"Tips\" width=\"30\" height=\"46\"/><Title> Event Rules </>\n During the event, you may apply to participate at the Gate of Time in the Hornacis Sea of Flowers between 12:00 and 24:00 daily. Upon entering, players will battle the World Calamity. This mode supports solo or team applications; it is recommended to <Highlight> form a team before applying </>. \n<img id=\"Tips\" width=\"30\" height=\"46\"/><Title> Event Rewards </>\n When the World Calamity dies, participating players receive Calamity Remnants based on their contribution. You can earn a maximum of <Highlight> 1200 </> per week. Once your Calamity Remnants reach certain thresholds, you can claim corresponding rewards on the World Calamity introduction page. \n When the World Calamity dies, rankings are calculated based on the team's damage output. The top 1000 players each week receive ranking rewards. \n<img id=\"Tips\" width=\"30\" height=\"46\"/><Title> Ranking Explanation </>\n In a team, the <Highlight> sum of the top 5 damage outputs </> from team members is used as the ranking score. \n If team members change during combat, the team is automatically disqualified from the ranking.	
1026	<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>玩法介绍</>\n主宰争锋为组队竞技玩法，最多可组成3人队伍参与匹配。进入主宰争锋玩法后，所有玩家获得<Highlight>公平</>的属性调整。\n玩家需要击败敌方队伍内的所有玩家，或者限时内伤害更高，才能取得对局胜利。	<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>Gameplay Introduction</>\nDominator's Clash is a team-based competitive mode where you can form a squad of up to 3 players to matchmake. Upon entering Dominator's Clash, all players receive <Highlight>fair</> attribute adjustments. \nPlayers must defeat all members of the opposing team or deal more damage within the time limit to achieve victory.	
1027	<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>玩法介绍</>\n神座之争为组队竞技玩法，最多可组成6人队伍参与匹配。神座之争玩法内，所有玩家采用与玩法外相同的<Highlight>真实</>属性进行战斗。\n<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>获胜条件</>\n限时时间内击败敌方队伍内所有玩家获胜，若对局时间结束时双方队伍均有成员存活，则顺次按照击败人数、存活人数、伤害总量、存活血量判定较高的一方获胜。在神座之争玩法里，每个队伍拥有<Highlight>2次复活</>死亡队友的机会。	<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>Gameplay Introduction</>\n Battle for the Throne of God is a team competition mode, where up to 6 players can form a team to participate in matchmaking. In the Battle for the Throne of God mode, all players use the same <Highlight>Real</> attributes as outside the mode for combat. \n<img id=\"Tips\" width=\"30\" height=\"46\"/><Title>Winning Conditions</>\nDefeat all players in the enemy team within the time limit to win. If both teams have members alive when the match time ends, the side with more kills, more survivors, higher total damage, and higher remaining health will be judged the winner in order. In the Battle for the Throne of God mode, each team has <Highlight>2 opportunities to resurrect</> dead teammates.	
