ID	CN	EN	RU_TRANSLATION
2304	特效_传送_管家	Effect_Teleport_Butler	
2305	特效_传送npc	Effect_Teleport NPC	
2306	特效_特莉丝出口	Effect_Trissy_Exit	
2307	狂暴buff	Berserk buff	
2308	玩家回血	Player Heal	
2309	玩家增益	Player Buff	
2310	环形攻击	Ring Attack	
2311	理智的	Reasonable	
2312	瑰堡	Rose Castle	
2313	生命	Health	
2314	生命上限	Max Health	
2315	生命仪式	Life Ritual	
2316	生命值	Health	
2317	生命值1	Health 1	
2318	生命值2	Health 2	
2319	生命值3	Health 3	
2320	生命值·金	Health: Gold	
2321	生命回血	Health Heal	
2322	生命护符	Health Amulet	
2323	生命能量	Life Energy	
2324	申肖克	Shenshock	
2325	疗愈	Healing	
2326	疯狂侍女	Mad Maid	
2327	疯狂园丁	Mad Gardener	
2328	疯狂的吸血鬼	Crazy Vampire	
2329	疯狂的怪物	Crazy Monster	
2330	疯狂的盔甲	Mad Armor	
2331	的城堡	's Castle	
2332	盾20	Shield 20	
2333	盾25	Shield 25	
2334	盾30	Shield 30	
2335	盾35	Shield 35	
2336	盾50	Shield 50	
2337	盾80	Shield 80	
2338	盾击	Shield Bash	
2339	盾牌	Shield	
2340	盾牌猛击	Shield Bash	
2341	盾获	Shield Gain	
2342	真\r\n贪\r\n心	So\nGreedy	
2343	眩晕	Stun	
2344	眩晕1秒	Stun 1 second	
2345	眩晕命中	Stun Hit Rate	
2346	眩晕抵挡	Stun Block	
2347	眩晕闪避	Stun Dodge	
2348	眩晕飞弹	Stun Missile	
2349	睡眠闪避	Sleep Dodge	
2350	瞬间回血	Instant Heal	
2351	破军	Army Breaker	
2352	破损的书本	Damaged Book	
2353	破晓	Break of Dawn	
2354	破甲	Armor Break	
2355	破盾	Shield Break	
2356	破防	Defense Break	
2357	硬直	Stagger	
2358	礼帽魔术	Top Hat Magic	
2359	社交增益效果	Social Buff	
2360	祝福光环	Blessing Aura	
2361	神圣毒药	Sacred Poison	
2362	神弃7战生	God Abandoned 7 Battle Spawn	
2363	禁技能	Disable Skill	
2364	禁用技能	Disable Skill	
2365	离开trigger	Leave trigger	
2366	秘境3_小怪战	Secret Realm 3_Mob Fight	
2367	移动施法	Moving cast.	
2368	空buff	Empty buff	
2369	第一关	Level 1	
2370	第二关	Level 2	
2371	答题触发器	Quiz Trigger	
2372	精神光环	Mental Aura	
2373	精神瘟疫buff肉鸽AOE攻击盒	Mental Plague Buff Roguelike AOE Attack Box	
2374	精神震慑	Mental Shock	
2375	系统技能	System Skill	
2376	组合拳	Combo Punch	
2377	终结	Finish	
2378	终结者	Finisher	
2379	结束仪式	End Ritual	
2380	绝技Tab	Ultimate Tab	
2381	缝隙trigger	Gap Trigger	
2382	群伤	Group Damage	
2383	群体震慑	Group Shock	
2384	群疗	Group Heal	
2385	职业技能	Class Skill	
2386	肉体	Physical Body	
2387	能量	Energy	
2388	能量召唤	Energy Summon	
2389	能量数值	Energy value	
2390	能量涌动	Energy Surge	
2391	能量球	Energy Ball	
2392	至臻	Ultimate	
2393	致命一击	Critical Hit	
2394	致命技能	Fatal Skill	
2395	苹果冲锋	Apple Charge	
2396	荣耀者魔药	Glory Potion	
2397	获取技能	Obtain Skill	
2398	获得技能	Obtain Skill	
2399	获得护盾	Gain Shield	
2400	蓄力	Charge	
2401	蓄力刺击	Charged Stab	
2402	蓄力射击	Charged Shot	
2403	蓄力波	Charge Wave	
2404	蓄力跳	Charged Jump	
2405	藤蔓攻击	Vine Attack	
2406	血流不止	Bleeding	
2407	血液冻结	Blood Freeze	
2408	血肉护盾	Flesh Shield	
2409	血肉魔法	Flesh Magic	
2410	表现_击退冲击波	Effect_Knockback Shockwave	
2411	表现_墙_就绪	Performance_Wall_Ready	
2412	表现_持剑	Performance_Holding Sword	
2413	表现_持斧	Performance_Holding Axe	
2414	表现_模型隐藏_隐身机制	Performance_Model Hide_Invisibility Mechanism	
2415	表现_模型隐藏_非隐身机制	Performance_Model Hidden_Non-Invisibility Mechanism	
2416	表现_点名AOE	Effect_Targeted AOE	
2417	表现_炼金心得_地脉	Effect_Alchemy Insight_Ley Line	
2418	表现_炼金心得_战斧	Effect_Alchemy Insight_Battle Axe	
2419	被动	Passive	
2420	解锁技能	Unlock Skill	
2421	触发	Trigger	
2422	触发1	Trigger 1	
2423	触发NPC	Trigger NPC	
2424	触发buff	Trigger Buff	
2425	触发cs0	Trigger cs0	
2426	触发cs1	Trigger cs1	
2427	触发cs2	Trigger cs2	
2428	触发器	Trigger	
2429	触发器1	Trigger 1	
2430	触发器2	Trigger 2	
2431	触发器3	Trigger 3	
2432	触发器4	Trigger 4	
2433	触发器5	Trigger 5	
2434	触发器Pack	Trigger Pack	
2435	触发器_佛尔思	Trigger_Fors	
2436	触发器_子嗣守护	Trigger_Offspring Protection	
2437	触发排队	Trigger Queue	
2438	触发模式	Trigger Mode	
2439	触发点	Trigger point	
2440	触发点位	Trigger Point	
2441	触发类型	Trigger Type	
2442	触发范围	Trigger Range	
2443	计数buff	Count Buff	
2444	贤者魔药	Sage Potion	
2445	超级眩晕	Super Stun	
2446	跑团天赋	TRPG Talent	
2447	跳跃震击	Jump Shock	
2448	边缘冲锋	Edge charge	
2449	近身连斩	Melee Combo	
2450	这么神奇！	How magical!	
2451	进攻	Attack	
2452	连击	Combo	
2453	连击数	Combo count	
2454	连击计数	Combo Count	
2455	连斩	Combo Slash	
2456	连线BuffID	Link Buff ID	
2457	迷失塔罗	Lost Tarot	
2458	迷宫trigger	Maze trigger	
2459	选择生命	Choose Health	
2460	道奇	Dodge	
2461	金钱盾障	Money Shield	
2462	金钱触发器	Money Trigger	
2463	铸造	Casting	
2464	链式攻击	Chain attack.	
2465	锁定_矩形AOE01	Lock_Rectangular AOE 01	
2466	锁定_矩形AOE02	Lock_Rectangular AOE 02	
2467	锁血buff	HP Lock Buff	
2468	镜面之盾	Mirror Shield	
2469	门魔药	Door Potion	
2470	闪避	Dodge	
2471	闪避技能	Dodge skill.	
2472	闪避暗示	Dodge Hint	
2473	闪避！	Dodge!	
2474	闯进去	Break in	
2475	防守	Defense	
2476	防御	Defense	
2477	防御+*f**	Defense +*f**	
2478	防御_N	Defense_N	
2479	防御塔	Defense Tower	
2480	阴天	Overcast	
2481	阻塞	Block	
2482	阻拦	Block	
2483	隐者魔药	Hermit Potion	
2484	集中攻击	Focus Attack	
2485	震击	Shock	
2486	震荡波	Shockwave	
2487	震荡跳跃	Shock Leap	
2488	霍纳奇斯……弗雷格拉……霍纳奇斯……弗雷格拉……霍纳奇斯……弗雷格拉……	Hornacis... Flegrea... Hornacis... Flegrea... Hornacis... Flegrea...	
2489	音波护盾	Sonic Shield	
2490	领域	Domain	
2491	领域等级	Domain Level	
2492	领域类型	Domain Type	
2493	风暴震荡	Storm Shock	
2494	骑士冲锋	Knight Charge	
2495	骰子占卜师	Dice diviner	
2496	魅力光环	Charm Aura	
2497	魔术之杖	Magic Cane	
2498	魔术卡牌	Magic Card	
2499	魔术登场	Magic Debut	
2500	魔术礼帽	Magic Top Hat	
