ID	CN	EN	RU_TRANSLATION
1778	丰饶之树最初只是一粒小小的种子。\n它沉眠于大地母神教会中，由圣者精心保管。圣者知晓它身负生机与荒芜两种强大的力量，不能被轻易种下。\n直到那场背弃誓言的战争降临。大地化为焦土，生机纷纷湮灭，圣者站在同伴和敌人的尸体间，落下了一滴泪。 \n至少，要让这片大地重生。 \n种子进入泥土后迅速生长，生机怦然降临之时，荒芜也伸出爪牙——于是圣者挺身而出，将无尽的荒芜统统纳入身躯。\n变动终于平息，丰饶之树睁开了眼睛。\n她化为人形的灵体，懵懂如婴孩，裹着一袭金色的披风。 \n一个遥远的声音在她心头回荡： \n这是大地的礼物。\n这是丰饶的呼唤。	The Tree of Abundance was initially just a tiny seed. \n It slept in the Church of the Earth Mother, carefully kept by a Saint. The Saint knew that it carried two powerful forces, Vitality and Desolation, and could not be planted easily. \n Until the war that betrayed the oath arrived. The earth turned into scorched earth, and vitality was annihilated one after another. The Saint stood between the corpses of companions and enemies and shed a tear. \n At least, let this land be reborn. \n After the seed entered the soil, it grew rapidly. When vitality descended suddenly, desolation also stretched out its claws—so the Saint stepped forward and took all the endless desolation into her body. \n The turmoil finally subsided, and the Tree of Abundance opened its eyes. \n She turned into a human-shaped spirit, ignorant as an infant, wrapped in a golden cloak. \n A distant voice echoed in her heart: \n This is the gift of the earth. \n This is the call of Harvest.	
1779	丰饶之藤会持续攻击，请迅速转火击杀！	The Vine of Abundance will attack continuously; please switch targets and kill it quickly!	
1780	临时属性buff	Temporary attribute buff	
1781	临时数值，请GM加攻击和气血	Temporary values, please have the GM add Attack and Health	
1782	临时触发点	Temporary Trigger Point	
1783	临界救赎	Critical Redemption	
1784	临界超限	Critical Limit	
1785	为\r\n什\r\n么\r\n？	W\r\nh\r\ny\r\n?	
1786	为true时，反伤伤害不会触发该event	When true, Damage Reflection damage will not trigger this event	
1787	为了美食-触发器	For Gourmet - Trigger	
1788	为你提供相当于你最大生命值20%的护盾。此护盾每30秒刷新一次。	Provides a shield equivalent to 20% of your maximum Health. This shield refreshes every 30 seconds.	
1789	为所欲为，但勿伤害	Do What Thou Wilt, But Harm None	
1790	为所欲为，但勿伤害。	Do what you will, but do no harm.	
1791	为所欲为，但绝不可有伤害之心。	Do as you please, but never harbor a heart of malice.	
1792	为抗争者加冕，不朽的火焰永燃于王座之上。	Crown the resister, the immortal flame burns forever on the throne.	
1793	为玩家角色添加永久免疫伤害及受击效果buff	Add permanent damage immunity and hit effect buff to player character	
1794	为目标提供护盾、治疗	Provide Shield and Healing to targets	
1795	为知识奔走的旅人，旷野点燃的孤灯，风的方向答案飘扬……	A traveler running for knowledge, a lone lamp lit in the wilderness, the answer fluttering in the direction of the wind...	
1796	为范围内友方附加光之律动，提高其攻击，持续15秒。	Applies Rhythm of Light to allies within range, increasing their Attack for 15 seconds.	
1797	主人是位魔药天才！能为她工作真是幸福啊！	Master is a potion genius! It's truly a blessing to work for her!	
1798	主动使用3次朗基努斯之枪后展开真理裂隙，只命中一个目标时伤害提高50%。	After actively using Spear of Longinus 3 times, unfold Rift of Truth; damage is increased by 50% when hitting only one target.	
1799	主动使用8次朗基努斯之枪后展开真理裂隙。	After actively using Spear of Longinus 8 times, deploy Rift of Truth.	
1800	主动前往<Highlight>法阵中集合分摊</>，可以阻止奥赛库斯造成灭团伤害。	Proactively go to the <Highlight>magic circle to gather and share damage</>, which can prevent Osekus from causing a party wipe.	
1801	主动怪	Aggressive monster	
1802	主动查找	Manual Search	
1803	主天赋树	Main Talent Tree	
1804	主宰争锋·初露锋芒	Dominator's Clash · Emerging Talent	
1805	主宰争锋对局达到一分钟和两分钟时，攻击力将获得提升，可利用该效果拿下对局。	When the Dominator's Clash match reaches one minute and two minutes, attack power will increase; you can use this effect to win the match.	
1806	主楼梯已损毁无法前进，向楼梯左侧偏门探索	The main staircase is damaged and impassable; explore the side door to the left of the staircase.	
1807	主理人	Person in Charge	
1808	主界面HUD技能轮盘	Main Interface HUD Skill Wheel	
1809	主界面技能悬浮显示提示	Skill Floating Display Tips on Main Interface	
1810	主界面技能悬浮显示说明	Main Interface Skill Hover Display Instructions	
1811	主界面技能长按显示提示	Skill Long-Press Display Tips on Main Interface	
1812	主界面技能长按显示说明	Main Interface Skill Long-Press Display Instructions	
1813	主神像触发宝箱奖励的对话	Dialogue Triggered by Main Statue Treasure Chest Reward	
1814	主祭的护盾被击破了，集火！	The High Priest's shield has been broken; focus fire!	
1815	主祭的护盾需要太阳圣徽才能击破	The High Priest's shield requires the Sun Holy Emblem to be broken	
1816	主线1_3源堡解围	Main Story 1-3: Relief from Sefirah Castle	
1817	主线1_4民居惊逢尸体	Main Story 1-4: Shocking Discovery of a Corpse in the Residence	
1818	主线1_5民居惊逢尸体	Main Story 1-5: Shocking Discovery of a Corpse in the Residence	
1819	主线1_6民居惊逢尸体	Main Story 1-6: Shocking Discovery of a Corpse in the Residence	
1820	主线1_7民居惊逢尸体	Main Story 1-7: Shocking Discovery of a Corpse in the Residence	
1821	主线1_8民居惊逢尸体	Main Story 1-8: Shocking Discovery of a Corpse in the Residence	
1822	主线2-2任务触发	Main quest 2-2 trigger	
1823	主线仪式法阵	Main Story Ritual Circle	
1824	主线禁止放技能和移动	Main Story Disable Skill and Movement	
1825	主线第一章-男树人-盛开法术代理-NoSpawn	Main Story Chapter 1 - Male Treant - Bloom Spell Proxy - NoSpawn	
1826	主线第一章-男树人-盛开法术代理-Spawn	Main Story Chapter 1 - Male Treant - Bloom Spell Proxy - Spawn	
1827	主菜单-技能按钮解锁	Main Menu - Skill Button Unlock	
1828	主要模型半径和高度变化，影响攻击盒判定	Main model radius and height changes, affecting attack box judgment.	
1829	主角任务回血	Protagonist Quest Heal	
1830	丽埃娜技能	Liana Skill	
1831	丽埃娜激发3-888的循环力量，二人受到伤害大幅降低，优先破除3-888护盾！	Liana activates the cyclic power of 3-888; both receive significantly reduced damage; prioritize breaking the 3-888 shield!	
1832	丽贝卡技能1普通	Rebecca Skill 1 Normal	
1833	丽贝卡技能1狂暴	Rebecca Skill 1 Berserk	
1834	丽贝卡提供的线索很及时，这枚小铜镜就是突破口，罗珊应该也有一个。	The clues provided by Rebecca are very timely. This small copper mirror is the breakthrough point, Rozanne should have one too.	
1835	丽贝卡施放占星术，技能得到增强！	Rebecca casts Astrology; her skills are enhanced!	
1836	举刀buffID（不填则不检查举刀，和默认attack效果一样	Raise sword buff ID (if left blank, raising sword is not checked, same effect as default attack).	
1837	举行仪式中	Performing ritual...	
1838	举起相机的刹那，时间在取景框里绊了一跤，于是定格成永恒。	The moment the camera is raised, time trips in the viewfinder and freezes into eternity.	
1839	之前听说，只要有对方的相关物品，就可以尝试占卜他的下落？	I heard before that as long as you have an item related to the person, you can try to divine their whereabouts?	
1840	之前我们帮人提行李可以收3便士，现在他们收2便士了。	We used to charge 3 pence for carrying luggage, now they charge 2 pence.	
1841	之前有个打扮奇怪的女士，来咖啡厅找人，看上去怒气冲冲的，感觉不是什么好事。	A strangely dressed lady came to the cafe to look for someone earlier, looking furious. It didn't feel like anything good.	
1842	乌洛琉斯将同时对场上的所有玩家、梅迪奇、奥赛库斯随机赋予一种命运效果，分别为<Disable>顺遂</>和<Disable>挫败</>。玩家如果攻击与自身相同的敌人时将会受到巨额<Disable>反弹伤害</>。	Ouroboros will simultaneously assign a random fate effect to all players, Medici, and Alista, which are <Disable>Success</> and <Disable>Failure</>. If players attack an enemy with the same fate as themselves, they will take massive <Disable>reflected damage</>.	
1843	乌黯魔狼-暗寂无垠法术代理	Dark Demonic Wolf - Boundless Dark Silence Spell Proxy	
1844	乌黯魔狼上天-无敌效果	Dark Demonic Wolf Ascend-Invincibility Effect	
1845	乌黯魔狼冲锋临时删除隐身	Dark Demonic Wolf Charge Temporary Invisibility Removal	
1846	乌黯魔狼冲锋随机筛选目标	Dark Demonic Wolf Charge Random Filter Target	
1847	乌黯魔狼召唤2只<Disable>魔狼眷族</>，<Disable>魔狼眷族</>出生后会进入隐身状态，持续延场边移动并间隔释放伤害越来越高的全场伤害，<Disable>魔狼眷族</>存在期间会保护<Disable>乌黯魔狼</>，使其处于无敌状态	The Dark Demonic Wolf summons 2 <Disable>Demon Wolf Kin</>. After the <Disable>Demon Wolf Kin</> spawn, they will enter an invisibility state, continue to move along the edge of the field, and periodically release field-wide damage that becomes increasingly higher. While the <Disable>Demon Wolf Kin</> exist, they will protect the <Disable>Dark Demonic Wolf</>, keeping it in an invincible state.	
1848	乌黯魔狼召唤数排游荡的<Disable>乌暗之影</>，<Disable>乌暗之影</>出现后会进入<Disable>隐身</>状态，并且持续向前移动，对路径上的玩家造成击飞和伤害	The Dark Demonic Wolf summons several rows of wandering <Disable>Shadows of Darkness</>. After the <Disable>Shadows of Darkness</> appear, they will enter an <Disable>Invisibility</> state and continue to move forward, knocking up and damaging players in their path.	
1849	乌黯魔狼对自己许愿，给所有玩家添加<Disable>暗光</>效果，暗光会持续对玩家造成伤害并逐渐夺去玩家的光明。	The Dark Demonic Wolf makes a wish to itself, adding a <Disable>Dark Light</> effect to all players. Dark Light will continuously deal damage to players and gradually strip away their light.	
1850	乌黯魔狼隐入暗影之中，并召唤数个<Disable>魔狼雕像</>。暗影会逐渐覆盖场地，并吞噬所有处于其中的玩家，乌黯魔狼在暗影中会不断使用冲锋攻击玩家。	The Dark Demonic Wolf hides in the shadows and summons several <Disable>Demon Wolf Statues</>. The shadows will gradually cover the field and devour all players within them; the Dark Demonic Wolf will continuously use charges to attack players while in the shadows.	
1851	乌龟振刀相机	Turtle parry camera	
1852	乔安娜抽到宝剑十。我告诉她，这是终结和失败，练得再好也上不了大城市的舞台。	Joanna drew the Ten of Swords. I told her it meant finish and failure, and that no matter how well she practiced, she would never make it to the big city stage.	
1853	乔纳尔医生，你的职业是治病救人，我的职责也是保护更多的人免于厄运。	Dr. Jonar, your profession is to heal the sick and save people, and my duty is also to protect more people from misfortune.	
1854	乔纳尔夫妇受到反噬伤害，陷入虚弱	The Jonar couple receives Backlash Damage and falls into a weakened state.	
1855	乔纳尔技能3	Jonar Skill 3	
1856	乘坐长途马车，前往拉姆德古堡。	Take a long-distance carriage to Lamud Castle.	
1857	九次总伤害：<HighLight>162%</>攻击	Total damage of nine hits: <HighLight>162%</> attack	
1858	也可以通过<Highlight>模板</>功能建造城堡，点击此处进入。	You can also build a castle through the <Highlight>Template</> function. Click here to enter.	
1859	也就是说，你用灵视除了能直接看到一些灵体、鬼魂和怨灵，还能看到“以太体”，可以通过气场不同的状态来判断对方的健康和情绪。	In other words, besides being able to directly see some spirits, ghosts, and vengeful spirits with spirit vision, you can also see the 'Ether Body', and you can judge the other party's health and emotions through the different states of the aura.	
1860	也是厄难与恐惧的女皇，安眠和寂静的领主。	She is also the Empress of Disaster and Horror, and the Lord of Slumber and Silence.	
1861	习得后的小光环	Small aura after learning	
1862	书店trigger	Bookstore trigger	
1863	书架怪的持续伤害	Bookshelf Monster Continuous Damage	
1864	书桌触发	Desk trigger	
1865	买报纸trigger	Buy Newspaper Trigger	
1866	二楼灵性追溯保底	Second floor Spiritual Retrospection safety net	
1867	二楼触发器	Second floor trigger	
1868	二段技能伤害增加85%。	Second-stage skill damage increased by 85%.	
1869	二段技能的伤害增加50%。	Damage of the secondary skill increased by 50%.	
1870	二段技能的爆炸伤害增加100%。	Second-stage skill explosion damage increased by 100%.	
1871	二段技能造成伤害时，会产生爆炸，对周围敌方额外造成伤害。	When the secondary skill deals damage, it triggers an Explosion, dealing additional damage to surrounding enemies.	
1872	二段连击	Two-Stage Combo	
1873	二级防御跑塔	Level 2 Defense Tower	
1874	二连击	Double Strike	
1875	二阶段-小子爵·给玩家加安全区buff	Stage 2 - Little Viscount · Give player safe zone buff	
1876	二阶段-管家标记buff	Phase 2 - Butler Mark Buff	
1877	于迷雾中追寻灵性气息……	Pursuing spiritual aura in the fog...	
1878	云朵被你点燃，盛放作玫瑰。	The clouds are ignited by you, blooming into roses.	
1879	五个苏勒，带你上城堡里走一遭。淘到的东西都归你，怎么样？	Five Soles to take you on a trip to the castle. Anything you find is yours, how about it?	
1880	五月庄园_子嗣守护_1目标_Buff84008605	May Manor_Offspring Protection_1 Target_Buff84008605	
1881	五月庄园_子嗣守护_1目标_Buff84008606	May Manor_Offspring Protection_1 Target_Buff84008606	
1882	五月庄园_子嗣守护_1目标_Buff84008607	May Manor_Offspring Protection_1 Target_Buff84008607	
1883	五月庄园_子嗣守护_1目标_Buff84008608	May Manor_Offspring Protection_1 Target_Buff84008608	
1884	五月庄园_子嗣守护_1目标_Buff84008609	May Manor_Offspring Protection_1 Target_Buff84008609	
1885	五月庄园_子嗣守护_1目标_Buff84008612	May Manor_Offspring Protection_1 Target_Buff84008612	
1886	五月庄园_子嗣守护_1目标_Buff84008620	May Manor_Offspring Protection_1 Target_Buff84008620	
1887	五月庄园_子嗣守护_1目标_Buff84008621	May Manor_Offspring Protection_1 Target_Buff84008621	
1888	五月庄园_子嗣守护_1目标_Buff84008625	May Manor_Offspring Protection_1 Target_Buff84008625	
1889	五月庄园_子嗣守护_1目标_Buff84008626	May Manor_Offspring Protection_1 Target_Buff84008626	
1890	五月庄园_子嗣守护_1目标_Buff84008627	May Manor_Offspring Protection_1 Target_Buff84008627	
1891	五月庄园·城堡	May Manor · Castle	
1892	五月庄园·城堡·困难	May Manor · Castle · Hard	
1893	五月庄园·城堡·困难副本开启	May Manor · Castle · Hard dungeon opened	
1894	五月庄园·城堡·普通	May Manor · Castle · Normal	
1895	五月庄园·城堡副本开启	May Manor · Castle dungeon opened	
1896	五月庄园·城堡困难难度已解锁	May Manor · Castle hard difficulty unlocked.	
1897	五月庄园·城堡普通难度已解锁	May Manor · Castle normal difficulty unlocked.	
1898	五月庄园城堡怎么打	How to clear May Manor Castle	
1899	五月庄园城堡机制	May Manor Castle mechanics	
1900	五次*d点伤害	Five instances of *d damage.	
1901	五连击	Five-Hit Combo	
1902	亚伯拉罕家族遗留的传送之杖。为目标刻下星痕标记，射程不足时消耗标记瞬移到位再出手，闪避之后还能追加一次瞬移。但触发越多，越可能失控迷路。	The Teleport staff left behind by the Abraham family. Carve a star mark on the target; when the range is insufficient, consume the mark to Teleport into position before attacking, and you can add another Teleport after a Dodge. But the more it is triggered, the more likely you are to lose control and get Lost.	
1903	亚巴顿的老巢，亡灵的源头。终结这一切，或是成为他的又一件收藏。	Abaddon's lair, the source of the undead. End all of this, or become another one of his collections.	
1904	亚巴顿释放禁忌咒语，在场上召唤大量附带邪恶能量的陨星从天而降。若陨星坠落至地面则会爆炸，对全场玩家造成伤害并附加<Disable>邪恶印记</>效果，若陨星在落地前被玩家接住，则只对该名玩家造成伤害和附加<Disable>邪恶印记</>效果。	Abaddon releases a forbidden spell, summoning a large number of meteors infused with evil energy to fall from the sky. If a meteor hits the ground, it will explode, dealing damage to all players and applying an <Disable>Evil Mark</> effect. If a player catches a meteor before it hits the ground, it will only deal damage to that player and apply an <Disable>Evil Mark</> effect.	
1905	亚瑟是鲁恩的英雄。他带我们在间海抗击弗萨克军队。	Arthur is a hero of Loen. He led us in resisting the Feysac army in Midseashire.	
1906	亚瑟附近trigger	Trigger near Arthur	
1907	亡灵消失trigger	Undead Disappear Trigger	
1908	亡灵的絮语在此低徊指引，是所有死亡归寂的渡口。 	The whispers of the undead linger here as guidance, the ferry crossing where all death finds silence.	
1909	亡者气息侵蚀着生者的躯壳——体力恢复变慢了！	The aura of the dead is eroding the bodies of the living—stamina recovery has slowed down!	
1910	交互物-塔罗牌	Interaction Object - Tarot Card	
1911	交叉点最高伤害：<HighLight>360%</>攻击	Intersection maximum damage: <HighLight>360%</> attack	
1912	亭子trigger	Pavilion trigger	
1913	亲爱的小姐，如果一个医生能发明出不需要任何代价，就能治疗脱发的手术，他马上就能成为鲁恩的首富。	My dear lady, if a doctor could invent a surgery that treats hair loss without any cost, he would immediately become the richest man in Loen.	
1914	亲爱的，你真有才华……	My dear, you are truly talented...	
1915	亲爱的，这可是我们的订婚仪式，你怎么能动手呢……	My dear, this is our engagement ceremony, how can you start a fight...	
1916	亵渎魔女Boss-刺骨冰寒召唤子弹buff	Profane Witch Boss - Bone-Chilling Cold Summon Bullet Buff	
1917	亵渎魔女Boss-自带特效buff	Profane Witch Boss: Comes with effect buff	
1918	亵渎魔女Boss的Buff号段尾	Profane Witch Boss Buff ID Range End	
1919	亵渎魔女假镜子buff	Profane Witch False Mirror Buff	
1920	亵渎魔女拖拽眩晕	Profane Witch Drag Stun	
1921	亵渎魔女真镜子buff	Profane Witch True Mirror Buff	
1922	人心是最喧嚣的寂静。	The human heart is the most clamorous silence.	
1923	人皮的封面、写满了仪式魔法的书……	A cover made of human skin, a book filled with Ritual Magic...	
1924	人类总觉得治疗是单向的——医生治疗病人，强者帮助弱者。但奥黛丽教会我：真正的关系，是互相看见。	Humans always think that healing is one-way—doctors heal patients, the strong help the weak. But Audrey taught me: true relationships are about seeing each other.	
1925	人群中突然冒出一阵黑气，周围人惊恐的退后	A burst of black energy suddenly erupts in the crowd, and the people around retreat in terror.	
1926	人脉技能	Connection Skill	
1927	人脉技能TAB	Connection Skill TAB	
1928	人脉技能升级所需的材料。	Materials required for upgrading Connection Skills.	
1929	人脉话题-奥黛丽5关于心理治疗	Connection Topic - Audrey 5: About Psychotherapy	
1930	人脉话题-阿尔杰4关于冲激冲激	Connection Topic - Alger 4: About Shocking News	
1931	人造死神标记buff	Artificial Death Marker buff	
1932	什么……仪式？我们不是来过生日的吗？	What... ritual? Aren't we here for a birthday party?	
1933	仅Buff可用，免疫死亡一次，触发后移除buff	Only available for Buffs; immune to death once, removes the buff after triggering.	
1934	仅仅是魔药配方这一项，就能将人推向不可预知的漩涡。	Just the potion formula alone can push people into an unpredictable vortex.	
1935	仅使用该法术场的表现，不使用其逻辑	Use only the visual representation of this spell field, not its logic.	
1936	仅在盛夏生长的草药，蕴含旺盛生命力，常用于增强体魄或生命相关配方。	Herbs that only grow in midsummer, containing vigorous Health, often used to enhance physique or in health-related formulas.	
1937	仅在连线buff里面生效；true的化，对buff的持有者和连线目标同时造成伤害；false，仅对action的target造成伤害	Only effective within Link Buffs; if true, deals damage to both the buff holder and the linked target; if false, only deals damage to the Action target	
1938	仅影响充能技能，改变其充能次数	Only affects charge skills, changing their charge count.	
1939	仅监听首技能	Only listen to the first Skill	
1940	仅肉鸽使用，用于实现复活不消耗次数	Only used in Roguelike, used to implement resurrection without consuming charges.	
1941	仅能配合Event：OnBeforeBuffAdd使用	Can only be used in conjunction with Event: OnBeforeBuffAdd.	
1942	仅造成有效治疗才触发	Trigger only when effective Healing is caused	
1943	今夜琴声温柔-求婚情侣哭成一团	Gentle Piano Music Tonight - The couple proposing breaks down in tears	
1944	今天也没发现正规且有效的仪式魔法……	Still haven't found any formal and effective Ritual Magic today...	
1945	今天就让你知道“终结者”的厉害。我会让你后悔来到这个场上！	Today I'll show you the power of the 'Terminator'. I'll make you regret coming to this field!	
1946	今天就让你知道终结者的厉害。你会后悔来到这个场上！	Today I'll show you the power of the Terminator. You'll regret coming to this arena!	
1947	今天开始，我，新的，“至尊霹雳舞王”！	Starting today, I, the new, \"Supreme Breakdance King\"!	
1948	今日推荐的甜点有胡萝卜蛋糕，甜而不腻，健康营养。	Today's recommended dessert is carrot cake, sweet but not greasy, healthy and nutritious.	
1949	今日活跃度已满，无法重新占卜	Daily activity is full; cannot re-divine.	
1950	从书页中抽出一张牌。造型像是一张塔罗牌，上面绘制着一轮血月	Pulling a card from the pages of the book. It looks like a Tarot card, with a blood moon depicted on it.	
1951	从亲手击败的敌人身上取得，常用于血腥誓约或仇恨指向仪式。	Obtained from an enemy defeated by one's own hands, often used in bloody Covenants or hatred-pointing rituals.	
1952	从去年春天开始，每次夜班休息时写几句。看，这是我的笔记本。	Since last spring, I write a few lines during my night shift breaks. Look, this is my notebook.	
1953	从古堡小镇的秘术杀人事件的受害居民身上扯下来的衣服碎片，上面似乎写着“看床”两个字。	Clothing fragments torn from the victims of the mystical murder case in the ancient castle town, with the words \"Look at the bed\" seemingly written on them.	
1954	从右侧攻击	Attack from the right	
1955	从右前攻击	Attack from the front right	
1956	从右后攻击	Attack from the rear right	
1957	从后侧攻击	Attack from the rear	
1958	从场中打碎箱子，寻找物资，合成物资。使用物资，帮助穷人吧！	Break boxes in the field to find supplies and synthesize them. Use the supplies to help the poor!	
1959	从始作俑者处分担伤害	Share damage from perpetrator	
1960	从左侧攻击	Attack from the left	
1961	从左前攻击	Attack from the front left	
1962	从左后攻击	Attack from the rear left	
1963	从未修炼过俱乐部技能	Never cultivated any club skills.	
1964	从梦境中唤醒消散的队友，并回复其50%生命值。	Awaken a dissipated teammate from the dream and restore 50% of their health.	
1965	从梦境中唤醒自身，并回复50%生命值。	Awaken oneself from the dream and restore 50% of health.	
1966	从法术场id列表里面随机一个在地面创建法术场	Randomly create a Spell Field on the ground from a list of Spell Field IDs.	
1967	从激活的导电圣标处传递雷电，充能所有圣标，击破绝缘屏罩。	Transmit lightning from the activated Conductive Holy Beacon to charge all beacons and break the insulation barrier.	
1968	从灵性敌人身上抽离的能量，可以使用能量在特殊的仪式法阵上召唤仆从帮助自己战斗。	Energy extracted from spiritual enemies, can use energy to summon minions on special ritual circles to help fight.	
1969	从知识中汲取力量，在目标身边召唤一个无敌的神秘幻象持续对敌人造成伤害，二段可与幻象互换位置。释放后获得神秘知识（用于解锁终结技能）。	Draw power from knowledge to summon an invincible mysterious illusion beside the target, continuously dealing damage to enemies. The second stage allows you to swap positions with the illusion. Gain mysterious knowledge (used to unlock finisher skills) after release.	
1970	从秋水仙中提炼的高毒性精华，常用于抑制或扭曲生命力。	A highly toxic essence extracted from colchicum, often used to suppress or distort Health.	
1971	从职员们的谈话来看，终结了开膛手的角色应该是<P_Yellow>警察队长</>，在剧本上记录一下吧。	Judging from the staff's conversation, the character who ended the Ripper should be <P_Yellow>the police captain</>; record it in the script.	
1972	从遥远的星空投下庇护的光华，绯红意志在范围里<Disable>难以受到伤害</>。	Casting protective radiance from the distant starry sky, the Crimson Will is <Disable>difficult to damage</> while within the range.	
1973	从高温熔浆中自然冷却形成，保留部分火焰与大地属性。	Formed by natural cooling from high-temperature magma, retaining some fire and earth attributes.	
1974	仔细观察头顶宣传口号气泡，迅速站到<Highlight>反诈区域</>。倒计时结束后，危险区域将<Disable>爆炸并大幅削减生命</>。	Carefully observe the slogan bubbles above your head and quickly stand in the <Highlight>anti-fraud area</>. After the countdown ends, the danger zone will <Disable>explode and significantly reduce health</>.	
1975	他举着盾牌顶在最前面，弹开了所有龙焰。	He held his shield at the very front and deflected all the dragon fire.	
1976	他们太疯狂，我实在追不上他们。	They are too crazy, I really can't keep up with them.	
1977	他们好像只是睡着了，看来仪式并非完全安全。希望他们可以长记性吧。	They seem to have just fallen asleep; it appears the ritual wasn't entirely safe. I hope they learn their lesson.	
1978	他们整队人就那么进到城堡里面去，然后……光，还有声音！所有人像睡着了似的，那场面太诡异了……	Their whole team just went into the castle, and then... light, and sounds! Everyone looked like they were asleep; that scene was too eerie...	
1979	他们的灵体与现在的宁静合了影，对他们来说，也算是圆满了。	Their spirit bodies took a photo with the current tranquility; for them, it can be considered a fulfillment.	
1980	他们短期内变不回来，我也可以继续研究那些“浪费天赋”的药剂了。	They won't be able to change back for a while, and I can continue researching those 'talent-wasting' potions.	
1981	他们简直是太划算了！而且特别认真，孩子成绩不好还会主动提出退钱。女神保佑！	They are simply such a bargain! And they are especially diligent; if the child's grades aren't good, they even take the initiative to offer a refund. Goddess bless!	
1982	他们走后，两件事变了。一是城堡，那种奇怪的感觉消失了；二是老杰克——哦，就是现在守在铁轨那边的疯子。	After they left, two things changed. One was the castle; that strange feeling disappeared. The second was Old Jack—oh, that's the madman guarding the train tracks now.	
1983	他入梦了，抓紧时间击破护盾！	He has entered a dream, hurry and break the shield!	
1984	他告诉我，穿上这双经过仪式的舞鞋，所有人都会爱上我。	He told me that if I wore these ritualized dancing shoes, everyone would fall in love with me.	
1985	他因为愤怒已经失去理智了！得赶紧拦住他！	He has lost his mind due to anger! Must stop him quickly!	
1986	他因为溺水记忆混乱，心智也不够成熟，我们失去了沟通的基础。塔罗学院已经在暗中观察保护他，准备找机会和他建立联系。	Because of his near-drowning, his memories are in chaos and his mental state is not mature enough; we have lost the foundation for communication. The Tarot Academy has already been secretly observing and protecting him, preparing to find an opportunity to establish contact.	
1987	他就倒在一间反锁的卧室里，是管家叫人撞开的门。目前现场还保持着原来的样子，我没有让人动过任何地方。	He collapsed in a locked bedroom; it was the butler who had people break down the door. The scene is still as it was; I haven't let anyone touch anything.	
1988	他已经完全失去了理智。	He has completely lost his mind.	
1989	他收的利息也太高了……	The interest he charges is too high...	
1990	他是月亮仆从的成员，还在梦里举行过祭祀仪式……我是不是该继续追查下去？	He is a member of the Moon Servant and even held a sacrificial ritual in a dream... Should I continue to investigate?	
1991	他曾给伐木工缝合过手臂，用三剂药就治好了卡斯特肝部的隐痛。	He once stitched up a lumberjack's arm and cured Castor's hidden liver pain with just three doses of medicine.	
1992	他现在越来越忙了，能力越大责任越大，但我依然希望他爱惜身体。	He is getting busier and busier now; with great power comes great responsibility, but I still hope he takes care of his health.	
