ID	CN	EN	RU_TRANSLATION
2179	扳机点	Trigger point	
2180	承伤	Damage Taken	
2181	承受伤害	Damage Taken	
2182	承受伤害量	Damage Taken	
2183	技能	Skill	
2184	技能ID	Skill ID	
2185	技能一	Skill One	
2186	技能三	Skill Three	
2187	技能二	Skill Two	
2188	技能分支	Skill Branch	
2189	技能命中	Skill hit	
2190	技能点数	Skill Points	
2191	技能等级	Skill Level	
2192	技能类型	Skill type	
2193	技能解锁	Skill Unlock	
2194	技能退出	Skill exit	
2195	技能释放	Skill cast	
2196	技能阶数	Skill Tier	
2197	技能：%s	Skill: %s	
2198	护盾	Shield	
2199	抵挡	Block	
2200	拉姆德古堡	Lamud Castle	
2201	拉黑	Block	
2202	拖拽眩晕	Drag Stun	
2203	拖拽闪避	Drag Dodge	
2204	拜访城堡	Visit Castle	
2205	拳手_壁垒	Fighter_Bulwark	
2206	拼刀	Parry	
2207	持盾	Hold Shield	
2208	指挥技能	Command Skill	
2209	挣脱	Break Free	
2210	损坏	Damaged	
2211	揍晕	Stun Punch	
2212	提示_环形AOE	Hint_Ring AOE	
2213	攻击	Attack	
2214	攻击+*f**	Attack +*f**	
2215	攻击+3800	Attack +3800	
2216	攻击_N	Attack_N	
2217	攻击·蓝	Attack - Blue	
2218	攻击·金	Attack - Gold	
2219	攻击技能	Attack Skill	
2220	攻击提升	Attack Boost	
2221	攻击游戏	Attack Game	
2222	攻击距离	Attack Range	
2223	攻击！	Attack!	
2224	放下技能	Drop Skill	
2225	放逐-减速	Banish-Slow	
2226	旅法师	Planeswalker	
2227	旅行符咒	Travel Charm	
2228	无坚不摧	Unbreakable	
2229	明灯增益	Beacon Buff	
2230	昏迷	Stun	
2231	是否有护盾	Has Shield	
2232	是否跟随释放者	Follow Caster	
2233	普通攻击	Normal Attack	
2234	暴击	Critical Hit	
2235	最佳治疗	Best Healing	
2236	最大生命	Max Health	
2237	最终伤害	Final Damage	
2238	月亮仪式	Moon Ritual	
2239	机器人闪避	Robot Dodge	
2240	极致	Ultimate	
2241	枪影疾行	Gun Shadow Dash	
2242	查看_攻击盒	View_Attack Box	
2243	标记 buff	Mark Buff	
2244	标记Buff	Mark Buff	
2245	标记_子嗣守护本体_困难	Mark_Offspring Protection_Hard	
2246	标记_幻影撕裂_点名1	Mark_Phantom Tear_Target 1	
2247	标记_幻影撕裂_点名2	Mark_Phantom Tear_Target 2	
2248	标记_幻影撕裂_点名3	Mark_Phantom Tear_Target 3	
2249	标记_撕裂大地	Mark_Tear Earth	
2250	标记_炼金心得_Boss_地脉	Mark_Alchemy Insights_Boss_Ley Line	
