Id	CN	EN	RU
52	崔佛\r\n酒桶上放了什么！	Trevor\r\nWhat did you put on the barrel!	Trevor\r\nWhat did you put on the barrel!
53	上回合总收入	Total income from the previous round	Total income from the previous round
54	35品	Grade 35	Grade 35
55	当前好感度: <Favorite1>600</>	Current Favorability: <Favorite1>600</>	Current Favorability: <Favorite1>600</>
56	怎么骗子又换话术了	How did the scammer change their script again?	How did the scammer change their script again?
57	先去买船票吧。	Go buy the boat ticket first.	Go buy the boat ticket first.
58	反馈人(邮箱前缀)(必填)：	Feedback Provider (Email Prefix) (Required):	Feedback Provider (Email Prefix) (Required):
59	队伍召集	Team Recruitment	Team Recruitment
60	希望保险公司能多给些钱\r\n用来抚养我的孩子……	I hope the insurance company can give more money\r\nso I can raise my children...	I hope the insurance company can give more money\r\nso I can raise my children...
61	暂未加入任何小队	Not joined any team yet	Not joined any team yet
62	%.2f万	%.2f0,000	%.2f0 000
63	她那天不知怎么的，\r\n似乎特别漂亮……\r\n就好像在等着我似的……	I don't know what happened that day, but she seemed exceptionally beautiful...\r\nIt was as if she were waiting for me...	I don't know what happened that day, but she seemed exceptionally beautiful...\r\nIt was as if she were waiting for me...
64	混乱与秩序的终极答案，\r\n就在其中	The ultimate answer to Chaos and Order,\r\nlies within.	The ultimate answer to Chaos and Order,\r\nlies within.
65	%d万	%d0,000	%d0 000
66	为\r\n什\r\n么\r\n？	W\r\nh\r\ny\r\n?	W\r\nh\r\ny\r\n?
67	我\r\n很\r\n期\r\n待	I \r\n am \r\n looking \r\n forward to it	I \r\n am \r\n looking \r\n forward to it
68	我是一个\r\n不负责的母亲	I am an\r\nirresponsible mother.	I am an\r\nirresponsible mother.
69	-12.2万	-122,000	-122 000
70	下水道系统已经初步建立，\r\n灭鼠行动也持续进行中。	The sewer system has been initially established,\r\nand the rat extermination campaign is also in Continuous progress.	The sewer system has been initially established,\r\nand the rat extermination campaign is also in Continuous progress.
71	亲爱的尼尔：\r\n如果我能……	Dear Niel:\r\nIf I could...	Dear Niel:\r\nIf I could...
72	碎片名称	Fragment Name	Fragment Name
73	邮件正文	Mail Body	Mail Body
74	保持你心中的荣耀，继续战斗！	Keep the glory in your heart and continue to fight!	Keep the glory in your heart and continue to fight!
75	实时语音<Green>2</>人	Real-time voice <Green>2</> people	Real-time voice <Green>2</> people
76	未加入势力俱乐部	Not joined a faction Club	Not joined a faction Club
77	进俱乐部变杯子	Joining the Club turns me into a cup.	Joining the Club turns me into a cup.
78	好神奇呀大家真有高原反应了	Amazing, everyone actually has altitude sickness.	Amazing, everyone actually has altitude sickness.
79	来门之钥送正太会长萝莉副会长	Come to Key of Door to get a shota president and a loli vice-president.	Come to Key of Door to get a shota president and a loli vice-president.
80	累计抽取<Highlight>200</>次解锁	Unlock after <Highlight>200</> draws	Unlock after <Highlight>200</> draws
81	薪火	Kindling	Kindling
82	<FirstBigSelect>占</>位文本	<FirstBigSelect>Place</>holder text	<FirstBigSelect>Place</>holder text
83	一团 14/30	A group 14/30	A group 14/30
84	名字总共七个字	Seven Character Name Total	Seven Character Name Total
85	大意了	Got careless.	Got careless.
86	当前发言模式： 房主设置发言顺序	Current Speaking Mode: Host sets speaking order	Current Speaking Mode: Host sets speaking order
87	该结束了……金狼。	It's time to end this... Golden Wolf.	It's time to end this... Golden Wolf.
88	欢迎，又一个被欲望驱使至此的人。	Welcome, another person driven here by desire.	Welcome, another person driven here by desire.
89	还需230点	230 points still needed	230 points still needed
90	加成效果	Bonus Effect	Bonus Effect
91	不好躲技能	Hard to dodge skills	Hard to dodge skills
92	切换露米意识\r\n靠近记忆碎片	Switch Lumian's consciousness\r\nApproach the memory fragment	Switch Lumian's consciousness\r\nApproach the memory fragment
93	商业站<DarkHighlight>X8</>	Commercial Station <DarkHighlight>X8</>	Commercial Station <DarkHighlight>X8</>
94	编号	Number	Number
95	这是您点的红茶。	This is the black tea you ordered.	This is the black tea you ordered.
96	今日首胜获得胜点x2，剩余<highlight>2</>次	First win of the day grants 2x victory points, <highlight>2</> attempts remaining	First win of the day grants 2x victory points, <highlight>2</> attempts remaining
97	鸟哥要溜风筝才有机会	Bird Brother needs to kite to have a chance.	Bird Brother needs to kite to have a chance.
98	再坚持一会儿，祭祀完成后，你就会重新获得生命！	Hold on a little longer; once the sacrifice is complete, you will regain your health!	Hold on a little longer; once the sacrifice is complete, you will regain your health!
99	啊？这么不经打，碰一下就倒了？	Huh? So fragile, fell over with a touch?	Huh? So fragile, fell over with a touch?
100	嗯，这个御姐和萝莉我都要了	Yeah, I want both this mature woman and the loli.	Yeah, I want both this mature woman and the loli.
101	文案内容<Highlight>文案内容</>文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容<Highlight>文案内容</>文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容<Highlight>文案内容</>文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容	Copy Content <Highlight>Copy Content</> Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content <Highlight>Copy Content</> Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content <Highlight>Copy Content</> Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content	Copy Content <Highlight>Copy Content</> Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content <Highlight>Copy Content</> Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content <Highlight>Copy Content</> Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content
102	收起舞美	Collapse Stage Design	Collapse Stage Design
103	暗面	Dark Side	Dark Side
104	越来越多人消失了……不能再等了。	More and more people are disappearing... we can't wait any longer.	More and more people are disappearing... we can't wait any longer.
105	Projection of 火焰火焰	Projection of Flame Fire	Projection of Flame Fire
106	已支配	Dominated	Dominated
107	选勾后，通过传送进入对应场景将自动切换对应的穿搭方案。	After checking this, your outfit preset will automatically switch when you Teleport into the corresponding scene.	After checking this, your outfit preset will automatically switch when you Teleport into the corresponding scene.
108	我气倒了呀。。。这异变到底哪里来的	I'm so angry... where did this mutation come from?	I'm so angry... where did this mutation come from?
109	王慧兰	Wang Huilan.	Wang Huilan.
110	进不去啊	Can't get in.	Can't get in.
111	评分: 3003000	Rating: 3003000	Rating: 3003000
112	已收集能力牌：	Ability Cards Collected:	Ability Cards Collected:
113	设置星级	Set star level	Set star level
114	酒类商品出售价格上涨<Buff>10%</>	Alcoholic beverage selling price increased by <Buff>10%</>	Alcoholic beverage selling price increased by <Buff>10%</>
115	分组一，分组二，	Group 1, Group 2,	Group 1, Group 2,
116	999米	999 meters	999 meters
117	你咋这么硬啊	Why are you so tanky	Why are you so tanky
118	你这个很夸张啊	This of yours is very exaggerated	This of yours is very exaggerated
119	域经销协议	Regional Distribution Agreement	Regional Distribution Agreement
120	谁来救救我……\r\n救救我……	Who can save me...\r\nSave me...	Who can save me...\r\nSave me...
121	首席挑战赛	Chief Challenge	Chief Challenge
122	绿意不在\r\n重现生机	The greenery is gone\r\nVitality restored	The greenery is gone\r\nVitality restored
123	至	To	To
124	茉莉花茶	Jasmine Tea	Jasmine Tea
125	请在倒计时结束前选择	Please make your choice before the countdown ends.	Please make your choice before the countdown ends.
126	周获取总上线：<Highlight>1234</>/5000	Weekly acquisition limit: <Highlight>1234</>/5000	Weekly acquisition limit: <Highlight>1234</>/5000
127	无法选择好感度不足活处于不可赠送状态的玩家	Cannot select players with insufficient favorability or who are in a non-giftable state	Cannot select players with insufficient favorability or who are in a non-giftable state
128	10秒？	10 seconds?	10 seconds?
129	暂无可附加关系	No attachable relationships for now	No attachable relationships for now
130	我根据回忆调制的甜冰茶，来尝尝好不好喝？	I made some sweet iced tea from memory, want to try if it's good?	I made some sweet iced tea from memory, want to try if it's good?
131	？？？	???	???
132	垃圾战士	Trash Warrior.	Trash Warrior.
133	技能记忆碎片：8	Skill Memory Fragment: 8	Skill Memory Fragment: 8
134	总等阶：<YellowStage>2</>/3阶	Total Rank: <YellowStage>2</>/3	Total Rank: <YellowStage>2</>/3
135	进不去也好，反正有补偿也不用挨揍	It's fine if I can't get in; at least there's compensation and I don't have to get beaten up.	It's fine if I can't get in; at least there's compensation and I don't have to get beaten up.
136	响应进度<Orange>4</>/5	Response progress <Orange>4</>/5	Response progress <Orange>4</>/5
137	私密马赛	Sumimasen.	Sumimasen.
138	完美达成	Perfectly achieved	Perfectly achieved
139	标签二	Tag Two	Tag Two
140	玩法积分+1000	Gameplay Points +1000	Gameplay Points +1000
141	<TMisSuc>诡秘晚会</>即将开始。是否前往参与？	<TMisSuc>Mysterious Party</> is about to begin. Do you want to go and participate?	<TMisSuc>Mysterious Party</> is about to begin. Do you want to go and participate?
142	[Memory Inheritance - Bonnie - Hard]      <DPS>来输出</> (Team size: 5/6)<HyperLink stylename=\"Chat_Hyperlink\" u=\"teamRecruit=48400523329757\">[Click to apply]</>	[Memory Inheritance - Bonnie - Hard]      <DPS>Need DPS</> (Team size: 5/6)<HyperLink stylename=\"Chat_Hyperlink\" u=\"teamRecruit=48400523329757\">[Click to apply]</>	[Memory Inheritance - Bonnie - Hard]      <DPS>Need DPS</> (Team size: 5/6)<HyperLink stylename=\"Chat_Hyperlink\" u=\"teamRecruit=48400523329757\">[Click to apply]</>
143	分配中<Time>03:25</>	Assigning <Time>03:25</>	Assigning <Time>03:25</>
144	招募中	Recruiting	Recruiting
145	查看更多评论>>	View more comments>>	View more comments>>
146	《任务名称名称最多十字》	《Quest Name Max Ten Chars》	《Quest Name Max Ten Chars》
147	是你说出来玩的，我们就在这坐一下午？	You were the one who said we should go out for fun, and now we’re just going to sit here all afternoon?	You were the one who said we should go out for fun, and now we’re just going to sit here all afternoon?
148	罪恶事件名字	Sin Event Name	Sin Event Name
149	<Highlight>0</>时<Highlight>2</>分<Highlight>25</>秒	<Highlight>0</> hours <Highlight>2</> minutes <Highlight>25</> seconds	<Highlight>0</> hours <Highlight>2</> minutes <Highlight>25</> seconds
150	玩家名字七个字\r\n<LeonSubTitle size=\"18\">Workers are the foundation of the timesfoundation of the times</>	Player name seven characters\r\n<LeonSubTitle size=\"18\">Workers are the foundation of the timesfoundation of the times</>	Player name seven characters\r\n<LeonSubTitle size=\"18\">Workers are the foundation of the timesfoundation of the times</>
151	落锤计时：	Hammer Drop Timer:	Hammer Drop Timer:
152	内容文字内容文字内容文字内容文字内容文字内容文字内容文字内容文字内容文字内容文字内容文字内容文字	Content text content text content text content text content text content text content text content text content text content text content text content text	Content text content text content text content text content text content text content text content text content text content text content text content text
153	当前选择服务器	Currently selected server	Currently selected server
154	枝丫秃散\r\n重现坚韧	The branches are bare\r\nresilience returns	The branches are bare\r\nresilience returns
155	<Time>9999</>名	<Time>9999</>th	<Time>9999</>th
156	<Chat_PlayerName>[阿罗德斯]：</>思考中	<Chat_PlayerName>[Arrodes]:</> Thinking	<Chat_PlayerName>[Arrodes]:</> Thinking
157	誓约数量：  5/20	Covenant Count: 5/20	Covenant Count: 5/20
158	戴莉 对你的好感度提升了<Num>200</>点	Daly's favorability towards you has increased by <Num>200</> points.	Daly's favorability towards you has increased by <Num>200</> points.
159	暂无上赛季数据...	No data from last season yet...	No data from last season yet...
160	同骑	Ride Together	Ride Together
161	一\r\n次\r\n机\r\n会	One \r\n time \r\n machine \r\n opportunity	One \r\n time \r\n machine \r\n opportunity
162	莎莉丝特是\r\n畏惧春天的胆小鬼	Celeste is\r\na coward who fears spring	Celeste is\r\na coward who fears spring
163	五月庄园也出现异常   \r\n部分工人失踪\r\n庄园的“夫人”和“管家”\r\n也都是月亮仆从成员	Abnormalities have also appeared at May Manor. \r\n Some workers have gone missing. \r\n The manor's \"Viscountess\" and \"Butler\" \r\n are also members of the Moon Servant.	Abnormalities have also appeared at May Manor. \r\n Some workers have gone missing. \r\n The manor's \"Viscountess\" and \"Butler\" \r\n are also members of the Moon Servant.
164	好多话呀……\r\n不行了……	So many words...\r\nI can't take it anymore...	So many words...\r\nI can't take it anymore...
165	莎莉丝特是\r\n言而无信的恋人	Celeste is\r\na faithless lover	Celeste is\r\na faithless lover
166	死者生前曾\r\n受到致命枪伤	The deceased had suffered\r\na fatal gunshot wound before death	The deceased had suffered\r\na fatal gunshot wound before death
167	香槟街\r\n<LeonSubTitle size=\"38\">Champagne Street</>	Champagne Street\r\n<LeonSubTitle size=\"38\">Champagne Street</>	Champagne Street\r\n<LeonSubTitle size=\"38\">Champagne Street</>
168	莎莉丝特是\r\n不称职的女儿	Celeste is\r\nan incompetent daughter	Celeste is\r\nan incompetent daughter
169	夜总会里，邦尼为女孩戴上项链。\r\n她笑得很温柔，说这项链名为“自由”。\r\n女孩浑然不知，“自由”的另一头。\r\n一直攥在邦尼手里。	In the nightclub, Bonnie puts a necklace on the girl. \r\n She smiles gently and says the necklace is called \"Freedom\". \r\n The girl is completely unaware that the other end of \"Freedom\" \r\n has always been held in Bonnie's hand.	In the nightclub, Bonnie puts a necklace on the girl. \r\n She smiles gently and says the necklace is called \"Freedom\". \r\n The girl is completely unaware that the other end of \"Freedom\" \r\n has always been held in Bonnie's hand.
170	杯中茶水\r\n此时所剩无几	The tea in the cup\r\nis almost gone now	The tea in the cup\r\nis almost gone now
171	就像这样，\r\n我决定拆散他们的婚姻……	Just like this,\r\nI decided to break up their marriage...	Just like this,\r\nI decided to break up their marriage...
172	12时18分9秒	12:18:09	12:18:bb
173	用灵视找到特殊的茶\r\n	Use Spirit Vision to find the special tea\r\n	Use Spirit Vision to find the special tea\r\n
174	黑手套首领\r\n胖子·卡拉彭	Black Glove leader\r\nFatty Kalapong	Black Glove leader\r\nFatty Kalapong
175	红桃K          草花Q\r\n草花Q          黑桃J\r\n 黑桃J          红桃K	King of Hearts          Queen of Clubs\r\nQueen of Clubs          Jack of Spades\r\n Jack of Spades          King of Hearts	King of Hearts          Queen of Clubs\r\nQueen of Clubs          Jack of Spades\r\n Jack of Spades          King of Hearts
176	接下来我们\r\n再大胆一点	Let's be a little bolder\r\nnext.	Let's be a little bolder\r\nnext.
177	招财猫  —  Lv 62 | Warrior | 2 m | Inspect	Lucky Cat  —  Lv 62 | Warrior | 2 m | Inspect	Lucky Cat  —  Lv 62 | Warrior | 2 m | Inspect
178	文字说明文字说明文字说明文文字说明文字说明文字说明文文字说明文字说明文字说明文文字说明文字说明文字说明文文字说明文字说明文字说明文明文明文明文文	Text explanation text explanation text explanation text text explanation text explanation text explanation text text explanation text explanation text explanation text text explanation text explanation text explanation text text explanation text explanation text explanation text civilization civilization civilization text text	Text explanation text explanation text explanation text text explanation text explanation text explanation text text explanation text explanation text explanation text text explanation text explanation text explanation text text explanation text explanation text explanation text civilization civilization civilization text text
179	王林仙人-1	Wang Lin Immortal-1	Wang Lin Immortal-1
180	现在就让我来告诉你们——听我的。	Now let me tell you—listen to me.	Now let me tell you—listen to me.
181	词条总数量	Total number of entries	Total number of entries
182	怎么是你们！	Why is it you guys!	Why is it you guys!
183	战士要倒下了	The Warrior is about to fall.	The Warrior is about to fall.
184	来吧。让我们看看你能拿走多少。	Come on. Let's see how much you can take away.	Come on. Let's see how much you can take away.
185	轻易地\r\n放过你了	Easily\r\nlet you go	Easily\r\nlet you go
186	王林仙人-3	Wang Lin Immortal-3	Wang Lin Immortal-3
187	枯萎凋零\r\n重现芬芳	Withered and dead\r\nfragrance returns	Withered and dead\r\nfragrance returns
188	这样可以吗？	Is this okay?	Is this okay?
189	删除预设	Delete preset	Delete preset
190	大脑过载	Brain Overload	Brain Overload
191	威廉，你可真是卑鄙。 	William, you are truly despicable.	William, you are truly despicable.
192	征服宣言恩赐七字	Declaration of Conquest Gift Seven Words	Declaration of Conquest Gift Seven Words
193	援 	Assist 	Assist
194	黄昏战线 War Zone	Dusk War Zone	Dusk War Zone
195	<ChatRoom_TopTips_Highlight>玩家名字七个字：</>玩家名字七个字玩家名字七个字玩家名字七个字玩家名字七个字玩家名字七个字玩家名字七个字玩家名字七个字	<ChatRoom_TopTips_Highlight>Player name seven characters:</>Player name seven charactersPlayer name seven charactersPlayer name seven charactersPlayer name seven charactersPlayer name seven charactersPlayer name seven charactersPlayer name seven characters	<ChatRoom_TopTips_Highlight>Player name seven characters:</>Player name seven charactersPlayer name seven charactersPlayer name seven charactersPlayer name seven charactersPlayer name seven charactersPlayer name seven charactersPlayer name seven characters
196	上路	Top Lane	Top Lane
197	下一级需采集:	Collection required for next level:	Collection required for next level:
198	不可加入	Cannot join	Cannot join
199	前往副本【五月庄园·城堡】，击败<HyperLink stylename=\"h\" u=\"1250309\">子爵夫人</>。	Go to the dungeon [May Manor · Castle] and defeat the <HyperLink stylename=\"h\" u=\"1250309\"> Viscountess </>.	Go to the dungeon [May Manor · Castle] and defeat the <HyperLink stylename=\"h\" u=\"1250309\"> Viscountess </>.
200	药品上限：	Medicine Limit:	Medicine Limit:
201	11月20日	November 20	November 20
202	普攻操控	Basic Attack control	Basic Attack control
203	爱情总是伴随伤痛，\r\n你更希望受伤的是？	Love is always accompanied by pain,\r\nwho would you rather see get hurt?	Love is always accompanied by pain,\r\nwho would you rather see get hurt?
204	第……	The...	№...
205	像这种门，\r\n锁芯从来不换，\r\n撬开一次，\r\n就能打开第二次。	For a door like this, \r\n the lock core is never changed; \r\n once it's picked, \r\n it can be opened a second time.	For a door like this, \r\n the lock core is never changed; \r\n once it's picked, \r\n it can be opened a second time.
206	废黜  \r\n驱逐 \r\n谋杀 	Depose  \r\nExile \r\nMurder 	Depose  \r\nExile \r\nMurder 
207	虽然和梅兰妮结婚之后，\r\n我真的非常爱她……	Although after marrying Melanie,\r\nI truly loved her very much...	Although after marrying Melanie,\r\nI truly loved her very much...
208	我这是，\r\n因为知识的力量变成了老鼠？	Have I turned into a mouse\r\nbecause of the power of knowledge?	Have I turned into a mouse\r\nbecause of the power of knowledge?
209	学徒扮演\r\n（风景过山车）	Apprentice Acting\r\n(Scenery Roller Coaster)	Apprentice Acting\r\n(Scenery Roller Coaster)
210	2026年1月14日	2026/01/14	14.01.2026
211	红月亮街\r\n<LeonSubTitle size=\"38\">Red Moonlight Street</>	Red Moon Street\r\n<LeonSubTitle size=\"38\">Red Moonlight Street</>	Red Moon Street\r\n<LeonSubTitle size=\"38\">Red Moonlight Street</>
212	三道封印阻挡了通往记忆碎片的入口。\r\n解锁进度：2/3	Three seals block the entrance to the memory fragment.\r\nUnlock progress: 2/3	Three seals block the entrance to the memory fragment.\r\nUnlock progress: 2/3
213	罗珊和几位市民 \r\n在中央广场瓦解消散\r\n失踪地点共三个\r\n近期失踪者可能还活着	Rozanne and several citizens \r\ndisappeared at the Central Plaza \r\n, totaling three locations \r\n. The recent missing persons might still be alive.	Rozanne and several citizens \r\ndisappeared at the Central Plaza \r\n, totaling three locations \r\n. The recent missing persons might still be alive.
214	他和凯瑟琳\r\n坐在一块喝下午茶。	He and Catherine\r\nsat together having afternoon tea.	He and Catherine\r\nsat together having afternoon tea.
215	勤洗手洗脸，\r\n不要乱扔垃圾！	Wash your hands and face often,\r\nand don't litter!	Wash your hands and face often,\r\nand don't litter!
216	当前最低汇率	Current lowest exchange rate	Current lowest exchange rate
217	我的任务是，找房东弗兰奇先生，问询卡尔合租人信息。	My task is to find the landlord, Mr. Franchi, and ask for information about Karl's roommates.	My task is to find the landlord, Mr. Franchi, and ask for information about Karl's roommates.
218	我真告老师了	I'm really telling the teacher.	I'm really telling the teacher.
219	文本<Num>文本</>	Text <Num>Text</>	Text <Num>Text</>
220	得打这个什么守卫 	Need to fight this guard thing.	Need to fight this guard thing.
221	挑战信息	Challenge Information	Challenge Information
222	充值<HighLight>任意金额</>可免费领取三日豪礼	Top up <HighLight>any amount</> to claim a three-day luxury gift for free	Top up <HighLight>any amount</> to claim a three-day luxury gift for free
223	VIP徽章\r\n在她手里	VIP badge\r\nIn her hand	VIP badge\r\nIn her hand
224	你为什么这么菜	Why are you so noob	Why are you so noob
225	超值	Great Value	Great Value
226	进度： <HighLight>1</>/4	Progress: <HighLight>1</>/4	Progress: <HighLight>1</>/4
227	9站	9 Stations	9 Stations
228	Selected: 艾因哈特	Selected: Einhart	Selected: Einhart
229	响应时间结束，<Highlight>未接受视为自动认输</>	Response time has ended. <Highlight>Failure to accept will be treated as an automatic forfeit.</>	Response time has ended. <Highlight>Failure to accept will be treated as an automatic forfeit.</>
230	感谢你帮我完成了这部分乐章，回响之匣中存有我交给你的报酬。我们有缘再见。	Thank you for helping me complete this part of the score. Your reward is waiting in the Echo Box. Until fate brings us together again.	Thank you for helping me complete this part of the score. Your reward is waiting in the Echo Box. Until fate brings us together again.
231	<Profit>+1.11万</>	<Profit>+11,100</>	<Profit>+11,100</>
232	学院大道\r\n<LeonSubTitle size=\"38\">Academy Avenue</>	College Avenue\r\n<LeonSubTitle size=\"38\">Academy Avenue</>	College Avenue\r\n<LeonSubTitle size=\"38\">Academy Avenue</>
233	莉莉和邦尼\r\n进行过一次会谈	Lily and Bonnie\r\nhad a meeting	Lily and Bonnie\r\nhad a meeting
234	中央广场\r\n<LeonSubTitle size=\"38\">Central Square</>	Central Plaza\r\n<LeonSubTitle size=\"38\">Central Square</>	Central Plaza\r\n<LeonSubTitle size=\"38\">Central Square</>
235	被害人曾\r\n遭受致命枪伤	The victim had\r\nsuffered a fatal gunshot wound.	The victim had\r\nsuffered a fatal gunshot wound.
236	<P_Heart>下一季度的流行一定是有鲜艳图案的长裙。</>	<P_Heart>The trend for next season must be long dresses with bright patterns.</>	<P_Heart>The trend for next season must be long dresses with bright patterns.</>
