Id	CN	EN	RU_Old	RU_New
32	记住！每一次精准的斩击都在为你创造下一次进攻的契机。	Remember! Every precise slash is creating an opportunity for your next attack.	Remember! Every precise slash is creating an opportunity for your next attack.	Помни! Каждый точный удар создаёт возможность для следующей атаки.
33	失踪者可能携带铜镜\r\n路过三个入口地点 被隐藏踪迹后\r\n被知识皇冠瓦解消散而失踪	The missing person may be carrying a bronze mirror.\r\nAfter passing through three entry points and having their tracks concealed,\r\nthey were dissolved and vanished by the Crown of Knowledge.	The missing person may be carrying a bronze mirror.\r\nAfter passing through three entry points and having their tracks concealed,\r\nthey were dissolved and vanished by the Crown of Knowledge.	Пропавший мог иметь при себе бронзовое зеркало.\r\nПройдя через три входа и скрыв свои следы,\r\nон был распылён и развеян Венцом Знаний.
34	我带个假灯	I'm carrying a fake lamp.	I'm carrying a fake lamp.	Я несу фальшивый фонарь.
35	一页纸的最大容纳字数为30字能写1-2句话即可	The maximum capacity for a page is 30 characters; 1-2 sentences are sufficient.	The maximum capacity for a page is 30 characters; 1-2 sentences are sufficient.	Максимум 30 знаков на страницу; достаточно 1–2 предложений.
36	值夜者巡	Nighthawk Patrol	Nighthawk Patrol	Патруль Ночных Ястребов
37	顺序\r\n必将失控	Sequence\r\nWill inevitably lead to loss of control	Sequence\r\nWill inevitably lead to loss of control	Последовательность\r\nнеизбежно приведёт к потере контроля
38	当前已选择 <Yellow>7</>/140	Currently selected <Yellow>7</>/140	Currently selected <Yellow>7</>/140	Выбрано: <Yellow>7</>/140
39	好奇怪的地方，前面似乎有什么在吸引我	Strange place, something ahead seems to be attracting me	Strange place, something ahead seems to be attracting me	Странное место... кажется, впереди меня что-то манит.
40	好好珍惜吧！这份大奖，可来之不易哦~	Cherish it! This grand prize didn't come easily~	Cherish it! This grand prize didn't come easily~	Берегите это! Этот главный приз достался нелегко~
41	差<GapHighlight>6000分</>可达到<GapHighlight>站点新贵</>	<GapHighlight>6000 points</> away from <GapHighlight>Station Upstart</>	<GapHighlight>6000 points</> away from <GapHighlight>Station Upstart</>	<GapHighlight>6000 баллов</> от <GapHighlight>Station Upstart</>
42	这个方向，我比较熟悉。	I am quite familiar with this direction.	I am quite familiar with this direction.	Я довольно хорошо знаком с этим направлением.
43	（本局剩余2次）	(2 uses remaining this match)	(2 uses remaining this match)	(в этом матче осталось 2 использования)
44	(4站内)	(4 in station)	(4 in station)	(4 на станции)
45	这么多人都消散了？他们……真的没救了吗？	So many people have dissipated? Are they... really beyond saving?	So many people have dissipated? Are they... really beyond saving?	Столько людей рассеялось? Их... действительно невозможно спасти?
46	对不起，我不会说中文	Sorry, I don't speak Chinese.	Sorry, I don't speak Chinese.	Извините, я не говорю по-китайски.
47	对战详情	Battle details	Battle details	Детали боя
48	笑得好难受	Laughing so uncomfortably.	Laughing so uncomfortably.	Смеяться так неприятно.
49	我拉着她的手走开了，\r\n她也没有拒绝。	I took her hand and walked away,\r\nand she did not refuse.	I took her hand and walked away,\r\nand she did not refuse.	Я взял ее за руку и пошел прочь,\r\n, и она не отказалась.
50	第%s名	No. %s	№ %s	№ %s
51	歌颂只能自食其力<img id=\"#022\" width=\"28\" height=\"28\" valign=\"0.5\"/>	Singing can only rely on oneself <img id=\"#022\" width=\"28\" height=\"28\" valign=\"0.5\"/>	Singing can only rely on oneself <img id=\"#022\" width=\"28\" height=\"28\" valign=\"0.5\"/>	В пении можно полагаться только на себя <img id=\"#022\" width=\"28\" height=\"28\" valign=\"0.5\"/>
52	崔佛\r\n酒桶上放了什么！	Trevor\r\nWhat did you put on the barrel!	Trevor\r\nWhat did you put on the barrel!	Trevor\r\nЧто ты на ствол надел!
53	上回合总收入	Total income from the previous round	Total income from the previous round	Общий доход с предыдущего раунда
54	35品	Grade 35	Grade 35	35 класс
55	当前好感度: <Favorite1>600</>	Current Favorability: <Favorite1>600</>	Current Favorability: <Favorite1>600</>	Текущая предпочтительность: <Favorite1>600</>
56	怎么骗子又换话术了	How did the scammer change their script again?	How did the scammer change their script again?	Как мошенник снова поменял сценарий?
57	先去买船票吧。	Go buy the boat ticket first.	Go buy the boat ticket first.	Сначала купи билет на лодку.
58	反馈人(邮箱前缀)(必填)：	Feedback Provider (Email Prefix) (Required):	Feedback Provider (Email Prefix) (Required):	Поставщик обратной связи (префикс электронной почты) (обязательно):
59	队伍召集	Team Recruitment	Team Recruitment	Набор команды
60	希望保险公司能多给些钱\r\n用来抚养我的孩子……	I hope the insurance company can give more money\r\nso I can raise my children...	I hope the insurance company can give more money\r\nso I can raise my children...	Я надеюсь, что страховая компания сможет дать больше денег\r\n, чтобы я мог воспитывать своих детей...
61	暂未加入任何小队	Not joined any team yet	Not joined any team yet	Еще не присоединился ни к одной команде
62	%.2f万	%.2f0,000	%.2f0 000	%.2f0 000
63	她那天不知怎么的，\r\n似乎特别漂亮……\r\n就好像在等着我似的……	I don't know what happened that day, but she seemed exceptionally beautiful...\r\nIt was as if she were waiting for me...	I don't know what happened that day, but she seemed exceptionally beautiful...\r\nIt was as if she were waiting for me...	Не знаю, что произошло в тот день, но она казалась необыкновенно красивой... \r\n Она как будто ждала меня...
64	混乱与秩序的终极答案，\r\n就在其中	The ultimate answer to Chaos and Order,\r\nlies within.	The ultimate answer to Chaos and Order,\r\nlies within.	Окончательный ответ Хаосу и Порядку, \r\n, находится внутри.
65	%d万	%d0,000	%d0 000	%d0 000
66	为\r\n什\r\n么\r\n？	W\r\nh\r\ny\r\n?	W\r\nh\r\ny\r\n?	По\r\nче\r\nму\r\n?
67	我\r\n很\r\n期\r\n待	I \r\n am \r\n looking \r\n forward to it	I \r\n am \r\n looking \r\n forward to it	Я \r\n, я \r\n, жду \r\n с нетерпением.
68	我是一个\r\n不负责的母亲	I am an\r\nirresponsible mother.	I am an\r\nirresponsible mother.	Я \r\nбезответственная мать.
69	-12.2万	-122,000	-122 000	-122 000
70	下水道系统已经初步建立，\r\n灭鼠行动也持续进行中。	The sewer system has been initially established,\r\nand the rat extermination campaign is also in Continuous progress.	The sewer system has been initially established,\r\nand the rat extermination campaign is also in Continuous progress.	Первоначально была установлена ​​канализационная система, \r\n, и кампания по уничтожению крыс также продолжается.
71	亲爱的尼尔：\r\n如果我能……	Dear Niel:\r\nIf I could...	Dear Niel:\r\nIf I could...	Дорогой Ниэль:\r\nЕсли бы я мог...
72	碎片名称	Fragment Name	Fragment Name	Имя фрагмента
73	邮件正文	Mail Body	Mail Body	Тело письма
74	保持你心中的荣耀，继续战斗！	Keep the glory in your heart and continue to fight!	Keep the glory in your heart and continue to fight!	Сохраните славу в своем сердце и продолжайте сражаться!
75	实时语音<Green>2</>人	Real-time voice <Green>2</> people	Real-time voice <Green>2</> people	Голос в реальном времени <Green>2</> человек
76	未加入势力俱乐部	Not joined a faction Club	Not joined a faction Club	Не вступил во фракционный клуб
77	进俱乐部变杯子	Joining the Club turns me into a cup.	Joining the Club turns me into a cup.	Вступление в Клуб превращает меня в чашку.
78	好神奇呀大家真有高原反应了	Amazing, everyone actually has altitude sickness.	Amazing, everyone actually has altitude sickness.	Удивительно, но на самом деле у всех есть высотная болезнь.
79	来门之钥送正太会长萝莉副会长	Come to Key of Door to get a shota president and a loli vice-president.	Come to Key of Door to get a shota president and a loli vice-president.	Приходите в Key of Door, чтобы получить президента шота и вице-президента лоли.
80	累计抽取<Highlight>200</>次解锁	Unlock after <Highlight>200</> draws	Unlock after <Highlight>200</> draws	Разблокировка после розыгрыша <Highlight>200</>
81	薪火	Kindling	Kindling	Разжигание
82	<FirstBigSelect>占</>位文本	<FirstBigSelect>Place</>holder text	<FirstBigSelect>Place</>holder text	<FirstBigSelect>Place</>текст держателя
83	一团 14/30	A group 14/30	A group 14/30	Группа 14/bb
84	名字总共七个字	Seven Character Name Total	Seven Character Name Total	Всего семь символов имени
85	大意了	Got careless.	Got careless.	Стал неосторожным.
86	当前发言模式： 房主设置发言顺序	Current Speaking Mode: Host sets speaking order	Current Speaking Mode: Host sets speaking order	Текущий режим речи: ведущий устанавливает порядок речи.
87	该结束了……金狼。	It's time to end this... Golden Wolf.	It's time to end this... Golden Wolf.	Пришло время положить этому конец... Золотой Волк.
88	欢迎，又一个被欲望驱使至此的人。	Welcome, another person driven here by desire.	Welcome, another person driven here by desire.	Добро пожаловать, еще один человек, которого ведет сюда желание.
89	还需230点	230 points still needed	230 points still needed	еще нужно 230 баллов
90	加成效果	Bonus Effect	Bonus Effect	Бонусный эффект
91	不好躲技能	Hard to dodge skills	Hard to dodge skills	Трудно уклониться от навыков
92	切换露米意识\r\n靠近记忆碎片	Switch Lumian's consciousness\r\nApproach the memory fragment	Switch Lumian's consciousness\r\nApproach the memory fragment	Переключите сознание Люмиана\r\nПодойдите к фрагменту воспоминаний.
93	商业站<DarkHighlight>X8</>	Commercial Station <DarkHighlight>X8</>	Commercial Station <DarkHighlight>X8</>	Коммерческая станция <DarkHighlight>X8</>
94	编号	Number	Number	Число
95	这是您点的红茶。	This is the black tea you ordered.	This is the black tea you ordered.	Это черный чай, который вы заказали.
96	今日首胜获得胜点x2，剩余<highlight>2</>次	First win of the day grants 2x victory points, <highlight>2</> attempts remaining	First win of the day grants 2x victory points, <highlight>2</> attempts remaining	Первая победа дня дает 2 победных очка, осталось <highlight>2</> попыток.
97	鸟哥要溜风筝才有机会	Bird Brother needs to kite to have a chance.	Bird Brother needs to kite to have a chance.	Чтобы получить шанс, Bird Brother должен заняться кайтсерфингом.
98	再坚持一会儿，祭祀完成后，你就会重新获得生命！	Hold on a little longer; once the sacrifice is complete, you will regain your health!	Hold on a little longer; once the sacrifice is complete, you will regain your health!	Подожди еще немного; как только жертвоприношение будет завершено, вы восстановите свое здоровье!
99	啊？这么不经打，碰一下就倒了？	Huh? So fragile, fell over with a touch?	Huh? So fragile, fell over with a touch?	Хм? Такой хрупкий, упал от прикосновения?
100	嗯，这个御姐和萝莉我都要了	Yeah, I want both this mature woman and the loli.	Yeah, I want both this mature woman and the loli.	Да, я хочу и эту зрелую женщину, и лоли.
101	文案内容<Highlight>文案内容</>文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容<Highlight>文案内容</>文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容<Highlight>文案内容</>文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容文案内容	Copy Content <Highlight>Copy Content</> Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content <Highlight>Copy Content</> Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content <Highlight>Copy Content</> Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content	Copy Content <Highlight>Copy Content</> Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content <Highlight>Copy Content</> Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content <Highlight>Copy Content</> Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content Copy Content	Копировать контент <Highlight>Copy Content</> Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент <Highlight>Copy Content</> Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент <Highlight>Copy Content Content</> Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент Копировать контент
102	收起舞美	Collapse Stage Design	Collapse Stage Design	Свернуть сценический дизайн
103	暗面	Dark Side	Dark Side	Темная сторона
104	越来越多人消失了……不能再等了。	More and more people are disappearing... we can't wait any longer.	More and more people are disappearing... we can't wait any longer.	Пропадает все больше и больше людей... мы не можем больше ждать.
105	Projection of 火焰火焰	Projection of Flame Fire	Projection of Flame Fire	Проекция пламени огня
106	已支配	Dominated	Dominated	Доминируют
107	选勾后，通过传送进入对应场景将自动切换对应的穿搭方案。	After checking this, your outfit preset will automatically switch when you Teleport into the corresponding scene.	After checking this, your outfit preset will automatically switch when you Teleport into the corresponding scene.	После проверки предустановка вашей экипировки будет автоматически переключаться, когда вы телепортируетесь в соответствующую сцену.
108	我气倒了呀。。。这异变到底哪里来的	I'm so angry... where did this mutation come from?	I'm so angry... where did this mutation come from?	Я так зол... откуда взялась эта мутация?
109	王慧兰	Wang Huilan.	Wang Huilan.	Ван Хуэйлань.
110	进不去啊	Can't get in.	Can't get in.	Не могу войти.
111	评分: 3003000	Rating: 3003000	Rating: 3003000	Рейтинг: 3 003 000
112	已收集能力牌：	Ability Cards Collected:	Ability Cards Collected:	Собраны карты способностей:
113	设置星级	Set star level	Set star level	Установить звездный уровень
114	酒类商品出售价格上涨<Buff>10%</>	Alcoholic beverage selling price increased by <Buff>10%</>	Alcoholic beverage selling price increased by <Buff>10%</>	Цена реализации алкогольных напитков выросла на <Buff>10%</>
115	分组一，分组二，	Group 1, Group 2,	Group 1, Group 2,	Группа 1, Группа 2,
116	999米	999 meters	999 meters	999 метров
117	你咋这么硬啊	Why are you so tanky	Why are you so tanky	Почему ты такой толстый
118	你这个很夸张啊	This of yours is very exaggerated	This of yours is very exaggerated	Это ваше сильно преувеличено
119	域经销协议	Regional Distribution Agreement	Regional Distribution Agreement	Региональное дистрибьюторское соглашение
120	谁来救救我……\r\n救救我……	Who can save me...\r\nSave me...	Who can save me...\r\nSave me...	Кто может спасти меня...\r\nСпасите меня...
121	首席挑战赛	Chief Challenge	Chief Challenge	Главный вызов
122	绿意不在\r\n重现生机	The greenery is gone\r\nVitality restored	The greenery is gone\r\nVitality restored	Зелени больше нет\r\nЖизненная сила восстановлена
123	至	To	To	К
124	茉莉花茶	Jasmine Tea	Jasmine Tea	Жасминовый чай
125	请在倒计时结束前选择	Please make your choice before the countdown ends.	Please make your choice before the countdown ends.	Пожалуйста, сделайте свой выбор до окончания обратного отсчета.
126	周获取总上线：<Highlight>1234</>/5000	Weekly acquisition limit: <Highlight>1234</>/5000	Weekly acquisition limit: <Highlight>1234</>/5000	Еженедельный лимит приобретения: <Highlight>1234</>/5000.
127	无法选择好感度不足活处于不可赠送状态的玩家	Cannot select players with insufficient favorability or who are in a non-giftable state	Cannot select players with insufficient favorability or who are in a non-giftable state	Невозможно выбрать игроков с недостаточной благосклонностью или находящихся в состоянии, не подлежащем дарению.
128	10秒？	10 seconds?	10 seconds?	10 секунд?
129	暂无可附加关系	No attachable relationships for now	No attachable relationships for now	На данный момент нет присоединяемых связей
130	我根据回忆调制的甜冰茶，来尝尝好不好喝？	I made some sweet iced tea from memory, want to try if it's good?	I made some sweet iced tea from memory, want to try if it's good?	Я заварила сладкий чай со льдом по памяти, хочешь попробовать, вкусный ли он?
131	？？？	???	???	???
132	垃圾战士	Trash Warrior.	Trash Warrior.	Мусорный воин.
133	技能记忆碎片：8	Skill Memory Fragment: 8	Skill Memory Fragment: 8	Фрагмент памяти навыка: b
134	总等阶：<YellowStage>2</>/3阶	Total Rank: <YellowStage>2</>/3	Total Rank: <YellowStage>2</>/3	Общий рейтинг: <YellowStage>2</>/b
135	进不去也好，反正有补偿也不用挨揍	It's fine if I can't get in; at least there's compensation and I don't have to get beaten up.	It's fine if I can't get in; at least there's compensation and I don't have to get beaten up.	Ничего страшного, если я не смогу войти; по крайней мере, есть компенсация, и меня не избивают.
136	响应进度<Orange>4</>/5	Response progress <Orange>4</>/5	Response progress <Orange>4</>/5	Ход ответа <Orange>4</>/b
137	私密马赛	Sumimasen.	Sumimasen.	Сумимасен.
138	完美达成	Perfectly achieved	Perfectly achieved	Отлично достигнуто
139	标签二	Tag Two	Tag Two	Тег второй
140	玩法积分+1000	Gameplay Points +1000	Gameplay Points +1000	Очки режима +1000
141	<TMisSuc>诡秘晚会</>即将开始。是否前往参与？	<TMisSuc>Mysterious Party</> is about to begin. Do you want to go and participate?	<TMisSuc>Mysterious Party</> is about to begin. Do you want to go and participate?	<TMisSuc>Таинственная вечеринка</> вот-вот начнется. Хотите пойти и поучаствовать?
142	[Memory Inheritance - Bonnie - Hard]      <DPS>来输出</> (Team size: 5/6)<HyperLink stylename=\"Chat_Hyperlink\" u=\"teamRecruit=48400523329757\">[Click to apply]</>	[Memory Inheritance - Bonnie - Hard]      <DPS>Need DPS</> (Team size: 5/6)<HyperLink stylename=\"Chat_Hyperlink\" u=\"teamRecruit=48400523329757\">[Click to apply]</>	[Memory Inheritance - Bonnie - Hard]      <DPS>Need DPS</> (Team size: 5/6)<HyperLink stylename=\"Chat_Hyperlink\" u=\"teamRecruit=48400523329757\">[Click to apply]</>	[Наследование памяти — Бонни — Хард] <DPS>Нужен DPS</> (Размер команды: 5/6)<HyperLink stylename=\"Chat_Hyperlink\" u=\"teamRecruit=48400523329757\">[Нажмите, чтобы применить]</>
143	分配中<Time>03:25</>	Assigning <Time>03:25</>	Assigning <Time>03:25</>	Назначение <Time>03:25</>
144	招募中	Recruiting	Recruiting	Рекрутинг
145	查看更多评论>>	View more comments>>	View more comments>>	Посмотреть больше комментариев>>
146	《任务名称名称最多十字》	《Quest Name Max Ten Chars》	《Quest Name Max Ten Chars》	《Название квеста: максимум десять символов》
147	是你说出来玩的，我们就在这坐一下午？	You were the one who said we should go out for fun, and now we’re just going to sit here all afternoon?	You were the one who said we should go out for fun, and now we’re just going to sit here all afternoon?	Это ты сказал, что нам нужно пойти развлечься, а теперь мы собираемся сидеть здесь весь день?
148	罪恶事件名字	Sin Event Name	Sin Event Name	Имя события греха
149	<Highlight>0</>时<Highlight>2</>分<Highlight>25</>秒	<Highlight>0</> hours <Highlight>2</> minutes <Highlight>25</> seconds	<Highlight>0</> hours <Highlight>2</> minutes <Highlight>25</> seconds	<Highlight>0</> часов <Highlight>2</> минут <Highlight>25</> секунд
150	玩家名字七个字\r\n<LeonSubTitle size=\"18\">Workers are the foundation of the timesfoundation of the times</>	Player name seven characters\r\n<LeonSubTitle size=\"18\">Workers are the foundation of the timesfoundation of the times</>	Player name seven characters\r\n<LeonSubTitle size=\"18\">Workers are the foundation of the timesfoundation of the times</>	Имя игрока семь персонажей\r\n<LeonSubTitle size=\"18\">Рабочие — основа времениоснова времени</>
151	落锤计时：	Hammer Drop Timer:	Hammer Drop Timer:	Таймер падения молота:
152	内容文字内容文字内容文字内容文字内容文字内容文字内容文字内容文字内容文字内容文字内容文字内容文字	Content text content text content text content text content text content text content text content text content text content text content text content text	Content text content text content text content text content text content text content text content text content text content text content text content text	Текстовый контент Текстовый контент Текстовый контент Текстовый контент Текстовый контент Текстовый контент Текстовый контент Текстовый контент Текстовый контент Текстовый контент Текстовый контент Текстовый контент
153	当前选择服务器	Currently selected server	Currently selected server	Текущий выбранный сервер
154	枝丫秃散\r\n重现坚韧	The branches are bare\r\nresilience returns	The branches are bare\r\nresilience returns	Ветви голые. \r\n возвращает устойчивость.
155	<Time>9999</>名	<Time>9999</>th	<Time>9999</>th	Место: <Time>9999</>
156	<Chat_PlayerName>[阿罗德斯]：</>思考中	<Chat_PlayerName>[Arrodes]:</> Thinking	<Chat_PlayerName>[Arrodes]:</> Thinking	<Chat_PlayerName>[Арродес]:</> Мышление
157	誓约数量：  5/20	Covenant Count: 5/20	Covenant Count: 5/20	Количество ковенантов: 5/bb
158	戴莉 对你的好感度提升了<Num>200</>点	Daly's favorability towards you has increased by <Num>200</> points.	Daly's favorability towards you has increased by <Num>200</> points.	Благосклонность Дейли к вам увеличилась на <Num>200</> пунктов.
159	暂无上赛季数据...	No data from last season yet...	No data from last season yet...	Данных за прошлый сезон пока нет...
160	同骑	Ride Together	Ride Together	Ехать вместе
161	一\r\n次\r\n机\r\n会	One \r\n time \r\n machine \r\n opportunity	One \r\n time \r\n machine \r\n opportunity	Один раз \r\n Машина \r\n Возможность \r\n
162	莎莉丝特是\r\n畏惧春天的胆小鬼	Celeste is\r\na coward who fears spring	Celeste is\r\na coward who fears spring	Селеста — \r\n трусиха, которая боится весны
163	五月庄园也出现异常   \r\n部分工人失踪\r\n庄园的“夫人”和“管家”\r\n也都是月亮仆从成员	Abnormalities have also appeared at May Manor. \r\n Some workers have gone missing. \r\n The manor's \"Viscountess\" and \"Butler\" \r\n are also members of the Moon Servant.	Abnormalities have also appeared at May Manor. \r\n Some workers have gone missing. \r\n The manor's \"Viscountess\" and \"Butler\" \r\n are also members of the Moon Servant.	Аномалии также появились в Мэй-Мэноре. \r\n Некоторые рабочие пропали. \r\n «Виконтесса» и «Дворецкий» поместья \r\n также являются членами Лунного Слуги.
164	好多话呀……\r\n不行了……	So many words...\r\nI can't take it anymore...	So many words...\r\nI can't take it anymore...	Столько слов...\r\nЯ больше не могу...
165	莎莉丝特是\r\n言而无信的恋人	Celeste is\r\na faithless lover	Celeste is\r\na faithless lover	Селеста — \r\n — неверная любовница.
166	死者生前曾\r\n受到致命枪伤	The deceased had suffered\r\na fatal gunshot wound before death	The deceased had suffered\r\na fatal gunshot wound before death	Перед смертью погибший получил смертельное огнестрельное ранение \r\n.
167	香槟街\r\n<LeonSubTitle size=\"38\">Champagne Street</>	Champagne Street\r\n<LeonSubTitle size=\"38\">Champagne Street</>	Champagne Street\r\n<LeonSubTitle size=\"38\">Champagne Street</>	Улица Шампанского\r\n<LeonSubTitle size=\"38\">Улица Шампанского</>
168	莎莉丝特是\r\n不称职的女儿	Celeste is\r\nan incompetent daughter	Celeste is\r\nan incompetent daughter	Селеста — \r\n, некомпетентная дочь
169	夜总会里，邦尼为女孩戴上项链。\r\n她笑得很温柔，说这项链名为“自由”。\r\n女孩浑然不知，“自由”的另一头。\r\n一直攥在邦尼手里。	In the nightclub, Bonnie puts a necklace on the girl. \r\n She smiles gently and says the necklace is called \"Freedom\". \r\n The girl is completely unaware that the other end of \"Freedom\" \r\n has always been held in Bonnie's hand.	In the nightclub, Bonnie puts a necklace on the girl. \r\n She smiles gently and says the necklace is called \"Freedom\". \r\n The girl is completely unaware that the other end of \"Freedom\" \r\n has always been held in Bonnie's hand.	В ночном клубе Бонни надевает на девушку ожерелье. \r\n Она нежно улыбается и говорит, что ожерелье называется «Свобода». \r\n Девушка совершенно не подозревает, что другой конец «Свободы» \r\n всегда находился в руке Бонни.
170	杯中茶水\r\n此时所剩无几	The tea in the cup\r\nis almost gone now	The tea in the cup\r\nis almost gone now	Чай в чашке \r\n уже почти закончился
171	就像这样，\r\n我决定拆散他们的婚姻……	Just like this,\r\nI decided to break up their marriage...	Just like this,\r\nI decided to break up their marriage...	Вот так \r\nI решили расторгнуть свой брак...
172	12时18分9秒	12:18:09	12:18:bb	12:18:09
173	用灵视找到特殊的茶\r\n	Use Spirit Vision to find the special tea\r\n	Use Spirit Vision to find the special tea\r\n	Используйте Spirit Vision, чтобы найти особый чай\r\n.
174	黑手套首领\r\n胖子·卡拉彭	Black Glove leader\r\nFatty Kalapong	Black Glove leader\r\nFatty Kalapong	Лидер «Черной перчатки»\r\nФатти Калапонг
