CN	EN
1. 消耗金镑可发送绑金礼金，领取礼金可获得等价绑定金镑；\n2. 绑金礼金发出24小时后，未被领取的礼金将返还等额绑金；\n3. 外观馈赠若有时装在24小时后未领取完，则会返还购买该时装时消耗的等额金镑与赠礼额度；\n4. 外观馈赠获得的道具为绑定道具	1. Consuming Gold Pounds can send bound gold gifts. Claiming gifts can obtain equivalent bound Gold Pounds; \n 2. 24 hours after the bound gold gift is sent, unclaimed gifts will be returned as an equivalent amount of bound gold; \n 3. If there are outfits in the appearance gift that have not been claimed after 24 hours, the equivalent Gold Pounds and gift quota consumed when purchasing the outfit will be returned; \n 4. Appearance gifts obtained are bound items.
1. 消耗金镑可发送绑金礼金，领取礼金可获得等价绑定金镑；\n2. 绑金礼金发出24小时后，未被领取的礼金将返还等额绑金；\n3. 外观馈赠若有时装在24小时后未领取完，则会返还购买该时装时消耗的等额金镑与赠礼额度；\n4. 外观馈赠获得的道具为绑定道具。	1. Consuming Gold Pounds can send bound gold gifts. Claiming gifts can obtain equivalent bound Gold Pounds; \n 2. 24 hours after the bound gold gift is sent, unclaimed gifts will be returned as an equivalent amount of bound gold; \n 3. If there are outfits in the appearance gift that have not been claimed after 24 hours, the equivalent Gold Pounds and gift quota consumed when purchasing the outfit will be returned; \n 4. Items obtained from appearance gifts are bound items.
1. 语音房间最多可容纳1000人。\n2. 新手指导语音房间默认是房主设置发言顺序模式，需点击开麦按钮发起上麦申请，房主通过后即可开麦。\n3. 房主可在成员权限设置处调整发言顺序，设置禁言和房间黑名单，也可在右侧侧边栏设置界面，调整房间信息、进行常驻房间续时、转让房主操作。\n4. 在右侧侧边框可分享语音房间链接、发放语音房间礼金。	1. Voice rooms can hold up to 1000 people. \n 2. Newbie Guide voice rooms default to Host-Controlled Speech Order mode; you must click the microphone button to request to speak; once the host approves, you can unmute. \n 3. The host can adjust speech order, set mutes, and manage the room blacklist in Member Permissions. They can also adjust room info, extend the room's duration, or transfer ownership in the right sidebar settings. \n 4. You can share the voice room link or distribute voice room gifts via the right sidebar.
1. 语音房间最多可容纳1000人。\n2. 有声读书语音房间默认是房主设置发言顺序模式，需点击开麦按钮发起上麦申请，房主通过后即可开麦。\n3. 房主可在成员权限设置处调整发言顺序，设置禁言和房间黑名单，也可在右侧侧边栏设置界面，调整房间信息、进行常驻房间续时、转让房主操作。\n4. 在右侧侧边框可分享语音房间链接、发放语音房间礼金。	1. Voice rooms can hold up to 1000 people. \n 2. Audio Reading voice rooms default to Host-Controlled Speech Order mode; you must click the microphone button to request to speak; once the host approves, you can unmute. \n 3. The host can adjust speech order, set mutes, and manage the room blacklist in Member Permissions. They can also adjust room info, extend the room's duration, or transfer ownership in the right sidebar settings. \n 4. You can share the voice room link or distribute voice room gifts via the right sidebar.
1. 语音房间最多可容纳1000人。\n2. 法庭扮演语音房间默认是房主设置发言顺序模式，需点击开麦按钮发起上麦申请，房主通过后即可开麦。\n3. 房主可在成员权限设置处调整发言顺序，设置禁言和房间黑名单，也可在右侧侧边栏设置界面，调整房间信息、进行常驻房间续时、转让房主操作。\n4. 在右侧侧边框可分享语音房间链接、发放语音房间礼金。	1. Voice rooms can hold up to 1000 people. \n 2. Court Roleplay voice rooms default to Host-Controlled Speech Order mode; you must click the microphone button to request to speak; once the host approves, you can unmute. \n 3. The host can adjust speech order, set mutes, and manage the room blacklist in Member Permissions. They can also adjust room info, extend the room's duration, or transfer ownership in the right sidebar settings. \n 4. You can share the voice room link or distribute voice room gifts via the right sidebar.
1. 语音房间最多可容纳1000人。\n2. 演唱会语音房间默认是房主设置发言顺序模式，需点击开麦按钮发起上麦申请，房主通过后即可开麦。\n3. 房主可在成员权限设置处调整发言顺序，设置禁言和房间黑名单，也可在右侧侧边栏设置界面，调整房间信息、进行常驻房间续时、转让房主操作。\n4. 在右侧侧边框可分享语音房间链接、发放语音房间礼金。	1. Voice rooms can hold up to 1000 people. \n 2. Concert voice rooms default to Host-Controlled Speech Order mode; you must click the microphone button to request to speak; once the host approves, you can unmute. \n 3. The host can adjust speech order, set mutes, and manage the room blacklist in Member Permissions. They can also adjust room info, extend the room's duration, or transfer ownership in the right sidebar settings. \n 4. You can share the voice room link or distribute voice room gifts via the right sidebar.
1. 语音房间最多可容纳1000人。\n2. 语音房间默认是自由发言模式，点击输入框旁边的开麦按钮即可自动开麦。若当前语音房间模式为房主设置发言权限模式或房主设置发言顺序模式，则需点击开麦按钮发起上麦申请，房主通过后即可开麦。\n3. 房主可在成员权限设置处调整发言模式，设置禁言和房间黑名单，也可在右侧侧边栏设置界面，调整房间信息和类型，进行转让房主操作。\n4. 在右侧侧边框可分享语音房间链接、发放语音房间礼金。	1. Voice rooms can hold up to 1000 people. \n 2. Voice rooms default to Free Speech mode; click the microphone button next to the input box to automatically unmute. If the room is set to Host-Controlled Speech Permission or Speech Order mode, you must click the microphone button to request to speak; once the host approves, you can unmute. \n 3. The host can adjust speech modes, set mutes, and manage the room blacklist in Member Permissions. They can also adjust room info, type, or transfer ownership in the right sidebar settings. \n 4. You can share the voice room link or distribute voice room gifts via the right sidebar.
1. 选择你要进行<Highlight>部分可见</>以及<Highlight>对谁隐身</>的范围\n2. 在群聊中若有不是你好友的玩家，范围设置将不生效	1. Select the scope for <Highlight> partial visibility </> and <Highlight> who to hide from </> \n 2. If there are players in the group chat who are not your friends, the scope settings will not take effect.
1. 领取绑金礼金的玩家会获得随机数额的绑金\n2. 领取外观馈赠的玩家会获得随机类型的外观道具	1. Players who claim bound gold gifts will receive a random amount of bound gold. \n 2. Players who claim appearance gifts will receive a random type of appearance item.
1. 默认关闭，关闭情况下会过滤环境音、增强人声，语音聊天效果更佳。\n2. 开启后，会增强环境音，若使用其他设备外放音乐，收音效果更佳。\n3. 退出当前聊天房间后，此开关会重置为关闭状态。	1. Default is off; when off, it filters ambient noise and enhances human voices for better voice chat quality. \n 2. When turned on, it enhances ambient noise, which is better if you are using other devices to play music. \n 3. This switch resets to off after exiting the current chat room.
1.11版本更新公告	Version 1.11 Update Announcement
1.8找到崩掉的纽扣	1.8 Find the popped button
1.<Highlight>大地图</>上实时显示旗帜所在位置。\n2.<Highlight>右上角小地图</>也会持续显示旗帜方向，可根据指引方向寻找旗帜。	1. <Highlight> The large map </> displays the location of the flag in real-time. \n 2. <Highlight> The mini-map in the top right corner </> will also continuously display the direction of the flag; you can follow the guidance to find the flag.
1.三选一坠星	1. Choose one of three falling stars
1.上传时必须选择一项自定义内容（动作、表情、音频、镜头其中一项即可）。\n2.目前仅支持上传自定义内容，暂无法上传系统动作和预设的运镜。\n3.上传后可在【我的-选择对应作品-编辑】中进行修改和删除。	1. You must select one custom content (action, expression, audio, or camera) when uploading. \n2. Currently, only custom content can be uploaded; system actions and preset camera movements cannot be uploaded yet. \n3. After uploading, you can modify or delete it in [Mine - Select Corresponding Work - Edit].
1.俱乐部成员锁定规则：在以俱乐部为单位的玩法活动（如四方联赛、歌剧魅影、猎城战、高原战）期间，俱乐部不允许成员的加入和退出。\n2.俱乐部活动途径人数限制：部分俱乐部活动对参与成员的途径人数有限制要求，详情可见俱乐部活动说明。	1. Club member locking rules: During club-based activities (such as the Four-Way League, Phantom of the Opera, City of Dragon Hunting, Plateau Battle), clubs are not allowed to add or remove members. \n 2. Club activity pathway participation limits: Some club activities have restrictions on the number of participants per pathway; see the club activity instructions for details.
1.准备视频	1. Prepare Video
1.召唤4个撞击蘑菇;\n2.扇形AOE*4;\n3.全屏击退AOE	1. Summon 4 impact mushrooms;\n 2. Fan-shaped AOE*4;\n 3. Full-screen knockback AOE
1.召唤蘑菇;\n2.扇形AOE*4\n3.全屏AOE击退	1. Summon mushrooms;\n 2. Fan-shaped AOE*4;\n 3. Full-screen AOE knockback
1.同一俱乐部中，每个玩家所拥有的投影相同。\n2.每个投影在一届比赛仅可上场一次，不可重复上场。	1. In the same Club, every player owns the same projections. \n2. Each projection can only be fielded once per competition and cannot be reused.
1.当旗帜不在当前分线时，可点击右上角小地图上方的<Highlight>切换分线</>寻找。\n2.选择传送点即可传送至<Highlight>旗帜所在分线</>，迅速投入战斗。	1. When the Flag is not in the current sub-channel, you can click <Highlight> Switch Sub-channel </> above the mini-map in the top right corner to find it. \n 2. Select a Teleport point to Teleport to the <Highlight> sub-channel where the Flag is located </> and quickly join the battle.
1.怪物出生时无敌不可选中。	1. Invincible and untargetable when monster spawns.
1.怪物死亡后取消碰撞。	1. Cancel collision after monster dies.
1.断线<Highlight>%d</>分钟内保留排队状态，重连后可继续排队；\n2.断线超<Highlight>%d</>分钟，自动取消排队；\n3.断线状态下排到，可<Highlight>免排队</>直接进入游戏，次日失效。	1. Disconnection <Highlight>%d </> minutes will retain your queue status; you can continue queuing after reconnecting. \n 2. If disconnected for over <Highlight> %d </> minutes, the queue will be automatically canceled. \n 3. If you reach your turn while disconnected, you can <Highlight> skip the queue </> and enter the game directly; this expires the next day.
1.普通镜头提供规范化的拍摄视角，便于进行角色展示与构图调整。\n2.自由镜头可自由控制拍摄位置与视角，实现更多创意取景效果。	1. The normal lens provides a standardized shooting perspective, facilitating character display and composition adjustment. \n2. The free lens allows free control of the shooting position and perspective, achieving more creative framing effects.
1.枪手申请掩护	1. Gunner requests cover
1.点击邮件正文收藏按钮可将邮件加入收藏夹\n2.收藏前需先领取完邮件中的所有附件\n3.加入收藏夹，可在收藏夹中永久保留此邮件	1. Click the favorite button in the email body to add the email to your favorites. \n2. You must collect all attachments in the email before favoriting. \n3. Once added to favorites, this email will be permanently kept in your favorites folder.
11_弗兰奇公寓	11_Frankie Apartment
12月24日，生日灵数是6，会有一段平稳的人生。	December 24th, the birth number is 6, you will have a stable life.
1345年4月12日 \n第一次摸到父亲的工具。锤子比想象中沉，手抖得厉害，把银片敲变形了。\n\n1345年8月3日 \n学会了辨认红宝石和石榴石的区别。\n\n1346年2月18日 \n母亲咳嗽又重了。周薪涨到12苏勒，买了些润喉的草药。\n\n1346年7月9日 \n独立完成了一枚银戒指的抛光。主顾是个码头工人，给未婚妻的。\n\n1347年3月15日 \n正式成为匠人学徒。父亲说我手稳，适合吃这碗饭。\n\n1347年11月2日 \n学会了镶嵌月光石。父亲点头了。\n\n1348年6月3日 \n周薪涨到1镑5苏勒。母亲炖了肉汤。\n\n1348年9月14日 \n第一次接定制单。顾客要一枚带苹果花纹的胸针，说送给妻子。画了三遍草图才满意。\n\n1349年1月20日 \n整理铺子旧物，发现一张泛黄的家谱图。有些名字被涂掉了。\n\n1349年3月8日 \n母亲的药粉快吃完了。这周多接些修活的单子。\n\n1349年6月28日 \n收到了一本奇怪的笔记。翻开第一页，那些符号……好像在哪里见过。	April 12, 1345 \n First time touching father's tools. The hammer was heavier than expected, my hand shook so much I deformed the silver sheet. \n\n August 3, 1345 \n Learned to distinguish between rubies and garnets. \n\n February 18, 1346 \n Mother's cough worsened. Weekly wage rose to 12 sous, bought some throat-soothing herbs. \n\n July 9, 1346 \n Independently finished polishing a silver ring. The client was a dock worker, for his fiancée. \n\n March 15, 1347 \n Officially became a craftsman's apprentice. Father said my hands are steady, suitable for this trade. \n\n November 2, 1347 \n Learned to set moonstones. Father nodded. \n\n June 3, 1348 \n Weekly wage rose to 1 pound 5 sous. Mother made meat stew. \n\n September 14, 1348 \n First custom order. Customer wanted a brooch with an apple pattern, said it was for his wife. Drew the sketch three times before he was satisfied. \n\n January 20, 1349 \n Sorting through old items in the shop, found a yellowed family tree. Some names were crossed out. \n\n March 8, 1349 \n Mother's herbal powder is almost gone. Need to take more repair jobs this week. \n\n June 28, 1349 \n Received a strange notebook. Opened the first page, those symbols... I feel like I've seen them somewhere.
14_打印道具装备池	14_Print Item Equipment Pool
15-回退	15 - Back
15米内单体友方目标	Single friendly target within 15 meters
15米的后撤位移	15-meter backward displacement
18号\n罗森的民俗草药店	No. 18\nRosen's Folk Herbs Shop
19级6人本BOSS普通	Level 19 6-Player Dungeon Boss Normal
19级6人本Boss普通	Level 19 6-Player Dungeon Boss Normal
1:忽略 0恢复	1: Ignore, 0: Restore.
1:解除 其他:恢复	1: Release, Others: Restore.
1、参与战略服玩法，可获得征服声望和战功；\n2、征服声望达到对应值，可提高个人征服军衔等级，获得对应奖励并解锁对应功能。	1. Participate in strategic server gameplay to earn Conquest Prestige and War Merit; \n2. When Conquest Prestige reaches the corresponding value, you can increase your personal Conquest Military Rank, obtain corresponding rewards, and unlock corresponding functions.
1、双方俱乐部活动期间无法发起和接受合并申请。接受合并申请时，两方俱乐部总成员之和不得超过合入俱乐部的总成员数上限。超出上限则合并失败，需请离人员再进行合并。	1. Merger requests cannot be initiated or accepted during Club activities. When accepting a merger request, the total number of members of both Clubs must not exceed the maximum member limit of the receiving Club. If it exceeds the limit, the merger will fail; you must remove members before merging.
1、征服声望每周获取上限，上限可累积两周；\n2、通过战略服终末猎杀获取的征服声望每周有上限，不可累积；\n3、装配环身“律令扉页（头部）”后，获得战功时会额外获得征服声望，该方式获得的征服声望不计算在上限中。	1. There is a weekly cap on Conquest Prestige acquisition, which can be accumulated for two weeks; \n2. Conquest Prestige obtained through the strategic server's Final Hunt has a weekly cap and cannot be accumulated; \n3. After equipping the ring \"Law Decree Page (Head),\" you will receive additional Conquest Prestige when gaining War Merit. This method of obtaining Conquest Prestige does not count towards the cap.
1、根据俱乐部神选积分排名，可授予一定数量的俱乐部成员为征服先锋；\n2、被授予征服先锋的玩家，将获得道具“征服之证”；\n3、个人军衔等级四升级军衔等级三时，需消耗一个“征服之证”。	1. Based on the Club's God-Chosen ranking, a certain number of Club members can be granted the title of Conquest Vanguard; \n2. Players granted the title of Conquest Vanguard will receive the item \"Proof of Conquest\"; \n3. When upgrading personal Military Rank from Level 4 to Level 3, one \"Proof of Conquest\" is required.
1、每周根据俱乐部神选积分排名，会长可授予一定数量的俱乐部成员为征服先锋；\n2、被授予征服先锋的玩家，将获得道具“征服之证”。	1. Every week, based on the Club's Divine Selection ranking, the President can grant a certain number of Club members the title of Conquest Vanguard; \n2. Players granted the title of Conquest Vanguard will receive the item \"Proof of Conquest\".
1、每周每个副本会获得一定的<Highlight>讨伐奖励次数</>，玩家在击杀副本首领后，会增加<Highlight>讨伐奖励进度</>\n2、讨伐奖励进度<Highlight>积累满</>后，可领取一件当前副本<Highlight>未拥有的烙印装备或者外观奖励</>\n3、领取后，对应的进度将会扣除领奖所需的次数\n4、烙印装备的讨伐奖励次数增加规则：共次数的副本，共享讨伐奖励次数，每周每个首领增加1次\n5、外观的讨伐奖励次数增加规则：每个副本，每周每个首领增加2次，普通和困难难度共享次数	1. Each dungeon will receive a certain number of <Highlight>Crusade Reward Counts</> every week. Players will increase their <Highlight>Crusade Reward Progress</> after killing the dungeon boss. \n2. After the <Highlight>Crusade Reward Progress</> is fully accumulated, you can claim a piece of <Highlight>unowned Imprint Equipment or cosmetic reward</> from the current dungeon. \n3. After claiming, the corresponding progress will deduct the number of counts required for claiming the reward. \n4. Imprint Equipment Crusade Reward Count increase rule: Dungeons with shared counts share Crusade Reward Counts, and each boss adds 1 count per week. \n5. Cosmetic Crusade Reward Count increase rule: Each dungeon adds 2 counts per boss per week, and Normal and Hard difficulties share counts.
1个	1
1出门引导镜头	1 Exit Guidance Camera
1打开; 0关闭; 设置之后要切换一下场景, 重新载入角色; 使用X可以切换姿态	1 to enable; 0 to disable; after setting, you must switch scenes and reload the character; use X to switch stances.
1级	Level 1
1级-初识	Level 1 - Acquaintance
1级-零散	Level 1 - Scattered
1级灵界生物	Level 1 Spirit World Creature
1选A	1 Select A
1选B	1 Select B
1问题	1 question
1：显示，0：关闭	1: Show, 0: Close.
1：解除限制，其他：恢复	1: Remove restriction, other: Restore
2-049的投影赋予了你附身的能力，点击菜单查看。	The projection of 2-049 grants you the ability to possess. Click the menu to view it.
2.上传视频	2. Upload Video
2049不可选中	2049 Untargetable
2049筛npc&玩家滞涩	2049 Filter NPC & Player Stagnation
20_清空指定背包页签下的所有物品	20_Clear All Items in Specified Inventory Tab
20级6人本Boss普通	Level 20 6-Player Dungeon Boss Normal
20级后溶解测试	Dissolve Test After Level 20
2113【忍不住】	2113【Can't help it】
22条	22 items
25品武器箱	Level 25 Weapon Box
2、合并后，申请方的剩余俱乐部资金全部并入接受方俱乐部，俱乐部名、俱乐部等级、建筑等级等俱乐部信息以接收的俱乐部为准，申请方的俱乐部成员被迁移至目标俱乐部后，不再拥有职位，全部成为普通会员，原俱乐部学徒在现俱乐部仍然为学徒。	2. After the merger, the remaining Club funds of the applicant Club are merged into the receiving Club. Club information such as Club name, Club level, and building levels will be based on the receiving Club. After the applicant Club's members are migrated to the target Club, they will no longer hold positions and will all become ordinary members. Original Club Apprentices remain Apprentices in the new Club.
2个	2 items
2件随机装备 + 8金币	2 random Equipment + 8 Gold Coins
2压力核心	2 Pressure Cores
2引导1	2 Guide 1
2引导2	2 guide 2
2级	Level 2
2级-充实	Level 2 - Enriched
2级-领略	Level 2 - Appreciation
2级乾坤一掷	Level 2 All-or-Nothing
2级灵界生物	Level 2 Spirit World Creature
2问题	2 Questions
3.选择内容	3. Select Content
35品武器箱	Level 35 Weapon Box
35级6人本Boss普通	Level 35 6-Player Dungeon Boss Normal
35级标准活跃玩家+少量钱	Level 35 standard active player + small amount of money.
35装等装备箱	35 Item Level Equipment Box
35装等装备随机箱	Level 35 Equipment Random Box
35装等金色装备	35 Item Level Gold Equipment
35装等金色装备盒	35 Item Level Gold Equipment Box
39世界BOSS普通10%生命	Level 39 World Boss Normal 10% HP
