Current Quest: <HighLight>(6/10)</><img id="TaskCoin" width="48" height="48"/>	Текущий квест: <HighLight>(6/10)</><img id="TaskCoin" width="48" height="48"/>
Nighthawks Inspection Team	Инспекционная группа «Ночных ястребов»
Negative effect description negative effect description negative effect description negative effect description negative effect description negative effect description negative effect description negative effect description negative effect description negative effect description negative effect description	Описание отрицательного эффекта Описание отрицательного эффекта Описание отрицательного эффекта Описание отрицательного эффекта Описание отрицательного эффекта Описание отрицательного эффекта Описание отрицательного эффекта Описание отрицательного эффекта Описание отрицательного эффекта Описание отрицательного эффекта
Man buying a pumpkin	Мужчина покупает тыкву
Complete spirituality of an ancient wraith	Полная духовность древнего призрака
Awakening Level Lv2	Уровень пробуждения 2 ур.
It is all gray fog here, go send a red packet	Здесь весь серый туман, иди отправь красную посылку
Is this... still human?	Это... все еще человек?
Please add an image containing a QR code.	Пожалуйста, добавьте изображение, содержащее QR-код.
6 days ago	6 дней назад
General hint general hint general hint general general hint general hint general hint general	Общая подсказка, общая подсказка, общая подсказка, общая подсказка, общая подсказка, общая подсказка, общая подсказка, общая подсказка.
But Bacon still hasn't gained much weight, has he?	Но Бэкон все еще не сильно набрал вес, не так ли?
Friend Invitation	Приглашение друга
Booth Mode	Режим стенда
System Panel Title	Название системной панели
If you possess a Defense increase effect, you will gain a Protective Shield effect. If you possess a Defense increase effect, you will gain a Protective Shield effect, absorbing damage equivalent to <NumYellow>20.0%</> of your Stamina for <NumYellow>15</> seconds.	Если у вас есть эффект повышения защиты, вы получите эффект Защитного щита. Если у вас есть эффект повышения защиты, вы получите эффект Защитного щита, поглощающий урон, эквивалентный <NumYellow>20,0%</> вашей выносливости, в течение <NumYellow>15</> секунд.
Look everyone, the Bishop is here!	Смотрите все, епископ здесь!
Gold Thread Challenge Gift	Подарок на вызов золотой нити
Gameplay Content Update	Обновление игрового контента
Squad name seven characters	Название отряда семь символов
Season quest description, twenty-something characters, twenty-something characters, twenty-something characters	Описание сезонного квеста, персонажи двадцати с чем-то, персонажи двадцати с чем-то, персонажи двадцати с чем-то
Everyone come find me for Requiem.	Все приходят ко мне на Реквием.
Is this nut a marionette?	Этот псих — марионетка?
John Mystery.	Джон Мистери.
This... what is this?	Это... что это?
Save up seeds.	Копите семена.
That was close, but it doesn't seem safe here either...	Это было близко, но и здесь, похоже, небезопасно...
NPC Name Name	Имя НПС Имя
Is the Beacon of Fate really a dead server?	Действительно ли «Маяк судьбы» мертвый сервер?
More Data	Больше данных
Projection of Elias Vane	Проекция Элиаса Вейна
      Xiao Ke rehearsed the potential plot in advance, acting in the real world only according to the preset flow.\r\nHe borrowed the Worm of Time from the old man through Leonard and crafted a Luck Siphon charm. He also arranged for his only Blessed, Saint Danni,\r\n\r\nXiao Ke rehearsed the potential plot in advance, acting in the real world only according to the preset flow. Borrowed the Worm of Time from the old man and acted in the real world only according to the preset flow. Did he rehearse the potential plot in advance? Hahaha\r\n\r\nXiao Ke rehearsed the potential plot in advance, acting in the real world only according to the preset flow.	Сяо Кэ заранее отрепетировал потенциальный сюжет, действуя в реальном мире только по заданному сценарию.\r\nОн позаимствовал Червя Времени у старика через Леонарда и создал талисман Вытягивания Удачи. Он также устроил для своего единственного блаженного, святого Данни,\r\n\r\nСяо Кэ заранее отрепетировал потенциальный сюжет, действуя в реальном мире только по заданному сценарию. Позаимствовал у старика Червя Времени и действовал в реальном мире только по заданному сценарию. Репетировал ли он потенциальный сюжет заранее? Ха-ха-ха\r\n\r\nСяо Кэ заранее отрепетировал потенциальный сюжет, действуя в реальном мире только по заданному сценарию.
Buffs in this match	Баффы в этом матче
Is this the effect of 'Eat Me'? It allows me to transform into a strange shape and comes with special powers...	Это эффект «Съешь меня»? Оно позволяет мне принимать странную форму и обладает особыми способностями...
When Luck is full, you can obtain a gold six-star marionette.	Когда Удача наполнится, вы сможете получить золотую шестизвездочную марионетку.
Seed of Sighs - Single Hunt	Семя вздохов — Одиночная охота
Purification <Yellow>1 time</> Level 3 corruption corruption corruption corruption corruption corruption	Очищение <Yellow>1 time</> Уровень 3 коррупция коррупция коррупция коррупция коррупция коррупция коррупция коррупция коррупция коррупция коррупция коррупция коррупция коррупция коррупция коррупция коррупция коррупция коррупция коррупция коррупция коррупция коррупция
Can obtain 10 <Highlight> Pure Beyonder material </>, 30 <Highlight> Gear Sealing Wax - Competition </>	Можно получить 10 <Highlight> материала Pure Потусторонний </>, 30 <Highlight> Герметизирующий воск для шестерен — конкурс </>
Evelyn Marlow has bid	Эвелин Марлоу сделала ставку
Inventory 0/10	Инвентарь 0/10
5 Prizes	5 призов
Gathering Anchors has ended.	Сбор якорей завершен.
If scores are tied, the player with the higher regional ranking wins	Если результаты равны, побеждает игрок с более высоким региональным рейтингом.
Silver Knight Spirit	Дух Серебряного Рыцаря
Barely Satisfactory	Едва удовлетворительно
Equip Placeholder Text Placeholder	[Заглушка]
Ending description ending description ending description ending description ending description ending description ending description ending description ending description ending description ending description ending description ending description ending description	Окончание описания Окончание описания Окончание описания Окончание описания Окончание описания Окончание описания Окончание описания Окончание описания Окончание описания Окончание описания Окончание описания Окончание описания
Sokoban Activity	Сокобанская деятельность
They say trolls have three virtues: light and soft, easy to push over, can cry, can fuss, can act spoiled, and call out 'Big Boss, don't'.	Говорят, что у троллей есть три достоинства: легкие и мягкие, их легко толкнуть, они могут плакать, могут суетиться, могут вести себя избалованными и кричать: «Большой Босс, не надо».
Team Preview	Предварительный просмотр команды
His "Knowledge Emperor" characteristic, combined with his crown, became a Sealed Artifact.	Его свойство «Император Знаний» в сочетании с короной стала Запечатанным Артефактом.
Placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text	[Заглушка]
Fire Bearer	Носитель огня
Cosmic Heaven has bid	Космические Небеса сделали ставку
Amelia Fuller-2	Амелия Фуллер-2
Placeholder Text Text	[Заглушка]
Those who fail to meet the target requirements will have their combat attributes temporarily reduced next week until the requirements are met.	У тех, кто не соответствует целевым требованиям, на следующей неделе будут временно снижены боевые характеристики до тех пор, пока требования не будут выполнены.
But some key words are missing between these phrases; perhaps they need to be formed into the correct sentence.	Но между этими фразами отсутствуют некоторые ключевые слова; возможно, их нужно сформировать в правильное предложение.
Total Weight: <Yellow>200</>/1000	Общий вес: <Yellow>200</>/1000
Please enter a player name.	Пожалуйста, введите имя игрока.
Freely explore the scene and experience diverse resident life and interactive gameplay. Freely explore the scene and experience diverse resident life and interactive gameplay. Freely explore the scene and experience diverse resident life and interactive gameplay. Freely explore the scene and experience diverse resident life and interactive gameplay.	Свободно исследуйте территорию и испытайте разнообразную жизнь жителей и интерактивный игровой процесс. Свободно исследуйте территорию и испытайте разнообразную жизнь жителей и интерактивный игровой процесс. Свободно исследуйте территорию и испытайте разнообразную жизнь жителей и интерактивный игровой процесс. Свободно исследуйте территорию и испытайте разнообразную жизнь жителей и интерактивный игровой процесс.
Description Description Description Description Description Description Description Description Description Description	Описание Описание Описание Описание Описание Описание Описание Описание Описание Описание
Held 10	Проведено 10
Man Shu Sha Hua	Ман Шу Ша Хуа
Doesn't seem right, let's go try other answers.	Кажется, это неправильно, давайте попробуем другие ответы.
Audrey Hunter Squad	Одри Хантер
Now is the time!	Сейчас самое время!
Go to the dungeon [May Manor · Castle] and defeat the <HyperLink stylename="h" u="1250309"> Offspring Protection </>.	Отправляйтесь в подземелье [Майское поместье · Замок] и победите <HyperLink stylename="h" u="1250309"> Защитника потомков </>.
Dunn's Invitation Dunn's Invitation Dunn's Invitation Dunn's Invitation Dunn's Invitation	Приглашение Данна Приглашение Данна Приглашение Данна Приглашение Данна Приглашение Данна
Worldview description of the outfit, describe the outfit in conjunction with the worldview	Мировоззренческое описание наряда, опишите наряд во взаимосвязи с мировоззрением.
All resistances increased by <HighLight>100%</>, with additional effect bonuses in specific gameplay modes. Text description, text description, text description, text description, text description, text description, text description, text description, text description, text description	Все сопротивления увеличены на <HighLight>100%</> с дополнительными бонусами эффектов в определенных режимах игры. Текстовое описание, текстовое описание, текстовое описание, текстовое описание, текстовое описание, текстовое описание, текстовое описание, текстовое описание, текстовое описание, текстовое описание
Selected: No Sunlight	Выбрано: Нет солнечного света
Why does that dog keep staring at me? I hope it never comes to find me.	Почему эта собака продолжает смотреть на меня? Надеюсь, оно никогда не найдёт меня.
Weekly Limit 99999/20000	Недельный лимит 99999/20000
Reward: Digestion +500	Награда: пищеварение +500.
Sealed Artifact details	Подробности о запечатанном артефакте
       It is truly a miraculous thing. A whimsical experiment and an accidental error led me to discover a poor fellow trapped in a storm, lost in the depths of darkness. He can only approach the real world slightly during the full moon each month, yet he still cannot get his cries to carry through.\r\n\r\n       He is fortunate; he met me—the protagonist of this era.\r\n\r\n       After writing the passage above and reading it to myself, I suddenly felt a bit wistful. Even when using Chinese, I unconsciously adopted a heavy translation tone. Forty years have passed in the blink of an eye; past memories really feel just like a dream.	Это действительно чудесная вещь. Причудливый эксперимент и случайная ошибка привели меня к тому, что я обнаружил беднягу, попавшего в бурю, затерянного в глубинах тьмы. Он может лишь слегка приближаться к реальному миру во время полнолуния каждый месяц, но все равно не может донести свой крик.\r\n\r\n       Ему повезло; он встретил меня — главного героя этой эпохи.\r\n\r\n       Написав приведенный выше отрывок и прочитав его про себя, я внезапно почувствовал легкую задумчивость. Даже когда я говорил по-китайски, я неосознанно использовал тяжелый тон перевода. Сорок лет прошли в мгновение ока; Прошлые воспоминания действительно напоминают сон.
My Profit:	Моя прибыль:
It's about the same, depends on the technique.	Это примерно одинаково, зависит от техники.
My Popularity: <HeatNum>500</>/1000	Моя популярность: <HeatNum>500</>/1000
It will be my turn soon...	Скоро будет моя очередь...
I'm at 6.6, can I walk sideways now?	У меня 6,6, могу ли я теперь ходить боком?
Seven-character Guild Name	Семизначное название гильдии
-Quest Name Seven Characters	-Название квеста: семь символов.
Average Grade	Средняя оценка
Liu Shijie	Лю Шицзе
First recharge bonus 3000	Бонус на первое пополнение 3000
<P_Heart>(Let's write the clues down in the script...)</>	<P_Heart>(Давайте запишем подсказки в сценарий...)</>
I'm going to do odd jobs.	Я буду подрабатывать.
Only by stopping the sacrifice as soon as possible can we save more people!	Только остановив жертвоприношение как можно скорее, мы сможем спасти больше людей!
Come, honorable one... come and embrace the new life.	Приходите, почтенный... придите и примите новую жизнь.
Hmm? Why are there still so many that won't be scared away... and the Golden Wolf's shield is still there...	Хм? Почему еще так много тех, кого не испугаешь... и щит Золотого Волка все еще там...
Target furniture not found	Целевая мебель не найдена
A magical item	Волшебный предмет
Placeholder Text Placeholder	[Заглушка]
Open to obtain 1 <Highlight>bound</> gray fog dust. You can open it <Highlight>3</> times per week; unused attempts will accumulate to the following week, up to a maximum of <Highlight>15</> times. \n\n<Highlight>Gray fog dust</>: A key material for forging Mythical quality brooches <Highlight>(Adventure-oriented)</>. \n\nForging requires <Highlight>15</> gray fog dust to obtain a Gear Level 64 <Highlight>Adventure-oriented</> Mythical quality brooch. \nAs the season progresses, Gear Level Increase for Adventure-oriented Mythical brooches will be unlocked, which will consume a certain amount of <Highlight>gray fog dust</>. \n\nYou can directly obtain up to <Highlight>3</> gray fog dust per week through party dungeons, raid dungeons, and world adventure treasures <Highlight>directly obtained</>. Unobtained amounts can accumulate to the following week, up to a maximum of <Highlight>15</>.	Откройте, чтобы получить 1 пыль серого тумана <Highlight>bound</>. Вы можете открыть его <Highlight>3</> раз в неделю; неиспользованные попытки накапливаются до следующей недели, максимум <Highlight>15</> раз. \n\n<Highlight>Серая туманная пыль</>: Основной материал для ковки брошей мифического качества <Highlight>(Приключенческий)</>. \n\nДля ковки требуется <Highlight>15</> пыль серого тумана, чтобы получить брошь 64-го уровня снаряжения. <Highlight>Приключенческий </> Брошь мифического качества. \nПо ходу сезона будет разблокировано повышение уровня снаряжения для мифических брошей, ориентированных на приключения, для чего потребуется определенное количество <Highlight>серой туманной пыли</>. \n\nВы можете напрямую получать до <Highlight>3</> пыли серого тумана в неделю через групповые подземелья, рейдовые подземелья и сокровища мировых приключений. <Highlight>, полученные напрямую </>. Неполученные суммы могут накапливаться до следующей недели, максимум до <Highlight>15</>.
<P_Heart>(Perfect, there's a carriage driver!)</>	<P_Heart>(Отлично, есть возница!) </>
Change a skill and I'll let you heal less.	Измените навык, и я позволю вам лечить меньше.
Forget it, not skewering anymore, may the Apprentices find someone who can protect your normal output.	Забудьте об этом, больше не протыкайте, пусть Ученики найдут кого-нибудь, кто сможет защитить ваш обычный результат.
Placeholder Text Placeholder	[Заглушка]
This fusion will not generate grayed-out volatile entries	Это объединение не будет генерировать неактивные записи, выделенные серым цветом.
Time really flies; in the blink of an eye, it's already 1354. It feels like the war just ended.	Время действительно летит; в мгновение ока уже 1354 год. Такое ощущение, что война только что закончилась.
Registered for next season	Зарегистрирован на следующий сезон
Current quantity: 9988	Текущее количество: 9988
One Two Three Four Five One Two Three Four Five One Two Three Four Five One Two Three	Один Два Три Четыре Пять Один Два Три Четыре Пять Один Два Три Четыре Пять Один Два Три
Damage in this match	Повреждения в этом матче
Set attributes	Установить атрибуты
Skill School	Школа навыков
Order Inspection	Заказать проверку
Taylor Swift	Тейлор Свифт
Go to synthesize	Перейти к синтезу
What is the must-eat list	Что входит в список того, что нужно есть
Custom Preset 3	Пользовательская предустановка 3
0,000,000	0 000 000
10% chance to increase your own Strength by 20 points after dealing damage, Continuous for 2 seconds, stacks up to 3 times, no Cooldown	10% шанс увеличить вашу собственную силу на 20 очков после нанесения урона, непрерывно в течение 2 секунд, суммируется до 3 раз, без перезарядки.
Singing isn't like you healers who have people to carry you.	Пение не похоже на вас, целителей, у которых есть люди, которые вас несут.
Cape	Мыс
Upper Waistband	Верхний пояс
This play's rating	Рейтинг этой пьесы
Where is this? It looks like the mansion of some noble...	Где это? Похоже на особняк какого-то дворянина...
Match result	Результат матча
May Manor Dungeon	Подземелье Мэй Мэнор
Baimiao.	Баймяо.
Would you like to try the new coffee flavor I've been researching?	Хотите попробовать новый вкус кофе, который я искал?
Iron Cross Street (I)	Айрон-Кросс-стрит (I)
View Rewards	Посмотреть награды
The currently equipped entry is the highest-rated entry. Please save it first.	Оборудованная в настоящее время запись имеет самый высокий рейтинг. Пожалуйста, сначала сохраните его.
Reset Crop	Сбросить обрезку
Why are there so many rats?!	Почему так много крыс?!
Einhart has bid	Эйнхарт сделал ставку
Squad size is 3~12 people	Размер отряда 3~12 человек.
Thank you for your purchase, and I hope you enjoy your tour!	Благодарим вас за покупку и надеемся, что вам понравится тур!
This gun might be able to be used with Demon Hunter Bullets... let it continue to guard the citizens of Tingen.	Это ружье можно будет использовать с пулями охотника на демонов... пусть оно и дальше охраняет жителей Тингена.
Product	Продукт
Leave here first, hold on to me.	Сначала уйди отсюда, держись за меня.
Rank experience limit for uploading custom emojis, 0 = no limit	Ограничение опыта для загрузки собственных смайлов, 0 = без ограничений.
Placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text placeholder text	[Заглушка]
Yes, so when it comes to antiques, no one knows more than I do…	Да, когда дело касается антиквариата, никто не знает больше меня…
Character Details	Детали персонажа
Text explanation text explanation text explanation text text explanation text explanation text explanation text text explanation text explanation text explanation text	Текст объяснения Текст объяснения Текст объяснения Текст объяснения Текст объяснения Текст объяснения Текст объяснения Текст объяснения Текст объяснения Текст объяснения Текст объяснения
Master Astrology, Card Master Astrology, Card Master Astrology, Card	Мастер Астрологии, Мастер Астрологии Карты, Мастер Астрологии Карты, Карты
Book Name Text	Текст названия книги
Added 2	Добавлено 2
Backlund (124, 989)	Баклунд (124, 989)
Yu Ni·Love	Ю Ни · Лав
Condition description condition description condition description condition description	Описание состояния Описание состояния Описание состояния Описание состояния
There are no other clues in the room, now let's perform Spiritual Retrospection on the corpse.	Других улик в комнате нет, теперь проведем Духовную ретроспекцию трупа.
Foreign Friend has bid	Иностранный друг сделал ставку
<P_Heart>(A farm? I think Rozanne mentioned something strange happening at the farm by Golden Autumn Lake.)</>	<P_Heart>(Ферма? Кажется, Розанна упомянула что-то странное, происходящее на ферме у озера Золотой Осени.) </>
Placeholder Text Placeholder Placeholder Text Placeholder	[Заглушка]
John Mystery-2	Джон Мистери-2
Crying	Плач
Remaining reward attempts today	Оставшиеся попытки вознаграждения сегодня
Miss "Justice"? Why are you at the front desk...	Мисс «Справедливость»? Почему ты на стойке регистрации...
The pendulum rotates rapidly clockwise; fate reveals a very certain answer for Thinking. May this journey go smoothly!	Маятник быстро вращается по часовой стрелке; судьба открывает для Мышления весьма верный ответ. Пусть это путешествие пройдет гладко!
Go dance, quickly!	Иди танцевать, быстро!
She likes you	Ты ей нравишься
Quest description name	Название описания квеста
Team placeholder text	[Заглушка]
Collection Limit (5/10)	Лимит сбора (5/10)
Need to stand together for the Charge, I see you guys are very scattered	Надо вместе стоять на страже, я вижу, вы, ребята, очень разбросаны.
Did you steal my Healing	Ты украл мое исцеление?
"Demon Hunter"	«Охотник на демонов»
Cherish, when we were fighting just now, did you use Invincibility twice? I think I saw the little golden man twice.	Чериш, когда мы только что сражались, ты дважды использовал Непобедимость? Кажется, я видел маленького золотого человечка дважды.
Did you bring a cane?	Ты принес трость?
Show clubs not at full capacity	Шоу-клубы не заполнены на полную мощность
Do you think it's too hard? Let me give you a 'little' hint, but don't get scared!	Вы думаете, это слишком сложно? Позвольте мне дать вам «небольшую» подсказку, но не пугайтесь!
War declaration sessions:	Сессии объявления войны:
9.668 million	9,668 миллиона
<QueueYellow_Title>24</> hours <QueueYellow_Title>01</> minutes	<QueueYellow_Title>24</> часов <QueueYellow_Title>01</> минут
Use to obtain <Highlight>Avatar: Life Like a Summer Flower</>	Используйте, чтобы получить <Highlight>Аватар: Жизнь как летний цветок</>
Book of June  —  Lv 62 | Spectator | 5 m | Inspect	Книга июня — 62 ур. | Зритель | 8 м | Осмотреть
Text text text text text <DarkHighlight>text text text</> text text text text text text text text text	Текст текст текст текст текст
Special Affix Title	Специальный аффикс названия
Sincere skewers, not looking.	Искренние шашлыки, не глядя.
New Feature Unlocked	Новая функция разблокирована
Match time: This Friday at 8 o'clock	Время матча: в эту пятницу в 8 часов.
This fusion will not generate grayed-out volatile entries. This fusion will not generate grayed-out volatile entries. This fusion will not generate grayed-out volatile ent	Это объединение не будет генерировать неактивные записи, выделенные серым цветом. Это объединение не будет генерировать неактивные записи, выделенные серым цветом. Это слияние не будет генерировать неактивные элементы, выделенные серым цветом.
