CN	EN
秒啦<img id="#032" width="28" height="28" valign="0.5"/>	Insta-killed <img id="#032" width="28" height="28" valign="0.5"/>
输出不够	Not enough damage output.
丫人-3	Ya Ren-3
俱乐部收留跑路的宝宝无硬性要求	Club taking in babies whose leaders ran away, no hard requirements
参与<Hightlight_2>任一</>副本玩法	Participate in <Hightlight_2>any</> Dungeon gameplay
杀人了！杀人了！	Murder! Murder!
灯神的蛊惑	The God of Knowledge and Wisdom's bewitchment
鲁恩的罗赛尔戏剧节要开了鲁恩的罗赛尔戏剧节要开了鲁恩的罗赛尔戏剧节要开了鲁恩的罗赛尔戏剧节要开了鲁恩的罗赛尔戏剧节要开了鲁恩的罗赛尔戏剧节要开了鲁恩的罗赛尔戏剧节要开了鲁恩的罗赛尔戏剧节要开了鲁恩的罗赛尔戏剧节要开了鲁恩的罗赛尔戏剧节要开了鲁恩的罗赛尔戏剧节要开了鲁恩的罗赛尔戏剧节要开了鲁恩的罗赛尔戏剧节要开了鲁恩的罗赛尔戏剧节要开了鲁恩的罗赛尔戏剧节要开了鲁恩的罗赛尔戏剧节要开了	The Loen Roselle Drama Festival is about to begin. The Loen Roselle Drama Festival is about to begin. The Loen Roselle Drama Festival is about to begin. The Loen Roselle Drama Festival is about to begin. The Loen Roselle Drama Festival is about to begin. The Loen Roselle Drama Festival is about to begin. The Loen Roselle Drama Festival is about to begin. The Loen Roselle Drama Festival is about to begin. The Loen Roselle Drama Festival is about to begin. The Loen Roselle Drama Festival is about to begin. The Loen Roselle Drama Festival is about to begin. The Loen Roselle Drama Festival is about to begin. The Loen Roselle Drama Festival is about to begin. The Loen Roselle Drama Festival is about to begin. The Loen Roselle Drama Festival is about to begin. The Loen Roselle Drama Festival is about to begin.
任务名详情描述	Quest name detailed description
挑战 · 阿蒙分身	Challenge · Amon Avatar
暴雨夜，阿芬公爵遇刺，城堡聚集了五位继承人。神秘的情妇协信现身，寻找魔女神像。暴雨夜，阿公爵遇刺，城堡聚当钟声敲响第下，刺位继承人。神秘的情妇协信物身，寻找魔女神像。暴雨夜，阿爵遇刺，城堡聚当钟声敲响第八下刺位继承人。神秘的情妇协信物身，寻找魔女神像。当钟声敲响第下，刺客藏身暗处，神像诅咒悄然苏醒.像诅咒悄然苏醒...	On a stormy night, Duke Affen was assassinated, and five heirs gathered at the castle. A mysterious mistress appeared, searching for the Goddess statue. On a stormy night, Duke Affen was assassinated, and five heirs gathered at the castle. When the bell struck the eighth time, the assassin hid in the shadows, and the statue's curse quietly awakened....
负重：123/2000	Weight: 123/2000
但今天，我们要把它拿回来！	But today, we are going to take it back!
你不要动	Don't move
使用物品六字	Use Item Six Characters
受到<img id="01" width="36" height="36"/>攻击或者攻击时叠加受到攻击或者最高时叠加受到攻击或者攻击时<HighLight>叠加</>最高时叠加受到攻击或者攻击时<HighLight>叠加</>	When receiving <img id="01" width="36" height="36"/> attack or attacking, stack when receiving attack or at maximum, stack when receiving attack or attacking, <HighLight>stack</> when at maximum, stack when receiving attack or attacking, <HighLight>stack</>
常驻房间：<Popup_NotOpen>未开启</>	Permanent Room: <Popup_NotOpen>Not Open</>
消化完成	Digestion Complete
神化成功	Deification Successful
拍卖进行中	Auction in progress
授予俱乐部英雄	Grant Club Hero
黑屏淡出	Black screen fade-out
不想给你看	Don't want to show you
丫人-2	Ya Ren-2
有一件事情，必须隐秘地说。	There is one thing that must be said in secret.
着伤害	This damage.
细节从不撒谎，只是你需要学会倾听。	Details never lie; you just need to learn how to listen.
请选择外观物品	Please select an appearance item.
队伍名称	Team Name
队伍名称七个字	Team Name Seven Characters
唯愿你	I only wish for you
2025年6月15日 02:26	2025/06/15 02:26
喊话预览	Shout Preview
好冰冷的文字	Such cold words.
看到那个教堂了吗？	See that church?
解锁高级绸缎纺织品配方	Unlock Advanced Silk Textile Recipe
我带您去，尊贵的客人。	I will take you there, honorable guest.
赋税：<Price_Lev1>20%</>	Tax: <Price_Lev1>20%</>
<P_Heart>（地上怎么到处是血迹。这南瓜里面到底是什么东西……得让他亲口说出来。）</>	<P_Heart>(Why are there bloodstains everywhere on the ground? What exactly is inside this pumpkin... I have to make him say it himself.)</>
匹配度	Match Rate
无黑屏	No black screen
时装大赛分组 甲组	Fashion Contest Group A
贵族的象征，街头的宠儿	A symbol of nobility, a darling of the streets
Selected: 招财猫	Selected: Lucky Cat
买入高于市场价：	Buy price higher than market price:
俱乐部无要求想来就来	Club has no requirements, come if you want
已开战 12：55	Battle Started 12:55
06天12时	06 days 12 hours
前往【NPC名称】处正式解除	Go to [NPC Name] to formally dissolve
奥黛丽黛丽	Audrey Audrey
本地上传	Local Upload
你们今天是不是暗中在帮那个神祗	Are you guys secretly helping that God today
你能治疗吗？	Can you heal?
全部评论	All Comments
本周剩余切换次数：<ChangeTimes>1</>次	Remaining Switch attempts this week: <ChangeTimes>1</>
高傲	Arrogant
六月之书  —  Lv 62 | Spectator | 3 m | Inspect	Book of June  —  Lv 62 | Spectator | 3 m | Inspect
审核中12时05分56秒	Under review 12 hours 05 minutes 56 seconds
玩家名字七个字：	Player name seven characters:
主标题文本	Main Title Text
最高出价：	Highest Bid:
由大量虚幻之门组成的无色液体	A colorless liquid composed of a large number of Doors of Illusion
地域名称七八个字	Region Name Seven Eight Characters
虚空中的...	In the void...
<P_Heart>（斯维因先生告诉我的口令是……）</>	<P_Heart>(The password Mr. Swain told me is...)</>
一直少人 输出肯定不够哦	Always missing people, output definitely won't be enough
小伙子，薪水可以商量，考虑一下吧。	Young man, the salary is negotiable, please consider it.
精美的外壳，温润的手感，这是世界上最好的怀表！	Exquisite shell, warm touch, this is the best pocket watch in the world!
<Addition1>本站起,4占内业绩达到：</><Performance>1000</>/3000	<Addition1>Starting from this station, performance reached within 4 stops:</><Performance>1000</>/3000
保持热爱，奔赴山海，忠于自己，热爱生活	Keep the passion, rush to the mountains and seas, be loyal to yourself, love life
我们不排了	We're not queuing anymore.
艾尔维持对2-049的封印，别让它再扰乱战斗。	Al maintain the seal on 2-049, don't let it disturb the battle again.
震惊	Shocked
噢？真是让我惊喜，你似乎不是普通的非凡者。	Oh? What a surprise, you don't seem to be an ordinary Beyonder.
小队成员	Squad Member
海上的风暴，击沉了我的船……老子的烈朗齐呢？	The storm at sea sank my ship... where is my Lelangqi?
玩家状态	Player Status
2024年11月21日18: 00结算	Settlement on November 21, 2024, at 18:00
未拥有的家具	Unowned Furniture
没满	Not full.
随性	Casual
前往一键辅助系统	Go to the One-Click Support system
对阵队伍	Opposing team
打满了	Hit the limit.
文本内容文本内容文本内容额	Text content text content text content uh
知识，知识……	Knowledge, knowledge...
【@千秋载】战力提升了？秒伤提升了？pvp排名提升了？什么都没有你敢睡觉吗	【@Qian Qiu Zai】Combat power increased? DPS increased? PvP ranking increased? You dare to sleep without any of that?
详情描述文案包装详情	Detailed description text packaging details
春之梦 has bid	Spring Dream has bid
本周人数不足，未举办成功	Insufficient members this week, event not held
2024年03月09	2024/03/09
章节名称章节名称章节	Chapter Name Chapter Name Chapter
冲！	Charge!
标题文字28号	Title Text Size 28
她往这里走了	She walked this way
常驻派对规则	Permanent Party Rules
强化【心理辅导】，对状态不好的队友去除状，同事开启防护，有效时间60秒dskoiDgDSgISgpSP{O强化【心理辅导强化【心理辅导】，对状态不好的队友去除状，同事开启防护，有效时间60秒dskoiDgDSgISgpSP{O强化【心理辅导	Strengthening [Psychological Counseling], removes negative status from teammates, simultaneously activates Protection, effective for 60 seconds dskoiDgDSgISgpSP{O Strengthening [Psychological Counseling Strengthening [Psychological Counseling], removes negative status from teammates, simultaneously activates Protection, effective for 60 seconds dskoiDgDSgISgpSP{O Strengthening [Psychological Counseling
人们从历史中学到的唯一教训就是，人们总是无法从历史中获得教训，总是重复同样的悲剧。	The only lesson people learn from history is that people never learn from history and always repeat the same tragedies.
小队名称	Squad name
真的，学徒就像一个大区，进去在那跑，跑不过就要被几个大汉法死	Really, Apprentice is like a big zone, you go in and run, if you can't outrun them, you'll be 'law-killed' by a few big guys.
排除的BPP	Excluded BPP
破产	Bankrupt
保持距离，才能看见真实的脉络。	Keep your distance to see the true underlying patterns.
19级	Level 19
卖茶叶的...	The tea seller...
完成后到中央广场汇合，要小心。	Meet at Central Plaza after completion, be careful.
知识带来时代的新生。	Knowledge brings the rebirth of the era.
邀请您加入，一起探索诡秘世界	Invites you to join and explore the mysterious world together
 <P_Heart>（看来队长认识她……对了……）</>	 <P_Heart>(It seems the Captain knows her... Right...)</>
50级	Level 50
一分钟后过期	Expires in one minute
优雅 黑暗	Elegant Darkness
灰雾以北	North of the gray fog
10/10次	10/10 times
任务地点：	Quest location:
佳义	Jia Yi
公会事件	Guild Events
姐姐是一种感觉	Sister is a feeling
您不是家族首席或该申请已失效，无法进行当前操作	You are not the Family Chief, or the application has expired; you cannot perform this operation.
时装名字	Outfit Name
<Fashion1>风格：</>湖畔风格\r\n<Fashion1>名称：</><Fashion2>枯叶蝶</>\r\n<Fashion1>工艺：</>暗纹蛛丝乔其纱礼服裙\r\n<Fashion1>描述：</>关于服装的简单的一两句话左右的介绍	<Fashion1>Style:</> Lakeside Style\r\n<Fashion1>Name:</><Fashion2>Dead Leaf Butterfly</>\r\n<Fashion1>Craft:</> Dark Pattern Spider Silk Georgette Gown\r\n<Fashion1>Description:</> A simple one or two-sentence introduction about the clothing
快速连击按钮抗住攻击	Quick Combo button to withstand the Attack
暂无道具	No items yet
上次那个论题，你还有什么新想法？	Any new thoughts on that topic from last time?
喊话内容喊话内容喊话内容	Shout content shout content shout content
拖拽至右侧轮盘装配	Drag to the right wheel to equip
输入查询得材质名称（大小写不敏感）	Enter query to get material name (case-insensitive)
好像作弊了，希望他没看到。	Seems like I cheated, hope he didn't see.
对比该角色所有羁绊加成	Compare all bond bonuses for this character
不……我不会亲手终结你两次！	No... I won't end you with my own hands twice!
保留最近购买和出售的20条记录	Keep the last 20 purchase and sale records
克莱恩，你占卜下里面是否有危险。	Klein, divine if there is danger inside.
兑换操作	Exchange Operation
不......我的意思是这株爬山虎很美。	No... I mean this creeper is beautiful.
你开始触摸到战斗的真谛了，继续前进。	You're starting to touch upon the true essence of combat; keep moving forward.
响应进度<Yellow>(0/0)</>	Response progress <Yellow>(0/0)</>
时装名称	Outfit Name
条件文本条，<Highlight>件文本条件文本</>条件文本条件文本条文	Condition text bar, <Highlight>dition text condition text</> condition text condition text bar text
汇率（金榜/苏勒）	Exchange Rate (Gold Pound/soli)
未搜索到俱乐部	No Club found
特色	Feature
需要密码：	Password required:
<FuseOrange><愚者愚者></><FuseYellow><愚者愚者><愚者愚者></>	<FuseOrange><The Fool The Fool></><FuseYellow><The Fool The Fool><The Fool The Fool></>
图片审核中...	Image under review...
妹妹加我不要犹豫	Little sister, add me, don't hesitate.
普通普通	Normal Normal
碧	Bi
10毫升	10 milliliters
没事，你嘲讽他，他凑低战，还敢挑三拣四	It's fine, you Taunt him, he's low-combat, yet he dares to be picky.
玩法介绍玩法介绍玩法介绍玩法介绍玩法介绍玩法介绍玩法介绍玩法介绍玩法介绍玩法介绍玩法介绍玩法介绍玩法介绍玩法介绍玩法介绍玩法介绍玩法介绍玩法介绍	Gameplay Introduction Gameplay Introduction Gameplay Introduction Gameplay Introduction Gameplay Introduction Gameplay Introduction Gameplay Introduction Gameplay Introduction Gameplay Introduction Gameplay Introduction Gameplay Introduction Gameplay Introduction Gameplay Introduction Gameplay Introduction Gameplay Introduction Gameplay Introduction Gameplay Introduction Gameplay Introduction
贫民区的环境真糟糕。	The environment in the slums is truly terrible.
金纺线挑战礼包	Gold Thread Challenge Gift Pack
人物名称	Character Name
已选：1人	Selected: 1 person
总计收益	Total Earnings
舞者仅支持双人共舞	Dancer only supports duo dance
要休战吗？	Shall we call a truce?
赤伶丶	Red Singer
这里的灵性痕迹十分混杂，试着再占卜一次吧。	The traces of spirituality here are very mixed; try to perform divination one more time.
凯普-2	Cape-2
图标名称名称	Icon Name Name
来源名称五个字	Source Name Five
剩余时间<Date>29天11小时</>	Remaining Time<Date>29 Days 11 Hours</>
暗影会长太区了，被我法四了，有没有10万评大佬来我们俱乐部当会长	The Shadow Club president is too trash, I've already 'law-killed' them. Any 100k-rating big shots want to be our club president?
焦急的青年	Anxious young man
群聊名称群	Group Chat Name Group
伊然-3	Yi Ran-3
完全恢复:	Full Recovery:
谁家孩子，吵死了！	Whose child is that? So noisy!
选中教团后匹配默认信仰及属性	After selecting a sect, the default faith and attributes will be matched
队伍成员	Team Members
说明文本说明文本说明文本说明文本说明文本说明文本说明文本	Description text description text description text description text description text description text description text
贝克兰贝1111	Backlund 1111
道具名称七个字	Seven-character item name
<P_Heart>（这里也有“堕落母神”的信众……）</>	<P_Heart>(There are followers of the "Mother Goddess of Depravity" here too...)</>
希望登上月亮后能找到答案吧。	Hope to find the answer after landing on the moon.
全部抗性	Total Resistance
参赛棋子 16/32	Participating Pieces 16/32
噢，没错，这是一句特殊的暗号。	Oh, that's right, this is a special code.
完成进度：0/0	Completion progress: 0/0
伊然-2	Yi Ran-2
高原竞逐	Highland Competition
看不懂有的 大致是说我们需要四个骑士吗	Don't understand some of it, does it roughly mean we need four knights?
职业名	Career Name
金狼就在那里举行集会。	The Golden Wolf is holding a gathering there.
2025年7月30日	2025/07/30
来打我呀！ 	Come and hit me!
歌曲名字歌曲名字	Song Name Song Name
登记后，需要<Brown>4名</>成员响应加入公会后生效	After registration, <Brown>4</> members must respond to join the guild for it to take effect
这起案件还有疑点，或许该问问最熟悉这些人的男爵夫人。	There are still doubts about this case; perhaps I should ask the Baroness who is most familiar with these people.
可获得30个<Highlight>金纺线</>、15个<Highlight>齿轮火漆·竞技</>	Can obtain 30 <Highlight> Gold Thread </>, 15 <Highlight> Gear Sealing Wax - Competition </>
当前评分	Current rating
收集所有魔药材料	Collect all potion ingredients
12时05分56秒	12 hours 05 minutes 56 seconds
伊然-1	Yi Ran-1
倾听風诉说	Listening to the wind's complaint
因为当时第1把我没带手杖	Because I didn't bring my cane in the first round.
红色的部位……是它们的帽子！	The red part... is their hat!
来来来	Come, come, come.
概率获得神赐时装， 坐骑	Chance to obtain God-given fashion, mount
滚开！滚开！	Get out! Get out!
赛季时间：	Season Duration:
你抱了没啊？真的	Did you hug or not? Seriously
凯普-1	Cape-1
文案<LuxuryPartyName>玩家名称</>文案文案	Copy <LuxuryPartyName>Player Name</> Copy Copy
距晋级 666分	666 points until promotion
那我看热闹去了	Then I'm going to go watch the show.
占卜一次	Perform one divination
我得下周才能做出来	I won't be able to make it until next week.
柯尼斯	Konis
自动截屏	Auto-Screenshot
fvv缘起接着宣战不敢打。太招了	fvv Yuan Qi keeps declaring war but doesn't dare to fight. Too flashy.
胜负规则	Win/Loss Rules
还剩10小时	10 hours remaining
蕾妮特缇尼科尔	Reinette Tinekerr
角色名称七个字	Character Name Seven Characters
重录	Re-record
当前任务：<HighLight>(6/10)</>当前任务：<HighLight>(6/10)</>当前任务：<HighLight>(6/10)</>	Current Quest: <HighLight>(6/10)</> Current Quest: <HighLight>(6/10)</> Current Quest: <HighLight>(6/10)</>
持有：0	Owned: 0
森林呼唤着月亮，三色堇依偎着女贞花；夏夜的幻梦仍未消散，但仙境已经无法关住灿烂的灵魂。	The forest calls to the moon, pansies nestle against privet flowers; the illusions of a summer night have not yet dissipated, but fairyland can no longer contain a brilliant soul.
玩法积分：123663	Gameplay Points: 123663
初级装备箱	Basic Equipment Box
应用中	Applying
寄语寄语寄语寄语	Message message message message
完成内容配置10/11内容配置内容配置	Task configuration complete 10/11 content configuration content configuration
要不是因为这里足够热闹，能让我暂时忘记战争里恐怖的画面……	If it weren't for this place being lively enough to make me temporarily forget the horrific scenes of the war...
认真点！“蒲公英”先生肩负重要任务。	Take this seriously! Mr. Dandelion is shouldering an important quest.
试着借助歌声找到正确的路……	Trying to find the right path with the help of the singing...
谢谢，我要找保罗先生。	Thank you, I am looking for Mr. Paul.
<P_Heart>（对方应该是非凡者，第六感告诉我……危险！）</>	<P_Heart>(The other party must be a Beyonder, my sixth sense tells me... danger!)</>
人物小传（一）	Character Biography (I)
解锁条件解锁条件解锁	Unlock Condition Unlock Condition Unlock
那今天，我们来讲一个小鸭子的故事……	Then today, let us tell a story about a little duck...
技能等级1	Skill Level 1
今日剩余共享开启次数：<Remaining>10/10次</>	Remaining shared opening attempts today: <Remaining>10/10 times</>
全是人机	All bots
又来了…… 	Here we go again...
子类	Subclass
已解锁13个	13 Unlocked
该任务难度较高且耗时较长，请合理规划好游戏时间。	This quest has a high difficulty and takes a long time; please plan your game time reasonably.
转动镜头，寻找星座	Rotate the camera to find the constellation
风尚值：00	Style Value: 00
公示期00小时00分钟	Publicity Period 00 hours 00 minutes
鼠标唤醒:	Mouse Wake-up:
克莱恩？你怎么又回来了？	Klein? Why are you back again?
再战宝箱·异化猎犬	Rematch Chest: Alienated Hound
玩法筛选：	Gameplay Filter:
等待对方回应中	Waiting for the other party's response
随机展示	Random Display
非诚勿扰相亲现场	If You Are The One Dating Room
五！	Five!
可滑动查看其他等阶	Slide to view other grades
在<HyperLink stylename="h">【附近】</>聊天栏中打字输入“<HyperLink stylename="h">风暴比烈酒更烈</>”	Type '<HyperLink stylename="h">The storm is fiercer than strong liquor</>' in the <HyperLink stylename="h">【Nearby】</> chat bar
播放列表	Playlist
真的	Really.
这里的牌都是有脾气的，它们可不想被你踩。	The cards here have tempers; they don't want to be stepped on by you.
7天后解锁	Unlocks in 7 days
仓库里面有危险，仓库里面有危险……	There is danger in the warehouse, there is danger in the warehouse...
基础不错，但真正的战斗才刚刚开始。	Good foundation, but the real battle has just begun.
标题标题	Title Title
目标：	Target:
那肯定你赢	You'll definitely win.
舞力值充能中	Dancing Power Charging
越来越近了……继续往西北方向走！	It's getting closer... Keep moving northwest!
刚刚收到内部消息，8:45服务器要维修，大家8点半就可以下线了。	Just received internal news, server maintenance at 8:45, everyone can log off at 8:30.
完成验证后30分钟内无需再次验证	No need to verify again within 30 minutes after verification
弹幕文字	Barrage Text
特殊天赋	Special Talent
这真是令人饥饿的话题啊……	That is a truly hunger-inducing topic...
BUFF名称(已激活）	BUFF Name (Activated)
每日8点自动刷新	Refreshes automatically at 8 AM daily.
保护我方<PVPBlue>玩家名字七个字</>	Protect our <PVPBlue>Player Name Seven Characters</>
汪！汪！汪汪！	Woof! Woof! Woof!
兑换可得:	Exchange to obtain:
快捷指令	Quick Commands
我听说盼之上挂的神眷牌已经快被雷禄自己给扫没了，上了他就秒，笑死	I heard the God-favored cards hanging on Panzhi are almost being swept away by Lei Lu himself; he puts them up and they're gone in a second, hilarious.
服务器选择	Server Selection
粘贴口令	Paste Code
剧本内累计获得10000/30000积分解锁	Unlock by accumulating 10000/30000 points within the script
天赋已激活	Talent Activated
玩家名字七个	Player name seven
评分：987	Rating: 987
<P_Heart>（惊喜）</>{{PlayerName}} ！我们有救了！	<P_Heart>(Surprised)</>{{PlayerName}}! We're saved!
活动名称七个字	Activity Name (7 characters)
传送中 0.5	Teleporting 0.5
我就是必吃榜	I am the must-eat list.
言语若无诚意支撑，不过是裹着糖衣的谎言。	Words without sincerity are nothing more than sugar-coated lies.
记住！每一次精准的斩击都在为你创造下一次进攻的契机。	Remember! Every precise slash is creating an opportunity for your next attack.
防御值：<HighLight>+20%</><Remaining>攻击</>	Defense Value: <HighLight>+20%</><Remaining>Attack</>
但罗塞尔大帝曾经登上月球，在那里受到了堕落母神的污染。所以“知识皇冠”，天然带有污染。	But Emperor Roselle once landed on the moon, where he was corrupted by the Mother Goddess of Depravity. Therefore, the 'Knowledge Emperor' crown naturally carries corruption.
天赋已已天赋已已天赋已已天赋已已天赋已已天赋已已天赋已已天赋已已	Talent Activated Talent Activated Talent Activated Talent Activated Talent Activated Talent Activated Talent Activated Talent Activated
请快速<Orange>选择</>合适的动作融入人群	Please quickly <Orange>choose</> an appropriate action to blend into the crowd.
马马虎虎	So-so
总负重：<Yellow>1200</>/20000	Total Weight: <Yellow>1200</>/20000
瞬间恢复<Highlight>800</>点生命,增强耐药性10%瞬间恢复<Highlight>800</>点生命值瞬间恢复<Highlight>800</>点生命,增强耐药性10%瞬间恢复<Highlight>800</>点生命值	Instantly restore <Highlight>800</> Health, increase drug resistance by 10%. Instantly restore <Highlight>800</> Health. Instantly restore <Highlight>800</> Health, increase drug resistance by 10%. Instantly restore <Highlight>800</> Health.
你的长相如同璀璨星辰，照亮夜空	Your appearance is like a brilliant star, illuminating the night sky
当前排队：	Current Queue:
我看出了你的疑惑，呵呵。蒙提霍尔悖论源自罗塞尔，一种在欲望中博弈，非常令人着迷的赌局。	I see your confusion, hehe. The Monty Hall paradox originates from Roselle; it's a very fascinating gamble played within desire.
格挡666	Block 666
点击查看详情	Click to view details
铸造神话品质胸针<Highlight>（冒险倾向）</>的关键材料。\n\n铸造需消耗<Highlight>15</>个灰雾尘埃，得到64装等<Highlight>冒险倾向</>神话品质胸针。\n随赛季进程，将开放冒险倾向神话胸针的装等提升，提升时消耗一定数量的<Highlight>灰雾尘埃</>。\n\n每周可通过队伍副本、团队副本、世界冒险秘宝<Highlight>直接获取</>至多<Highlight>3</>个灰雾尘埃。未获取个数可累计至下周，至多累计至<Highlight>15</>个。	A key material for forging a Mythical quality brooch<Highlight> (Adventure Affinity)</>.\n\nForging requires 15<Highlight></> units of gray fog dust to obtain a 64 Gear Level<Highlight> Adventure Affinity</> Mythical quality brooch.\nAs the season progresses, Gear Level Increase for Adventure Affinity Mythical brooches will be unlocked, which will consume a certain amount of gray fog dust<Highlight></> upon use.\n\nYou can directly obtain<Highlight> up to</> 3<Highlight></> units of gray fog dust each week through party dungeons, raid dungeons, and world adventure treasures. Unobtained amounts can be carried over to the following week, up to a maximum of 15<Highlight></> units.
卡提汐娅	Katixia.
我带个假灯	I'm carrying a fake lamp.
玛卡巴卡丶	Makka Pakka.
非物质人我换个皇冠	I'll change to a crown for the non-material person.
（金榜）	(Gold List)
一页纸的最大容纳字数为30字能写1-2句话即可	The maximum capacity for a page is 30 characters; 1-2 sentences are sufficient.
值夜者巡	Nighthawk Patrol
再次挑战异化猎犬的奖赏，可获得对应的装备、非凡物质、秘偶碎片奖励。	Rewards for challenging Alienated Hound again; you can obtain corresponding Equipment, Beyonder material, and marionette fragment rewards.
和平	Peace
失控值	Loss of Control Value
剩余<Yellow>00</>	Remaining <Yellow>00</>
当前已选择 <Yellow>7</>/140	Currently selected <Yellow>7</>/140
我走位其实也不大	My positioning isn't actually that great.
装备选择：<Time>30秒</>	Equipment Selection: <Time>30 Seconds</>
贡献值：959463	Contribution: 959463
好奇怪的地方，前面似乎有什么在吸引我	Strange place, something ahead seems to be attracting me
好好珍惜吧！这份大奖，可来之不易哦~	Cherish it! This grand prize didn't come easily~
差<GapHighlight>6000分</>可达到<GapHighlight>站点新贵</>	<GapHighlight>6000 points</> away from <GapHighlight>Station Upstart</>
这个方向，我比较熟悉。	I am quite familiar with this direction.
（本局剩余2次）	(2 uses remaining this match)
(4站内)	(4 in station)
这么多人都消散了？他们……真的没救了吗？	So many people have dissipated? Are they... really beyond saving?
对不起，我不会说中文	Sorry, I don't speak Chinese.
对战详情	Battle details
笑得好难受	Laughing so uncomfortably.
<Name>原文发布玩家</>：	<Name>Original poster</>:
额...不至于不至于	Uh... no need for that, no need for that.
玩家名称玩家名称	Player Name Player Name
