CN	EN
Like {\"愚者\",\"世界\"}, can match \"Fool and World\", but cannot match \"World and Fool\"	Like {\"The Fool\",\"World\"}, this can match \"Fool and World\", but cannot match \"World and Fool\"
Obtain 1 Extraordinary Material with a <荒芜主母> affix	Obtain 1 Extraordinary Material with a <Matriarch of Desolation> affix
Wait, {{先生|女士}}.	Wait, {{sir|madam}}.
Yes, thank you, kind {{先生|女士}}.	Yes, thank you, kind {{sir|madam}}.
san值是什么	What is SAN value
t荡秋千	Swinging
“不属于这个时代的愚者”	The Fool that doesn't belong to this era
“钻头”	Drill
”正义“女士	Ms. “Justice”
……啊？	...Huh?
……怎么回事？	...What's going on?
……没有。	...No.
《俱乐部图册》	Club Atlas
《公爵大人爱上我》	The Duke Fell in Love with Me
《忏悔录》	Confessions
《暴风山庄》	Storm Manor
《格雷的笔记》	Gray's Notes
【Rougue】空间斩Ⅰ	[Roguelike] Space Slash I
【Rougue】空间斩Ⅱ	[Roguelike] Space Slash II
【Rougue】空间斩Ⅲ	[Roguelike] Space Slash III
【缺少追逐关卡，临时占位】	[Missing chase level, temporary placeholder]
一切的起始	The Beginning of Everything
一只烟斗	Pipe
一场谋害	A murder
一定要小心啊	Be careful.
一尘	Yi Chen
一张便签	Note
一把左轮手枪	A revolver
一晨	Yi Chen
一组	Group 1
一铭	Yiming
一阶	Tier 1
三望	Three Kingdoms
上传装扮站	Upload to Dressing Station
上海市	Shanghai
上装	Top
上载具	Board Vehicle
下一级	Next Level
下午好，倒吊人先生。	Good afternoon, Mr. Hanged Man.
下午好，愚者先生。	Good afternoon, Mr. Fool.
下摆内侧	Inner Hem
下次再来吧	Come back next time
下次吧	Next time
下落	Fall
下马	Dismount
不了不了	No, no
不叫	Pass
不好。	No.
不属于这个时代的愚者……	The Fool that doesn't belong to this era...
不愧是水手途径啊	As expected of the Sailor Pathway
不是	No
不是。	No.
不用担心 说起来 这是我们的新人？挺帅气的嘛	Don't worry. Speaking of which, is this our newcomer? He's quite handsome.
不用，谢谢	No, thanks
不能。	No.
不要	No
不错，很有品位。	Not bad, very tasteful.
不限次	Unlimited
不！	No!
与<h>卡萝</>对话	Talk to <h>Carol</>
与<h>斯林太太</>对话	Talk to <h>Mrs. Slin</>
与<h>男子</>对话	Talk to the <h>man</>
与<h>罗珊</>谈谈	Talk to <h>Rozanne</>
与Npc进行对话	Talk to NPC
与Npc进行闲话	Chat with NPC
与丽贝卡对话	Talk to Rebecca.
与崔佛对话	Talk to Trevor
与西迦对话	Talk to Xiga
世界	World
世界boss	World Boss
世界的本色是无序，何不随心所欲？	The true nature of the world is disorder, why not do as one pleases?
世界的本色是秩序，回归原状是必然。	The true nature of the world is order, returning to the original state is inevitable.
世界首领	World Boss
东侧	East Side
丢弃	Discard
丧尸	Zombie
中心	Center
中枢	Center
中等	Medium
为什么……为什么祂的灌输越来越频繁了？	Why... why is His indoctrination becoming more and more frequent?
为什么呢？	Why?
为琳达加油鼓劲	Cheer for Linda
为琳达呐喊	Cheer for Linda
主线任务	Main Quest
丽贝卡·	Rebecca 
举办者	Host
乌鸦	Crow
乔治娅·	Georgia 
乖孩子。	Good child.
习惯就好	You'll get used to it.
书们	Books
书摊摊贩	Book Stall Vendor
书本	Book
买入	Buy
买家一号	Buyer No. 1
买家三号	Buyer No. 3
买报	Buy a newspaper
二阶	Tier 2
于	Yu
云朵	Cloud
亚When	Adam
亚当	Adam
亦君	Yijun
亦茹	Yiru
亦诗	Yishi
亦轩	Yixuan
亦骏	Yijun
亨特	Hunter
亲近	Close
人像	Portrait
人物	Character
人脉好感度	Connection Favorability
什么	What?
什么人？	Who is it?
什么宝贝？	What treasure?
仇人	Enemy
今日	Today
今晚，你就不用进屋里吃饭和睡觉了。你就待在这儿，用手，把院子里的杂草一颗颗都拔干净了！	Tonight, you don't need to come inside to eat or sleep. You will stay right here and use your hands to pull out every single weed in the yard!
仔细分辨着声音	Carefully distinguish the sound
仔细思考	Think carefully
仔细检查	Examine carefully
他出生的时候，我就在这里。他第一次骑马，第一次打猎......我全都记得。	I was here when he was born. His first time riding a horse, his first time hunting... I remember it all.
他已经变成怪物了	He has already become a monster
他是？	Who is he?
付款	Pay
任务完成	Quest completed
任务用位面入口	Quest Plane Entrance
任务自定义事件  	Quest custom event
任务自定义事件  NPC销毁自身（无法销毁玩家和大世界的公有NPC）  NPC销毁自身（无法销毁玩家和大世界的公有NPC）  NPC销毁自身（无法销毁玩家和大世界的公有NPC）  NPC销毁自身（无法销毁玩家和大世界的公有NPC）  	Quest custom event. NPC destroys itself (cannot destroy players or public NPCs in the open world).
任务获取	Quest Reward
任务触发	Quest Trigger
任意竞技段位达到男爵	Reach Baron rank in any competition
伊凡	Ivan
伊塔恩	Ethan
伊桑	Ethan
伊瑞恩	Irene
伊芙琳·	Evelyn 
伊莉斯·	Elise 
伊莉莎·	Elisa 
伊莉莎白·	Elizabeth 
伊莎贝拉·	Isabella 
伊莲恩·	Elaine 
伊西多尔	Isidore
伊迪丝	Edith
伊迪丝·	Edith 
伊迪斯	Edith
休·迪尔查	Xio Derecha
休息一会，我就休息一会……	Rest for a while, I'll just rest for a while...
优雅的	Elegant
伟大的“愚者”先生，也曾在这里生活。	The great Mr. \"Fool\" also lived here once.
传说	Legendary
传送	Teleport
传送廷根	Teleport to Tingen
传送廷根湖	Teleport to Tingen Lake
传送点	Teleport point
伤害提升30%。	Damage increased by 30%.
伯爵归来	The Count Returns
伸手	Reach out
但他没有害怕尖叫、他愿意跟我说话……	But he didn't scream in fear, he was willing to talk to me...
但是……	But...
但那样的结局 会是你们想要的吗……	But would that be the ending you wanted...
住手！	Stop!
佐治	George
佛尔思·沃尔	Fors Wall
作者	Author
你们在做什么？	What are you doing?
你们在干什么？	What are you doing?
你们在说谁？	Who are you talking about?
你们在这里做什么？	What are you doing here?
你们是在？	What are you doing?
你们是谁？	Who are you?
你们谁愿意指引{{他|她}}？	Who among you is willing to guide {{him|her}}?
你冲刺时穿过的敌人会受到伤害和减速。	Enemies you pass through while sprinting will take damage and be slowed.
你在做什么？	What are you doing?
你在写什么	What are you writing?
你在干嘛	What are you doing?
你在看什么呢？	What are you looking at?
你在说啥？	What are you talking about?
你在这里做什么？	What are you doing here?
你在这里干什么？	What are you doing here?
你好	Hello.
你好，请问有什么需要帮助的吗？	Hello, is there anything I can help you with?
你完全不工作吗	Do you not work at all?
你怎么啦？	What's wrong with you?
你或许需要一些时间休息，剩下的事由丽贝卡处理。	You might need some time to rest; Rebecca will handle the rest.
你是谁？	Who are you?
你是遇到什么烦心事了吗	Did you encounter any troubles?
你没事吧？	Are you okay?
你看起来不太开心。	You don't look very happy.
你觉得怎么样？	What do you think?
佩奇	Page
佩特	Pete
使用“显形墨水”	Use \"Revealing Ink\"
使用道具	Use Item
侍卫	Guard
侍者	Attendant
依	Yi
依墨	Yimo
依思	Yisi
依托	A pile of...
依托星灵体与灵界、星空的隐秘联系，以水晶、宝石或特殊金属制成的灵摆为媒介，感知目标事物的吉凶与趋势。\n灵摆转动方向与速度对应不同指引强度：\n▸顺时针快速摆动为强烈肯定 / 顺遂倾向\n▸顺时针慢速摆动为微弱肯定 / 平缓趋势\n▸逆时针快速摆动为强烈否定 / 阻滞风险\n▸逆时针慢速摆动为微弱否定 / 潜在阻碍\n▸静止则代表无明确启示或存在干扰	Relying on the secret connection between the astral body, the Spirit World, and the starry sky, use a pendulum made of crystal, gemstone, or special metal as a medium to perceive the fortune and trends of a target. \n The direction and speed of the pendulum's rotation correspond to different levels of guidance: \n ▸ Rapid clockwise swing: Strong affirmation / Favorable trend \n ▸ Slow clockwise swing: Weak affirmation / Gentle trend \n ▸ Rapid counter-clockwise swing: Strong negation / Stagnation risk \n ▸ Slow counter-clockwise swing: Weak negation / Potential obstacle \n ▸ Stationary: No clear revelation or interference present
依星	Yixing
依晨	Yichen
依晴	Yiqing
依欣	Yixin
依琪	Yiqi
依琳	Irene
依瑶	Yiyao
依璇	Yixuan
依知	Yizhi
依萱	Yixuan
依薇	Yiwei
依诗	Yishi
依诺	Yinuo
依雪	Yixue
便笺	Note
便签	Note
俊秀	Handsome
俊秀的	Elegant
俊美的	Beautiful
保	Guard
保存退出	Save and Exit
修复	Repair
俱乐部	Club
俱乐部1v1约战	Club 1v1 Duel
俱乐部乱斗是什么	What is Club Brawl
俱乐部低活跃警告	Club Low Activity Warning
俱乐部信息修改	Modify Club Information
俱乐部名称	Club Name
俱乐部宣战插旗	Club War Declaration
俱乐部排行	Club Ranking
俱乐部探索	Club Exploration
俱乐部阵营	Club Faction
倒吊人	The Hanged Man
倚	Yi
倚墨	Yimo
倚晴	Yiqing
值夜者队长	Nighthawk Captain
倾斜度	Tilt
偏移量	Offset
停止	Stop
健康护符	Health Amulet
偷听一下	Eavesdrop
僵尸	Zombie
先不管了	Never mind
先回去休息吧，你需要好好睡一觉。	Go back and rest first; you need a good sleep.
光明	Light
光芒印记	Mark of Light
克罗伊	Chloe
克莱恩·莫雷蒂	Klein Moretti
克莱恩莫雷蒂	Klein Moretti
克莱拉	Clara
克莱门汀·	Clementine 
克里夫	Cliff
克里斯	Chris
免伤	Damage Reduction
免疫伤害	Damage Immunity
兑换	Exchange
入口处	Entrance
全城热演“碰碰车”大赛	City-wide \"Bumper Car\" Competition
全城热演碰车大赛	City-wide Bumper Car Competition
全部	All
全部领取	Claim All
公告牌	Bulletin Board
公证员	Notary
六鸽子	Six Pigeons
关于“正义”小姐	About Miss Justice
关于值夜者	About the Nighthawks
关于您	About you
关卡1	Level 1
关卡2	Level 2
关卡3	Level 3
关闭	Close
关闭2D玩法  	Close 2D gameplay
其它	Other
典雅的	Elegant
内莉·	Nelly 
内部资料-再次和报刊亭对话	Internal Information - Talk to the Newsstand Again
再会。	Goodbye.
再加入2茶匙薄荷糖。嗯，独特的搭配。	Add 2 teaspoons of mint candy. Hmm, a unique combination.
再试试	Try again
再问问其他的	Ask about other things
写生本	Sketchbook
冤魂	Wraith
冷酷	Cold
冷静一下	Calm down
净化	Purification
准备完毕	Ready
凉	Cold
减伤	Damage Reduction
凑热闹	Join the fun
凑近一点	Move closer
几天后	A few days later.
凯撒大帝	Caesar the Great
凯里·	Kaili 
凹陷	Depression
出什么事了？	What happened?
出发吧！	Let's go!
出发！	Let's go!
出口门	Exit door
出拳	Punch
出示警官证	Show police badge
出示警察证	Show police badge
击溃	Defeat
击败	Defeat
击败/消散比	Kill/Death Ratio
击败人数	Kills
击败数	Kills
分组	Group
分组重名	Group name already exists.
切换目标	Switch Target
划亮	Strike
刚才……怎么了？	Just now... what happened?
创建	Create
创建战队	Create Team
初晓	Dawn
删除群组	Delete Group
利兹	Liz
别担心	Don't worry
刷新售价	Refresh Price
前往<h>黑荆棘安保公司</>	Head to <h>Blackthorn Security Company</>
前往巷口	Go to the alley entrance
前往评价	Go to Rate
前摆垂片	Front Drape
剑手	Jian San
剩余	Remaining
剩余 %s 	Remaining %s
剩余%s	Remaining %s
割	Harvest
力量牌	Strength
功能未开放	Feature not yet available.
加伤	Damage Increase
加入战队	Join Team
加入社团	Join Club
加入话题	Join the conversation
加好友	Add Friend
加油！	Go for it!
加百列	Gabriel
劣质	Inferior
动一下	Move
助威	Cheer
助战	Support
助理	Assistant
努力的	Diligent
勇者	Brave
勿扰	Do Not Disturb
北京市	Beijing
医生	Doctor
十二人本城堡怎么打	How to clear the 12-player Castle dungeon
十二人本花园怎么打	How do I clear the 12-player Garden dungeon?
卓骏	Zhuojun
卖出	Sell
卖报，卖报，《廷根市老实人报》！	Extra, extra! Read all about it in the Tingen Honest Man!
卖掉。买家我已经找好了，韦尔奇。	Sell it. I've already found a buyer, Welch.
卖花的少女	Flower Girl
博艺	Boyi
博语	Boyu
博诺瓦	Bernadette
博雨	Boyu
占位	Placeholder
占位用	Placeholder
占卜的结果	Divination Result
占坑	Placeholder
卡伦	Karen
卡朋特	Carpenter
卡梅隆·	Cameron 
卡欧斯	Chaos
卡罗	Kalo
卡罗琳	Caroline
卡罗琳·	Caroline 
卡萝	Carol
卡西	Cassie
卫	Guard
危险级	Danger Level
卷首语	Preface
卸下装备	Unequip
历届排行榜	Past Rankings
原来是这样……	So that's how it is...
原著 · 我相信你做的到	Original Work · I Believe You Can Do It
去<h>偏僻处</>	Go to a <h>secluded place</>
去前面看看	Go Ahead and Look
去廷根	Go to Tingen
去找<h>中央广场</>吧	Go to <h>Central Plaza</>
去染色	Go to Dye
去睡莲小镇	Go to Water Lily Town
去设置	Go to Settings
去贝克兰德	Go to Backlund
去金秋湖	Go to Golden Autumn Lake
去黑荆棘	Go to Blackthorn
参与	Participate
参战	Deploy
参演	Participate
参赛场次	Participation Count
友善的	Friendly
双	Double
发	Hair
发放任务道具	Distribute quest items
发生了什么事？	What happened?
发生了什么？	What happened?
发生什么了？	What happened?
发生什么事了	What happened?
发生什么事？	What happened?
发送消息	Send Message
发送消息“赞美愚者”	Send message \"Praise the Fool\"
取消拉黑	Cancel Block
取爱国卫生运动	Patriotic Health Campaign
受	Receive
受伤减免	Damage Reduction
受伤加重	Damage Increased
受到来自施加者的伤害提高	Damage taken from the caster is increased.
受阻	Blocked
变身id	Transform ID.
只有在这儿，我才不会被赶出来。	Only here will I not be kicked out.
召唤物	Summon
召唤随从	Summon Minion
可对应提升其他建筑的等级到达5级可对应提升其他建筑的等级可对应提升其他建筑的等级	Can be used to upgrade other buildings to level 5.
可接	Acceptable
可收获	Harvestable
可爱的	Adorable
可置换	Replaceable
可获得	Obtainable
可馨	Kexin
史密斯夫人	Mrs. Smith
右shift	Right Shift
叶片	Leaf
叶琳娜	Elena
合伙人	Partner
合理	Reasonable
合理的	Reasonable
吊坠	Pendant
同	Same
同<h>男子</>交谈	Talk to the <h>man</>
同仇反击	Counterattack
同意	Agree
同行	Company
名字不能为空。	Name cannot be empty.
名称	Name
后来呢？	And then?
向年轻人搭话	Talk to the young man
否	No
含	Han
含墨	Hanmo
含宇	Hanyu
含语	Hanyu
听	Listen
听不懂，听不懂。	Don't understand, don't understand.
听听	Listen
听听他们在说什么	Listen to what they are saying
吱吱。	Squeak.
吸血鬼的爱恋	Vampire's Love
呃，头好痛……	Ugh, my head hurts...
告示板	Bulletin Board
告解	Confession
呜呜……呜……	Wuu... wuu...
周俊余—吟游诗人	Zhou Junyu - Bard
命运之轮牌	Wheel of Fortune
命运轮盘	Wheel of Fortune
和<h>丽埃娜</>交谈	Talk to <h>Liana</>
和<h>丽埃娜</>谈谈	Talk to <h>Liana</>
和<h>伦纳德</>对话	Converse with <h>Leonard</>
和<h>伦纳德</>谈谈	Talk to <h>Leonard</>
和<h>凯文</>交谈	Talk to <h> Kevin </>
和<h>卡萝</>交谈	Talk to <h>Carol</>
和<h>安洁莉卡</>谈谈	Talk to <h>Angelica</>
和<h>弗莱</>谈谈	Talk to <h>Frye</>
和<h>施佩尔</>对话	Talk to <h>Spear</>
和<h>罗珊</>对话	Talk to <h>Rozanne</>
和<h>老尼尔</>交谈	Talk to <h>Old Neil</>
和<h>贝利夫</>交谈	Converse with <h>Bailiff</>
和<h>邓恩</>对话	Talk to <h>Dunn</>
和<h>雪莉</>交谈	Talk to <h>Shirley</>
和NPC对话	Talk to NPC.
和丽埃娜交谈	Talk to Liana.
和丽埃娜谈谈	Talk to Liana.
和伦纳德对话	Talk to Leonard
和卡萝交谈	Talk to Carol
和崔佛对话	Talk to Trevor
和崔佛碰头	Meet up with Trevor
和弗莱谈谈	Talk to Frye
和瓦莱莉对话	Talk to Valerie
和菲尔对话	Talk to Phil
咕！	Coo!
咖啡碟子	Coffee saucer
咖啡馆	Cafe
咦？	Huh?
咳咳.....	Ahem...
咳！	Ahem!
哇！吓我一跳 弗莱 你在这里做什么？	Wow! You scared me. Frye, what are you doing here?
哈哈——看看你这幅可怜的模样，真是滑稽。	Haha—look at your pathetic state, it's truly comical.
哈哈哈，我才不会面对你这个天使级别的怪物，我要带走{{他|她}}。	Hahaha, I wouldn't dare face a monster of your Angel level, but I am taking {{him|her}} with me.
哈德罗。	Harold.
哈德逊	Hudson
哈瑞	Harry
哈维	Harvey
哈莉特	Harriet
哈迪	Hardy
哈里	Harry
哈里森	Harrison
哎呀，看来这一幕少了一位角色呢。	Oh my, it seems this scene is missing a character.
唔……	Hmm...
唤醒	Awaken
商店	Shop
善良的	Kind
喊话	Shout
喜欢	Like
喝一杯	Have a drink
喝彩	Cheer
喝药水	Drink Potion
喝酒	Drink
喵	Meow.
喵——	Meow—
喵呜~	Meow~
喵呜……	Meow...
喵呼噜噜……	Meow purr...
喵喵喵！	Meow meow meow!
喵嗷……	Meow...
喵嗷！	Meow!
嗅	Sniff
嗷	Awoo
嘘……你小点声。	Shh... keep your voice down.
噢？	Oh?
噩梦	Nightmare
噬咬	Bite
嚎叫	Howl
四处张望	Look around
四处打量	Look around
四处观察	Look Around
四处转转	Look around
回到<h>黑荆棘</>	Return to <h>Blackthorn Security Company</>
回合4	Round 4
回复%s：%s	Reply to %s: %s
回复：%s	Reply: %s
回大学看看	Return to the university to take a look
回学院	Return to Academy
回形持续AOE	Square-shaped Continuous AOE
回想	Recall
回想贝尔纳黛	Recall Bernadette
因蒂斯国	Intis Republic
因蒂斯浓汤	Intis Soup
团	Group
团体	Group
围观1	Onlooker 1
围观2	Onlooker 2
国家	Country
图书馆员	Librarian
圆桌擦桌子女仆	Maid wiping the round table
圆环	Circle
圈	Circle
圣光护体	Holy Light Protection
圣光治疗	Holy Light Healing
圣焰焚净降低敌方5%的攻击和防御，可叠加最多10层。此能力会将技能圣光净化替换为圣焰焚净。	Holy Flame Cleansing reduces the enemy's Attack and Defense by 5%, stacking up to 10 times. This ability replaces the skill Holy Light Purification with Holy Flame Cleansing.
在	At
在叫我吗？	Are you calling me?
在干什么	What are you doing
在念什么？	What are you reciting?
在竞技玩法中<Highlight>击杀</>%s/%s名祈光人	In competitive mode, <Highlight>kill </> %s/%s Sun Priests
在竞技玩法中<Highlight>击杀</>%s/%s名魔术师	In competitive mode, <Highlight>kill </> %s/%s Magicians
在讨论什么？	What are you discussing?
地下市场	Underground Market
地域	Region
坍塌	Collapse
坎迪丝	Candice
坐到观众席	Sit in the audience
坐骑	Mount
块	Block
坠	Drop
埃德蒙德	Edmund
埃文斯	Evans
埃泽奎尔·	Ezekiel 
埃琳娜·	Elena 
埃莉安娜·	Eliana 
埃莱娜	Elena
埃莱娜·	Elena 
埋伏	Ambush
埋伏起来	Ambush
城堡功能未解锁  	Castle feature not unlocked.
基斯	Keith
塔罗会纹章	Tarot Club Emblem
塔罗牌	Tarot Card
塞特	Seth
塞莱娜·	Selena 
塞西莉娅·	Cecilia 
填了修改，不填就是不修改。	Filled to modify; if left blank, no modification is made.
墙体	Wall
墙壁	Wall
处理中	Processing
备战阶段	Preparation Phase
备注	Note
复仇	Revenge
复活点3	Resurrection Point 3
复活点6	Spawn Point 6
夏娃	Eve
夏尔	Charles
夏普	Sharp
夏洛特	Charlotte
夏洛特·	Charlotte 
夏洛蒂	Charlotte
夕	Dusk
外层薄纱	Outer Tulle
多少钱？	How much?
多少？	How much?
多瑞思	Doris
多米尼克	Dominic
多萝西	Dorothy
夜	Night
大便	Shit
大副	First mate
大叔	Uncle
大地图	World Map
大地震荡	Earthquake
大家在做什么？	What is everyone doing?
大家生日快乐！我以国王的身份承诺 我们的王国会永远像今天一样 	Happy birthday, everyone! I promise as your King that our kingdom will always be like today.
大家都站好 该拍照了！	Everyone stand still, it's time for a photo!
大神	God
大衣	Coat
天启	Apocalypse
天津市	Tianjin
天涯明月刀	Moonlight Blade
夫人	Madam
失控的刺客	Out-of-Control Assassin
头痛	Headache
头衔	Rank
头顶长红色斑点蘑菇	Red spotted mushroom growing on head
奇安	Qian
奇怪，照片里的地方好像都变了样儿……	Strange, the places in the photos all seem to have changed...
奕	Yi
奕君	Yijun
奕彤	Yitong
奕思	Yi Si
奕晨	Yi Chen
奕晴	Yi Qing
奕知	Yi Zhi
奕辰	Yi Chen
奕骏	Yi Jun
套	Disguise
奥	Ao
奥宇	Aoyu
奥莉维娅	Olivia
奥菲莉娅·	Ophelia 
奥黛丽·霍尔	Audrey Hall
奥黛丽的下午茶	Audrey's Afternoon Tea
女仆	Maid
女子	Woman
女摊主	Female Stall Owner
女服务生	Waitress
女生	Female
女神的凝望	Goddess's Gaze
女郎	Lady
女顾客	Female Customer
她半年前患上了急性血液病，因为没有足够的费用治疗，不就后就去世了。	She suffered from acute leukemia six months ago, and because there wasn't enough money for treatment, she passed away shortly after.
她是？	Who is she?
好。	Okay.
好了 你想先看哪张牌	Alright, which card do you want to see first?
好友添加	Add Friend
好吧	Alright
好喔。	Alright.
好奇的孩子	Curious Child
好状态挺精神的我呀。	My mental state is quite good.
好的	Okay
好的……	Okay...
好看好看	So good-looking
好累……	So tired...
好运	Good luck
好，那我们就开始.....	Alright, then let's begin...
如实告知	Tell the truth
如果 如果我在历史迷雾中能做些什么的话 是不是能改变你们的结局呢	If, if I could do something in the fog of history, could I change your ending?
妈	Mother
姓名	Name
委托者	Client
威尔	Will
威尔逊	Wilson
婉约的	Graceful
嫣	Yan
嫣语	Yanyu
子	Zi
子皓	Zihao
子纯	Zichun
子茜	Ziqian
子萱	Zixuan
子越	Ziyue
子轩	Zixuan
子铭	Ziming
子骞	Ziqian
字	Character
字条	Note
存储	Save
存在金色及以上品质秘偶时，不会自动刷新	Will not automatically refresh if a Gold or higher quality marionette exists.
孤行屏障 I	Solitary Barrier I
孤行屏障 II	Solitary Barrier II
学习	Learn
学习口风琴	Learn the harmonica
学生	Student
学生1	Student 1
学生2	Student 2
学生3	Student 3
学生4	Student 4
学识大提升，魅力小提升	Knowledge Greatly Increased, Charm Slightly Increased
它在哪？	Where is it?
它是什么？	What is it?
守卫	Guardian
守卫者	Guardian
守墓人	Gravedigger
守护力量	Guardian Power
守护者	Guardian
守护者之力	Guardian Power
守财奴	Miser
安提哥努斯	Antigonus
安杰	Angel
安杰拉	Angela
安杰莉卡·	Angelica 
安琪拉·	Angela 
安迪哥努斯笔记	Antigonus Notebook
完整	Complete
官方	Official
定位	Location
定位用怪物	Positioning Monster
宛	Wan
宛凝	Wanning
宜	Yi
宜春	Yichun
宜轩	Yixuan
宝拉	Paula
宝箱	Treasure Chest
宝箱02	Treasure chest 02
宝箱5	Treasure Chest 5
宝箱怪宝箱锁定	Mimic Chest Locked
宝箱触发器	Treasure Chest Trigger
实力	Strength
审判牌	Judgment
审核失败	Review Failed
审核未通过	Review Failed
客人	Guest
宣传单	Flyer
家族成员(%d/%d)	Family Members (%d/%d)
宸语	Chenyu
宾客	Guest
宾客女	Female Guest
寒	Han
对了，队长。春夜沙龙的主人维拉夫人，她可能是个非凡者。	By the way, Captain. The owner of the Spring Night Salon, Mrs. Vera, she might be a Beyonder.
对局匹配	Matchmaking
对局数据	Match Data
对建筑伤害值	Damage to Buildings
对话	Talk
对话邓恩	Dialogue with Dunn
对！	Yes!
寻宝哥	Treasure Hunter
寻找声音的源头	Find the source of the sound
寻猫奇遇记	Cat-Seeking Adventure
导师馈赠	Mentor's Gift
封印物	Sealed Artifact
将搜查结果告诉<h>弗莱</>	Tell <h>Frye</> the investigation results
小号行囊	Small Bag
小孩	Child
小怪	Minion
小怪1	Minion 1
小怪2	Minion 2
小汤米	Little Tommy
小男孩	Little Boy
小组管理	Group Management
小贩	Peddler
小黛西的手腕	Little Daisy's Wrist
少年	Youth
尖啸	Scream
尝	Taste
尝一尝<h>甜冰茶</>	Taste the <h>sweet iced tea</>
尤利西斯	Ulysses
就位	Ready
就位准备	Ready
就绪	Ready
尸体	Corpse
尸体变成了什么东西？文字 ？	What did the corpse turn into? Text?
尺寸	Size
尺寸大小	Size
尼娜	Nina
尼娜·	Nina 
尼安	Nian
尼科尔·	Nicole 
屎	Shit
屏蔽	Block
展示	Display
山崖	Cliff
巡逻员	Patrolman
工人	Worker
工厂	Factory
左	Left
左alt	Left Alt
左ctrl	Left Ctrl
左shift	Left Shift
左轮	Revolver
左边2	Left 2
左面	Left side
巨剑骑士	Sword Knight
巨大的	Huge
已保存至%s。	Saved to %s.
已售出	Sold
已完成	Completed
已完成检视，点击右上角关闭界面	Inspection complete, click top right corner to close interface
已就位	Ready
已开通	Enabled
已抢光	Sold Out
已装备	Equipped
已达最大可购数量	Maximum purchase quantity reached.
已达最小购买数量	Minimum purchase quantity reached.
已过期	Expired
已选择	Selected
已选：	Selected:
巴泽尔	Basil
巴特勒	Butler
市集	Market
布斯	Booth
布林莱·	Brinley 
布置中……	Setting up...
布莱克	Black
布雷特	Brett
布雷迪	Brady
帅	Handsome
帅气	Dashing
帅气的	Handsome
帆	Fan
帕斯	Pass
帕斯特	Past
帮工	Assistant
帮帮我!!!	Help me!!!
常驻	Resident
帽沿	Hat Brim
幕布	Curtain
平台	Platform
平衡	Balance
年轻女	Young Woman
年轻女子	Young Woman
年轻威廉	Young William
年轻男子	Young man
幸运者	Lucky One
幽魂	Ghost
床	Bed
床铺	Bed
序列	Sequence
序列%d	Sequence %d
序列进阶	Sequence Advancement
库存	Inventory
库存%s	Stock %s
库珀	Cooper
应用	Apply
底座	Base
废墟	Ruins
座上宾	Guest of Honor
座位	Seat
座椅	Seat
廷	Tingen
廷根	Tingen
廷根老司机II	Tingen Veteran Driver II
廷根老司机III	Tingen Veteran Driver III
廷根老司机IV	Tingen Veteran Driver IV
廷根老司机V	Tingen Veteran Driver V
建造	Building
建造中	Building
开关	Switch
开启	Enable
开启中……	Opening...
开启仪式魔法	Start Ritual Magic
开始挑战	Start Challenge
开始闲聊	Start Chat
开心	Happy
开锁相机	Lockpicking camera
开队	Create Team
异化的男子	Alienated Man
异变的信徒	Aberrant Believer
弗什	Fors
弗兰克	Frank
